rank,operator,input_shapes,input_dtypes,metadata_status,call_count
0,aten::empty,"[[],[],[],[],[],[]]","[""ScalarList"",""Scalar"","""","""",""Scalar"",""""]",shape_and_dtype,5828
0,aten::empty,"[[],[],[],[],[],[]]","[""ScalarList"",""Scalar"",""Scalar"","""","""",""""]",shape_and_dtype,4288
0,aten::empty,"[[],[],[],[],[],[]]","[""ScalarList"",""Scalar"",""Scalar"","""",""Scalar"",""""]",shape_and_dtype,1976
0,aten::view,"[[1,4096],[]]","[""c10::BFloat16"",""ScalarList""]",shape_and_dtype,1976
0,aten::empty_strided,"[[],[],[],[],[],[]]","[""ScalarList"",""ScalarList"",""Scalar"",""Scalar"","""",""Scalar""]",shape_and_dtype,1646
0,aten::new_empty,"[[1,4096],[],[],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""Scalar"","""","""",""""]",shape_and_dtype,1548
0,aten::new_empty,"[[6,256],[],[],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""Scalar"","""","""",""""]",shape_and_dtype,1548
0,aten::_local_scalar_dense,[[]],"[""double""]",shape_and_dtype,860
0,aten::as_strided,"[[24576],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""Scalar""]",shape_and_dtype,860
0,aten::item,[[]],"[""double""]",shape_and_dtype,860
0,aten::lift_fresh,[[]],"[""double""]",shape_and_dtype,860
0,aten::slice,"[[24576],[],[],[],[]]","[""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",shape_and_dtype,860
0,aten::to,"[[],[],[],[],[],[]]","[""double"","""",""Scalar"",""Scalar"",""Scalar"",""""]",shape_and_dtype,860
0,aten::view,"[[1,4,4096],[]]","[""c10::BFloat16"",""ScalarList""]",shape_and_dtype,692
0,aten::flatten,"[[24576],[],[]]","[""c10::BFloat16"",""Scalar"",""Scalar""]",shape_and_dtype,688
0,aten::view,"[[24576],[]]","[""c10::BFloat16"",""ScalarList""]",shape_and_dtype,688
0,aten::as_strided,"[[805306368],[],[],[]]","[""unsigned char"",""ScalarList"",""ScalarList"",""Scalar""]",shape_and_dtype,598
0,aten::slice,"[[805306368],[],[],[],[]]","[""unsigned char"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",shape_and_dtype,598
0,aten::to,"[[1,4096],[],[],[],[]]","[""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar"",""""]",shape_and_dtype,524
0,aten::empty_like,"[[1,4096],[],[],[],[],[]]","[""c10::BFloat16"","""","""","""",""Scalar"",""""]",shape_and_dtype,520
0,aten::new_empty,"[[1,1024],[],[],[],[],[]]","[""c10::BFloat16"",""ScalarList"","""","""","""",""Scalar""]",shape_and_dtype,428
0,aten::view,"[[1,1024],[]]","[""c10::BFloat16"",""ScalarList""]",shape_and_dtype,428
0,vllm::all_reduce,"[[1,4096],[]]","[""c10::BFloat16"",""""]",shape_and_dtype,348
0,aten::as_strided,"[[1,1,32],[],[],[]]","[""float"",""ScalarList"",""ScalarList"",""""]",shape_and_dtype,344
0,aten::as_strided,"[[1,1,4096],[],[],[]]","[""c10::Float8_e4m3fn"",""ScalarList"",""ScalarList"",""""]",shape_and_dtype,344
0,aten::as_strided,"[[1,1536],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""Scalar""]",shape_and_dtype,344
0,aten::as_strided,"[[1,64,512],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""Scalar""]",shape_and_dtype,344
0,aten::empty_like,"[[1,4,4096],[],[],[],[],[]]","[""c10::BFloat16"","""","""","""",""Scalar"",""""]",shape_and_dtype,344
0,aten::new_empty,"[[1,4096],[],[],[],[],[]]","[""c10::BFloat16"",""ScalarList"","""","""","""",""Scalar""]",shape_and_dtype,344
0,aten::new_empty,"[[1,6],[],[],[],[],[]]","[""int"",""ScalarList"",""Scalar"","""","""",""""]",shape_and_dtype,344
0,aten::reshape,"[[24576],[]]","[""c10::BFloat16"",""ScalarList""]",shape_and_dtype,344
