operator,input_shapes,input_dtypes,actual_capture_call_count,runtime_call_count,observed_in
_C::cooperative_topk,"[[1,8192],[1,1],[1,512],[1048576],[],[]]","[""float"",""int"",""int"",""unsigned char"",""Scalar"",""Scalar""]",42,0,actual_capture
_C::fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,"[[1,8,512],[1,512],[1,37376],[1],[1],[1048576,64],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""unsigned char"",""long int"",""long int"",""float"",""Scalar"",""Scalar"",""Scalar""]",43,0,actual_capture
_C::fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,"[[1,8,512],[1,512],[50317,37376],[1],[1],[1048576,64],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""unsigned char"",""long int"",""long int"",""float"",""Scalar"",""Scalar"",""Scalar""]",43,0,actual_capture
_C::silu_and_mul_with_clamp,"[[6,256],[6,512],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar""]",172,0,actual_capture
_C::weak_ref_tensor,"[[1,4096]]","[""c10::BFloat16""]",4,0,actual_capture
_C_custom_ar::all_reduce,"[[],[1,4096],[1,4096],[],[]]","[""Scalar"",""c10::BFloat16"",""c10::BFloat16"",""Scalar"",""Scalar""]",174,0,actual_capture
_flashmla_C::sparse_decode_fwd,"[[1,1,64,512],[1,64,1,584],[1,1,128],[1],[64],[132,8],[2],[1,2,1,584],[1,1,256],[1],[],[],[1,1,64,512]]","[""c10::BFloat16"",""unsigned char"",""int"",""int"",""float"",""int"",""int"",""unsigned char"",""int"",""int"",""Scalar"",""Scalar"",""c10::BFloat16""]",19,0,actual_capture
_flashmla_C::sparse_decode_fwd,"[[1,1,64,512],[1,64,1,584],[1,1,128],[1],[64],[132,8],[2],[1,64,1,584],[1,1,512],[1],[],[],[1,1,64,512]]","[""c10::BFloat16"",""unsigned char"",""int"",""int"",""float"",""int"",""int"",""unsigned char"",""int"",""int"",""Scalar"",""Scalar"",""c10::BFloat16""]",20,0,actual_capture
_flashmla_C::sparse_decode_fwd,"[[1,1,64,512],[1,64,1,584],[1,1,128],[1],[64],[],[],[1,2,1,584],[1,1,256],[1],[],[],[1,1,64,512]]","[""c10::BFloat16"",""unsigned char"",""int"",""int"",""float"","""","""",""unsigned char"",""int"",""int"",""Scalar"",""Scalar"",""c10::BFloat16""]",1,0,actual_capture
_flashmla_C::sparse_decode_fwd,"[[1,1,64,512],[1,64,1,584],[1,1,128],[1],[64],[],[],[1,64,1,584],[1,1,512],[1],[],[],[1,1,64,512]]","[""c10::BFloat16"",""unsigned char"",""int"",""int"",""float"","""","""",""unsigned char"",""int"",""int"",""Scalar"",""Scalar"",""c10::BFloat16""]",1,0,actual_capture
