operator,input_shapes,input_dtypes,call_count
aten::empty,"[[],[],[],[],[],[]]","[""ScalarList"",""Scalar"","""","""",""Scalar"",""""]",5828
aten::empty,"[[],[],[],[],[],[]]","[""ScalarList"",""Scalar"",""Scalar"","""","""",""""]",4288
aten::empty,"[[],[],[],[],[],[]]","[""ScalarList"",""Scalar"",""Scalar"","""",""Scalar"",""""]",1976
aten::view,"[[1,4096],[]]","[""c10::BFloat16"",""ScalarList""]",1976
aten::empty_strided,"[[],[],[],[],[],[]]","[""ScalarList"",""ScalarList"",""Scalar"",""Scalar"","""",""Scalar""]",1646
aten::new_empty,"[[1,4096],[],[],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""Scalar"","""","""",""""]",1548
aten::new_empty,"[[6,256],[],[],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""Scalar"","""","""",""""]",1548
aten::_local_scalar_dense,[[]],"[""double""]",860
aten::as_strided,"[[24576],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""Scalar""]",860
aten::item,[[]],"[""double""]",860
aten::lift_fresh,[[]],"[""double""]",860
aten::slice,"[[24576],[],[],[],[]]","[""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",860
aten::to,"[[],[],[],[],[],[]]","[""double"","""",""Scalar"",""Scalar"",""Scalar"",""""]",860
aten::view,"[[1,4,4096],[]]","[""c10::BFloat16"",""ScalarList""]",692
aten::flatten,"[[24576],[],[]]","[""c10::BFloat16"",""Scalar"",""Scalar""]",688
aten::view,"[[24576],[]]","[""c10::BFloat16"",""ScalarList""]",688
aten::as_strided,"[[805306368],[],[],[]]","[""unsigned char"",""ScalarList"",""ScalarList"",""Scalar""]",598
aten::slice,"[[805306368],[],[],[],[]]","[""unsigned char"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",598
aten::to,"[[1,4096],[],[],[],[]]","[""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar"",""""]",524
aten::empty_like,"[[1,4096],[],[],[],[],[]]","[""c10::BFloat16"","""","""","""",""Scalar"",""""]",520
aten::new_empty,"[[1,1024],[],[],[],[],[]]","[""c10::BFloat16"",""ScalarList"","""","""","""",""Scalar""]",428
aten::view,"[[1,1024],[]]","[""c10::BFloat16"",""ScalarList""]",428
vllm::all_reduce,"[[1,4096],[]]","[""c10::BFloat16"",""""]",348
aten::as_strided,"[[1,1,32],[],[],[]]","[""float"",""ScalarList"",""ScalarList"",""""]",344
aten::as_strided,"[[1,1,4096],[],[],[]]","[""c10::Float8_e4m3fn"",""ScalarList"",""ScalarList"",""""]",344
aten::as_strided,"[[1,1536],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""Scalar""]",344
aten::as_strided,"[[1,64,512],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""Scalar""]",344
aten::empty_like,"[[1,4,4096],[],[],[],[],[]]","[""c10::BFloat16"","""","""","""",""Scalar"",""""]",344
aten::new_empty,"[[1,4096],[],[],[],[],[]]","[""c10::BFloat16"",""ScalarList"","""","""","""",""Scalar""]",344
aten::new_empty,"[[1,6],[],[],[],[],[]]","[""int"",""ScalarList"",""Scalar"","""","""",""""]",344
aten::reshape,"[[24576],[]]","[""c10::BFloat16"",""ScalarList""]",344
aten::result_type,"[[1,6],[]]","[""float"",""Scalar""]",344
aten::slice,"[[1,64,512],[],[],[],[]]","[""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",344
aten::view,"[[1,16],[]]","[""float"",""ScalarList""]",344
aten::view,"[[1,4],[]]","[""float"",""ScalarList""]",344
aten::view,"[[49152],[]]","[""unsigned char"",""Scalar""]",344
aten::view,"[[6,4096],[]]","[""c10::BFloat16"",""ScalarList""]",344
vllm::dynamic_flashinfer_deepgemm_blockscale_gemm,"[[1,1024],[4096,1024],[32,8],[],[]]","[""c10::BFloat16"",""c10::Float8_e4m3fn"",""float"",""Scalar"",""Scalar""]",344
aten::view,"[[1,4,1],[]]","[""float"",""ScalarList""]",340
aten::view,"[[1,4,4],[]]","[""float"",""ScalarList""]",340
aten::view,"[[24,16384],[]]","[""float"",""ScalarList""]",340
_C_custom_ar::all_reduce,"[[],[1,4096],[1,4096],[],[]]","[""Scalar"",""c10::BFloat16"",""c10::BFloat16"",""Scalar"",""Scalar""]",174
_C::silu_and_mul_with_clamp,"[[6,256],[6,512],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar""]",172
_moe_C::moe_align_block_size,"[[1,6],[],[],[48],[6],[1],[]]","[""int"",""Scalar"",""Scalar"",""int"",""int"",""int"",""""]",172
_moe_C::moe_wna16_marlin_gemm,"[[1,4096],[6,512],[256,256,1024],[],[256,128,512],[],[],[],[],[],[528],[48],[6],[1],[1,6],[],[],[],[],[],[],[],[],[],[],[],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""int"","""",""c10::Float8_e8m0fnu"","""","""","""","""","""",""int"",""int"",""int"",""int"",""float"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",172
_moe_C::moe_wna16_marlin_gemm,"[[6,256],[6,4096],[256,16,8192],[],[256,8,4096],[],[],[],[],[],[528],[48],[6],[1],[1,6],[],[],[],[],[],[],[],[],[],[],[],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""int"","""",""c10::Float8_e8m0fnu"","""","""","""","""","""",""int"",""int"",""int"",""int"",""float"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",172
aten::add,"[[1,4096],[1,4096],[]]","[""c10::BFloat16"",""c10::BFloat16"",""Scalar""]",172
aten::as_strided,"[[1,1,1024],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""""]",172
aten::as_strided,"[[128],[],[],[]]","[""float"",""ScalarList"",""ScalarList"",""""]",172
aten::as_strided,"[[256,4096],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""""]",172
aten::copy_,"[[1,4096],[1,4096],[]]","[""c10::BFloat16"",""c10::BFloat16"",""Scalar""]",172
aten::empty_like,"[[1,1024],[],[],[],[],[]]","[""c10::BFloat16"","""","""","""",""Scalar"",""""]",172
aten::empty_like,"[[1,4096],[],[],[],[],[]]","[""c10::BFloat16"",""Scalar"","""","""",""Scalar"",""""]",172
aten::empty_like,"[[1,512],[],[],[],[],[]]","[""c10::BFloat16"","""","""","""",""Scalar"",""""]",172
aten::flatten,"[[1,1,1024],[],[]]","[""c10::BFloat16"",""Scalar"",""Scalar""]",172
aten::flatten,"[[6,4096],[],[]]","[""c10::BFloat16"",""Scalar"",""Scalar""]",172
aten::mm,"[[1,4096],[4096,256],[]]","[""c10::BFloat16"",""c10::BFloat16"",""Scalar""]",172
aten::mul_,"[[1,6],[]]","[""float"",""double""]",172
aten::new_empty,"[[1,256],[],[],[],[],[]]","[""c10::BFloat16"",""ScalarList"","""","""","""",""Scalar""]",172
aten::new_empty,"[[1,6],[],[],[],[],[]]","[""float"",""ScalarList"","""","""","""",""Scalar""]",172
aten::numpy_T,"[[256,4096]]","[""c10::BFloat16""]",172
aten::permute,"[[1,1,1024],[]]","[""c10::BFloat16"",""ScalarList""]",172
aten::permute,"[[1,1,32],[]]","[""float"",""ScalarList""]",172
aten::permute,"[[1,1,4096],[]]","[""c10::Float8_e4m3fn"",""ScalarList""]",172
aten::permute,"[[256,4096],[]]","[""c10::BFloat16"",""ScalarList""]",172
aten::record_stream,"[[1,4096],[]]","[""c10::BFloat16"",""""]",172
aten::reshape,"[[1,1,1024],[]]","[""c10::BFloat16"",""ScalarList""]",172
aten::reshape,"[[1,64,512],[]]","[""c10::BFloat16"",""ScalarList""]",172
aten::reshape,"[[6,4096],[]]","[""c10::BFloat16"",""ScalarList""]",172
aten::split_with_sizes,"[[1,1536],[],[]]","[""c10::BFloat16"",""ScalarList"",""Scalar""]",172
aten::to,"[[1,1536],[],[],[],[]]","[""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar"",""""]",172
aten::to,"[[1,512],[],[],[],[]]","[""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar"",""""]",172
aten::transpose,"[[1,1,32],[],[]]","[""float"",""Scalar"",""Scalar""]",172
aten::transpose,"[[1,1,4096],[],[]]","[""c10::Float8_e4m3fn"",""Scalar"",""Scalar""]",172
aten::unsqueeze,"[[1,64,512],[]]","[""c10::BFloat16"",""Scalar""]",172
aten::view,"[[1,1,1024],[]]","[""c10::BFloat16"",""ScalarList""]",172
aten::view,"[[1,1536],[]]","[""c10::BFloat16"",""ScalarList""]",172
