operator,input_shapes,input_dtypes,call_count
aten::empty_strided,"[[],[],[],[],[],[]]","[""ScalarList"",""ScalarList"",""Scalar"",""Scalar"","""",""Scalar""]",96
aten::as_strided,"[[8192],[],[],[]]","[""int"",""ScalarList"",""ScalarList"",""Scalar""]",89
aten::slice,"[[8192],[],[],[],[]]","[""int"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",89
aten::as_strided,"[[2],[],[],[]]","[""int"",""ScalarList"",""ScalarList"",""Scalar""]",88
aten::slice,"[[2],[],[],[],[]]","[""int"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",80
aten::as_strided,"[[8192],[],[],[]]","[""long int"",""ScalarList"",""ScalarList"",""Scalar""]",72
aten::slice,"[[8192],[],[],[],[]]","[""long int"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",72
aten::as_strided,"[[1],[],[],[]]","[""int"",""ScalarList"",""ScalarList"",""Scalar""]",64
aten::slice,"[[1],[],[],[],[]]","[""int"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",64
aten::copy_,"[[1],[1],[]]","[""long int"",""long int"",""Scalar""]",52
aten::empty,"[[],[],[],[],[],[]]","[""ScalarList"",""Scalar"",""Scalar"","""","""",""""]",52
aten::as_strided,"[[1],[],[],[]]","[""long int"",""ScalarList"",""ScalarList"",""Scalar""]",44
aten::copy_,"[[1],[1],[]]","[""int"",""long int"",""Scalar""]",44
aten::copy_,"[[1],[1],[]]","[""int"",""int"",""Scalar""]",36
aten::as_strided,"[[1,512],[],[],[]]","[""int"",""ScalarList"",""ScalarList"",""Scalar""]",32
aten::empty,"[[],[],[],[],[],[]]","[""ScalarList"",""Scalar"","""","""",""Scalar"",""""]",32
aten::slice,"[[1,512],[],[],[],[]]","[""int"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",32
aten::_to_copy,"[[1],[],[],[],[],[],[]]","[""int"",""Scalar"","""","""","""",""Scalar"",""""]",28
aten::copy_,"[[1],[1],[]]","[""long int"",""int"",""Scalar""]",28
aten::reshape,"[[1],[]]","[""int"",""ScalarList""]",28
aten::to,"[[1],[],[],[],[]]","[""int"",""Scalar"",""Scalar"",""Scalar"",""""]",28
aten::view,"[[1],[]]","[""int"",""ScalarList""]",28
aten::as_strided,"[[1,128],[],[],[]]","[""int"",""ScalarList"",""ScalarList"",""Scalar""]",24
aten::as_strided,"[[1],[],[],[]]","[""int"",""ScalarList"",""ScalarList"",""""]",24
aten::slice,"[[1],[],[],[],[]]","[""long int"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",24
aten::sub,"[[1],[1],[]]","[""int"",""int"",""Scalar""]",24
aten::_local_scalar_dense,[[]],"[""bool""]",20
aten::_local_scalar_dense,[[]],"[""int""]",20
aten::_local_scalar_dense,[[]],"[""long int""]",20
aten::_pin_memory,"[[1],[]]","[""long int"",""""]",20
aten::_to_copy,"[[],[],[],[],[],[],[]]","[""long int"",""Scalar"","""","""","""",""Scalar"",""""]",20
aten::all,[[1]],"[""bool""]",20
aten::arange,"[[],[],[],[0]]","[""Scalar"",""Scalar"",""Scalar"",""long int""]",20
aten::arange,"[[],[],[],[],[]]","[""Scalar"","""","""","""",""Scalar""]",20
aten::as_strided,"[[1],[],[],[]]","[""long int"",""ScalarList"",""ScalarList"",""""]",20
aten::copy_,"[[],[],[]]","[""bool"",""bool"",""Scalar""]",20
aten::copy_,"[[],[],[]]","[""int"",""long int"",""Scalar""]",20
aten::cumsum,"[[1],[],[]]","[""int"",""Scalar"",""""]",20
aten::empty,"[[],[],[],[],[],[]]","[""ScalarList"",""Scalar"",""Scalar"","""","""",""Scalar""]",20
aten::empty_like,"[[1],[],[],[],[],[]]","[""int"",""Scalar"","""","""","""",""Scalar""]",20
aten::expand,"[[1],[],[]]","[""int"",""ScalarList"",""Scalar""]",20
aten::expand,"[[1],[],[]]","[""long int"",""ScalarList"",""Scalar""]",20
aten::expand_as,"[[1],[1]]","[""long int"",""int""]",20
aten::fill_,"[[0],[]]","[""long int"",""Scalar""]",20
aten::flatten,"[[1],[],[]]","[""long int"",""Scalar"",""Scalar""]",20
aten::ge,"[[1],[]]","[""int"",""Scalar""]",20
aten::index_select,"[[1],[],[1]]","[""long int"",""Scalar"",""int""]",20
aten::is_pinned,"[[1],[]]","[""long int"",""""]",20
aten::item,[[]],"[""bool""]",20
aten::item,[[]],"[""int""]",20
aten::item,[[]],"[""long int""]",20
aten::pin_memory,"[[1],[]]","[""long int"",""""]",20
aten::repeat_interleave,"[[1],[1],[],[]]","[""long int"",""int"","""",""""]",20
aten::repeat_interleave,"[[1],[]]","[""int"",""""]",20
aten::resize_,"[[0],[],[]]","[""long int"",""ScalarList"",""""]",20
aten::select,"[[1],[],[]]","[""long int"",""Scalar"",""Scalar""]",20
aten::set_,"[[0],[],[],[],[]]","[""long int"","""",""Scalar"",""ScalarList"",""ScalarList""]",20
aten::slice,"[[1,128],[],[],[],[]]","[""int"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",20
aten::to,"[[],[],[],[],[]]","[""bool"",""Scalar"",""Scalar"",""Scalar"",""""]",20
aten::to,"[[],[],[],[],[]]","[""long int"",""Scalar"",""Scalar"",""Scalar"",""""]",20
aten::view,"[[1],[]]","[""bool"",""ScalarList""]",20
aten::view_as,"[[1],[]]","[""bool"",""bool""]",20
aten::as_strided,"[[1,4096],[],[],[]]","[""int"",""ScalarList"",""ScalarList"",""Scalar""]",16
aten::as_strided,"[[1,8192],[],[],[]]","[""int"",""ScalarList"",""ScalarList"",""Scalar""]",16
aten::empty_like,"[[1],[],[],[],[],[]]","[""int"",""Scalar"","""","""",""Scalar"",""""]",16
aten::narrow,"[[2],[],[],[]]","[""int"",""Scalar"",""Scalar"",""Scalar""]",16
aten::slice,"[[1,4096],[],[],[],[]]","[""int"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",16
aten::slice,"[[1,8192],[],[],[],[]]","[""int"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",16
