operator,input_shapes,input_dtypes,actual_capture_call_count,runtime_call_count,runtime_cpu_duration_total_us,runtime_kernel_event_count,runtime_kernel_time_total_us,runtime_kernel_time_avg_per_call_us,runtime_kernel_time_pct_of_all_runtime_kernels,observed_in
_C::cooperative_topk,"[[1,8192],[1,1],[1,512],[1048576],[],[]]","[""float"",""int"",""int"",""unsigned char"",""Scalar"",""Scalar""]",21,21,294.206,21,117.029,5.573,0.000478,"actual_capture,runtime"
_C::cooperative_topk,"[[10,8192],[10,1],[10,512],[1048576],[],[]]","[""float"",""int"",""int"",""unsigned char"",""Scalar"",""Scalar""]",0,21,288.279,21,104.205,4.962,0.000426,runtime
_C::cooperative_topk,"[[12,8192],[12,1],[12,512],[1048576],[],[]]","[""float"",""int"",""int"",""unsigned char"",""Scalar"",""Scalar""]",0,21,283.400,21,106.413,5.067,0.000435,runtime
_C::cooperative_topk,"[[14,8192],[14,1],[14,512],[1048576],[],[]]","[""float"",""int"",""int"",""unsigned char"",""Scalar"",""Scalar""]",0,21,288.560,21,105.545,5.026,0.000431,runtime
_C::cooperative_topk,"[[16,8192],[16,1],[16,512],[1048576],[],[]]","[""float"",""int"",""int"",""unsigned char"",""Scalar"",""Scalar""]",21,21,291.711,21,104.398,4.971,0.000426,"actual_capture,runtime"
_C::cooperative_topk,"[[18,8192],[18,1],[18,512],[1048576],[],[]]","[""float"",""int"",""int"",""unsigned char"",""Scalar"",""Scalar""]",0,21,297.227,21,106.184,5.056,0.000434,runtime
_C::cooperative_topk,"[[2,8192],[2,1],[2,512],[1048576],[],[]]","[""float"",""int"",""int"",""unsigned char"",""Scalar"",""Scalar""]",21,0,0.000,0,0.000,0.000,0.000000,actual_capture
_C::cooperative_topk,"[[20,8192],[20,1],[20,512],[1048576],[],[]]","[""float"",""int"",""int"",""unsigned char"",""Scalar"",""Scalar""]",0,21,287.398,21,105.415,5.020,0.000431,runtime
_C::cooperative_topk,"[[22,8192],[22,1],[22,512],[1048576],[],[]]","[""float"",""int"",""int"",""unsigned char"",""Scalar"",""Scalar""]",0,21,294.991,21,105.227,5.011,0.000430,runtime
_C::cooperative_topk,"[[24,8192],[24,1],[24,512],[1048576],[],[]]","[""float"",""int"",""int"",""unsigned char"",""Scalar"",""Scalar""]",0,21,288.000,21,104.814,4.991,0.000428,runtime
_C::cooperative_topk,"[[26,8192],[26,1],[26,512],[1048576],[],[]]","[""float"",""int"",""int"",""unsigned char"",""Scalar"",""Scalar""]",0,21,284.720,21,106.889,5.090,0.000437,runtime
_C::cooperative_topk,"[[28,8192],[28,1],[28,512],[1048576],[],[]]","[""float"",""int"",""int"",""unsigned char"",""Scalar"",""Scalar""]",0,21,308.563,21,106.938,5.092,0.000437,runtime
_C::cooperative_topk,"[[3,8192],[3,1],[3,512],[1048576],[],[]]","[""float"",""int"",""int"",""unsigned char"",""Scalar"",""Scalar""]",0,21,287.476,21,113.437,5.402,0.000463,runtime
_C::cooperative_topk,"[[30,8192],[30,1],[30,512],[1048576],[],[]]","[""float"",""int"",""int"",""unsigned char"",""Scalar"",""Scalar""]",0,21,298.272,21,105.444,5.021,0.000431,runtime
_C::cooperative_topk,"[[32,8192],[32,1],[32,512],[1048576],[],[]]","[""float"",""int"",""int"",""unsigned char"",""Scalar"",""Scalar""]",42,21,292.694,21,104.451,4.974,0.000427,"actual_capture,runtime"
_C::cooperative_topk,"[[4,8192],[4,1],[4,512],[1048576],[],[]]","[""float"",""int"",""int"",""unsigned char"",""Scalar"",""Scalar""]",21,21,286.489,21,110.059,5.241,0.000450,"actual_capture,runtime"
_C::cooperative_topk,"[[6,8192],[6,1],[6,512],[1048576],[],[]]","[""float"",""int"",""int"",""unsigned char"",""Scalar"",""Scalar""]",0,21,296.935,21,109.386,5.209,0.000447,runtime
_C::cooperative_topk,"[[8,8192],[8,1],[8,512],[1048576],[],[]]","[""float"",""int"",""int"",""unsigned char"",""Scalar"",""Scalar""]",21,21,288.049,21,109.834,5.230,0.000449,"actual_capture,runtime"
_C::fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,"[[1,8,512],[1,512],[50288,37376],[1],[1],[1048576,64],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""unsigned char"",""long int"",""long int"",""float"",""Scalar"",""Scalar"",""Scalar""]",43,0,0.000,0,0.000,0.000,0.000000,actual_capture
_C::fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,"[[16,8,512],[16,512],[50288,37376],[16],[16],[1048576,64],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""unsigned char"",""long int"",""long int"",""float"",""Scalar"",""Scalar"",""Scalar""]",43,0,0.000,0,0.000,0.000,0.000000,actual_capture
_C::fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,"[[2,8,512],[2,512],[50288,37376],[2],[2],[1048576,64],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""unsigned char"",""long int"",""long int"",""float"",""Scalar"",""Scalar"",""Scalar""]",43,0,0.000,0,0.000,0.000,0.000000,actual_capture
_C::fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,"[[32,8,512],[32,512],[50288,37376],[32],[32],[1048576,64],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""unsigned char"",""long int"",""long int"",""float"",""Scalar"",""Scalar"",""Scalar""]",43,0,0.000,0,0.000,0.000,0.000000,actual_capture
_C::fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,"[[32,8,512],[32,512],[64,37376],[32],[32],[1048576,64],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""unsigned char"",""long int"",""long int"",""float"",""Scalar"",""Scalar"",""Scalar""]",43,0,0.000,0,0.000,0.000,0.000000,actual_capture
_C::fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,"[[4,8,512],[4,512],[50288,37376],[4],[4],[1048576,64],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""unsigned char"",""long int"",""long int"",""float"",""Scalar"",""Scalar"",""Scalar""]",43,0,0.000,0,0.000,0.000,0.000000,actual_capture
_C::fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,"[[4096,8,512],[4096,512],[50288,37376],[4096],[4096],[1048576,64],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""unsigned char"",""long int"",""long int"",""float"",""Scalar"",""Scalar"",""Scalar""]",0,43,331508.013,43,5268.471,122.523,0.021520,runtime
_C::fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,"[[5089,8,512],[5089,512],[50288,37376],[5089],[5089],[1048576,64],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""unsigned char"",""long int"",""long int"",""float"",""Scalar"",""Scalar"",""Scalar""]",0,43,1680.490,43,6552.689,152.388,0.026766,runtime
_C::fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,"[[64,8,512],[64,512],[50288,37376],[64],[64],[1048576,64],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""unsigned char"",""long int"",""long int"",""float"",""Scalar"",""Scalar"",""Scalar""]",43,0,0.000,0,0.000,0.000,0.000000,actual_capture
_C::fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,"[[64,8,512],[64,512],[64,37376],[64],[64],[1048576,64],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""unsigned char"",""long int"",""long int"",""float"",""Scalar"",""Scalar"",""Scalar""]",43,0,0.000,0,0.000,0.000,0.000000,actual_capture
_C::fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,"[[8,8,512],[8,512],[50288,37376],[8],[8],[1048576,64],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""unsigned char"",""long int"",""long int"",""float"",""Scalar"",""Scalar"",""Scalar""]",43,0,0.000,0,0.000,0.000,0.000000,actual_capture
_C::fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,"[[8192,8,512],[8192,512],[50288,37376],[8192],[8192],[1048576,64],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""unsigned char"",""long int"",""long int"",""float"",""Scalar"",""Scalar"",""Scalar""]",0,1333,39041.000,1333,313137.730,234.912,1.279069,runtime
_C::per_token_group_fp8_quant,"[[32,1024],[32,1024],[32,8],[],[],[],[],[],[],[]]","[""c10::BFloat16"",""c10::Float8_e4m3fn"",""float"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",428,0,0.000,0,0.000,0.000,0.000000,actual_capture
_C::per_token_group_fp8_quant,"[[32,256],[32,256],[32,2],[],[],[],[],[],[],[]]","[""c10::BFloat16"",""c10::Float8_e4m3fn"",""float"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",172,0,0.000,0,0.000,0.000,0.000000,actual_capture
_C::per_token_group_fp8_quant,"[[32,4096],[32,4096],[32,32],[],[],[],[],[],[],[]]","[""c10::BFloat16"",""c10::Float8_e4m3fn"",""float"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",344,0,0.000,0,0.000,0.000,0.000000,actual_capture
_C::per_token_group_fp8_quant,"[[4096,1024],[4096,1024],[4096,8],[],[],[],[],[],[],[]]","[""c10::BFloat16"",""c10::Float8_e4m3fn"",""float"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",0,107,1559.626,107,1324.220,12.376,0.005409,runtime
_C::per_token_group_fp8_quant,"[[4096,256],[4096,256],[4096,2],[],[],[],[],[],[],[]]","[""c10::BFloat16"",""c10::Float8_e4m3fn"",""float"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",0,43,556.966,43,162.754,3.785,0.000665,runtime
_C::per_token_group_fp8_quant,"[[4096,4096],[4096,4096],[4096,32],[],[],[],[],[],[],[]]","[""c10::BFloat16"",""c10::Float8_e4m3fn"",""float"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",0,86,1196.756,86,3306.795,38.451,0.013507,runtime
_C::per_token_group_fp8_quant,"[[5089,1024],[5089,1024],[5089,8],[],[],[],[],[],[],[]]","[""c10::BFloat16"",""c10::Float8_e4m3fn"",""float"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",0,107,2535.233,107,1629.931,15.233,0.006658,runtime
_C::per_token_group_fp8_quant,"[[5089,256],[5089,256],[5089,2],[],[],[],[],[],[],[]]","[""c10::BFloat16"",""c10::Float8_e4m3fn"",""float"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",0,43,568.147,43,241.922,5.626,0.000988,runtime
_C::per_token_group_fp8_quant,"[[5089,4096],[5089,4096],[5089,32],[],[],[],[],[],[],[]]","[""c10::BFloat16"",""c10::Float8_e4m3fn"",""float"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",0,86,1150.677,86,4091.298,47.573,0.016712,runtime
_C::per_token_group_fp8_quant,"[[64,1024],[64,1024],[64,8],[],[],[],[],[],[],[]]","[""c10::BFloat16"",""c10::Float8_e4m3fn"",""float"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",428,0,0.000,0,0.000,0.000,0.000000,actual_capture
_C::per_token_group_fp8_quant,"[[64,256],[64,256],[64,2],[],[],[],[],[],[],[]]","[""c10::BFloat16"",""c10::Float8_e4m3fn"",""float"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",172,0,0.000,0,0.000,0.000,0.000000,actual_capture
_C::per_token_group_fp8_quant,"[[64,4096],[64,4096],[64,32],[],[],[],[],[],[],[]]","[""c10::BFloat16"",""c10::Float8_e4m3fn"",""float"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",344,0,0.000,0,0.000,0.000,0.000000,actual_capture
