operator,input_shapes,input_dtypes,metadata_status,call_count
aten::empty,"[[],[],[],[],[],[]]","[""ScalarList"",""Scalar"","""","""",""Scalar"",""""]",shape_and_dtype,65128
aten::empty,"[[],[],[],[],[],[]]","[""ScalarList"",""Scalar"",""Scalar"","""","""",""""]",shape_and_dtype,55589
aten::empty_strided,"[[],[],[],[],[],[]]","[""ScalarList"",""ScalarList"",""Scalar"",""Scalar"","""",""Scalar""]",shape_and_dtype,42136
aten::as_strided,"[[8192],[],[],[]]","[""int"",""ScalarList"",""ScalarList"",""Scalar""]",shape_and_dtype,23427
aten::slice,"[[8192],[],[],[],[]]","[""int"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",shape_and_dtype,23427
aten::_local_scalar_dense,[[]],"[""int""]",shape_and_dtype,23118
aten::item,[[]],"[""int""]",shape_and_dtype,23118
aten::as_strided,"[[65],[],[],[]]","[""int"",""ScalarList"",""ScalarList"",""Scalar""]",shape_and_dtype,22545
aten::as_strided,"[[8192],[],[],[]]","[""long int"",""ScalarList"",""ScalarList"",""Scalar""]",shape_and_dtype,20542
aten::slice,"[[8192],[],[],[],[]]","[""long int"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",shape_and_dtype,20542
aten::slice,"[[65],[],[],[],[]]","[""int"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",shape_and_dtype,20394
aten::view,"[[8192,4096],[]]","[""c10::BFloat16"",""ScalarList""]",shape_and_dtype,17360
aten::as_strided,"[[64],[],[],[]]","[""int"",""ScalarList"",""ScalarList"",""Scalar""]",shape_and_dtype,17153
aten::slice,"[[64],[],[],[],[]]","[""int"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",shape_and_dtype,17010
aten::empty,"[[],[],[],[],[],[]]","[""ScalarList"",""Scalar"",""Scalar"","""",""Scalar"",""""]",shape_and_dtype,16336
aten::as_strided,"[[3],[],[],[]]","[""int"",""ScalarList"",""ScalarList"",""Scalar""]",shape_and_dtype,13878
aten::copy_,"[[64],[64],[]]","[""long int"",""long int"",""Scalar""]",shape_and_dtype,12870
aten::new_empty,"[[49152,256],[],[],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""Scalar"","""","""",""""]",shape_and_dtype,11997
aten::new_empty,"[[8192,4096],[],[],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""Scalar"","""","""",""""]",shape_and_dtype,11997
aten::as_strided,"[[64],[],[],[]]","[""long int"",""ScalarList"",""ScalarList"",""Scalar""]",shape_and_dtype,11082
aten::copy_,"[[64],[64],[]]","[""int"",""long int"",""Scalar""]",shape_and_dtype,10891
aten::copy_,"[[64],[64],[]]","[""int"",""int"",""Scalar""]",shape_and_dtype,8930
aten::as_strided,"[[33554432],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""Scalar""]",shape_and_dtype,8613
aten::slice,"[[33554432],[],[],[],[]]","[""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",shape_and_dtype,8613
aten::as_strided,"[[64,512],[],[],[]]","[""int"",""ScalarList"",""ScalarList"",""Scalar""]",shape_and_dtype,8401
aten::slice,"[[64,512],[],[],[],[]]","[""int"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",shape_and_dtype,8401
aten::view,"[[8192,4,4096],[]]","[""c10::BFloat16"",""ScalarList""]",shape_and_dtype,7998
aten::select,"[[3],[],[]]","[""int"",""Scalar"",""Scalar""]",shape_and_dtype,7662
aten::_local_scalar_dense,[[]],"[""double""]",shape_and_dtype,7095
aten::item,[[]],"[""double""]",shape_and_dtype,7095
aten::lift_fresh,[[]],"[""double""]",shape_and_dtype,7095
aten::to,"[[],[],[],[],[],[]]","[""double"","""",""Scalar"",""Scalar"",""Scalar"",""""]",shape_and_dtype,7095
aten::_to_copy,"[[64],[],[],[],[],[],[]]","[""int"",""Scalar"","""","""","""",""Scalar"",""""]",shape_and_dtype,7021
aten::copy_,"[[64],[64],[]]","[""long int"",""int"",""Scalar""]",shape_and_dtype,7021
aten::to,"[[64],[],[],[],[]]","[""int"",""Scalar"",""Scalar"",""Scalar"",""""]",shape_and_dtype,7021
aten::_to_copy,"[[],[],[],[],[],[],[]]","[""long int"",""Scalar"","""","""","""",""Scalar"",""""]",shape_and_dtype,6799
aten::copy_,"[[],[],[]]","[""int"",""long int"",""Scalar""]",shape_and_dtype,6799
aten::to,"[[],[],[],[],[]]","[""long int"",""Scalar"",""Scalar"",""Scalar"",""""]",shape_and_dtype,6799
aten::as_strided,"[[201326592],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""Scalar""]",shape_and_dtype,6665
aten::as_strided,"[[8192,64,512],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""Scalar""]",shape_and_dtype,6665
aten::slice,"[[201326592],[],[],[],[]]","[""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",shape_and_dtype,6665
aten::slice,"[[8192,64,512],[],[],[],[]]","[""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",shape_and_dtype,6665
aten::empty,"[[],[],[],[],[],[]]","[""ScalarList"",""Scalar"",""Scalar"","""","""",""Scalar""]",shape_and_dtype,6340
aten::as_strided,"[[805306368],[],[],[]]","[""unsigned char"",""ScalarList"",""ScalarList"",""Scalar""]",shape_and_dtype,6315
aten::slice,"[[805306368],[],[],[],[]]","[""unsigned char"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",shape_and_dtype,6315
aten::as_strided,"[[64,128],[],[],[]]","[""int"",""ScalarList"",""ScalarList"",""Scalar""]",shape_and_dtype,6258
aten::slice,"[[3],[],[],[],[]]","[""int"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",shape_and_dtype,6214
aten::sub,"[[64],[64],[]]","[""int"",""int"",""Scalar""]",shape_and_dtype,6051
aten::slice,"[[64],[],[],[],[]]","[""long int"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",shape_and_dtype,6042
aten::_local_scalar_dense,[[]],"[""long int""]",shape_and_dtype,5446
aten::item,[[]],"[""long int""]",shape_and_dtype,5446
aten::_local_scalar_dense,[[]],"[""bool""]",shape_and_dtype,5445
aten::item,[[]],"[""bool""]",shape_and_dtype,5445
aten::as_strided,"[[],[],[],[]]","[""bool"",""ScalarList"",""ScalarList"",""""]",shape_and_dtype,5435
aten::fill_,"[[1],[]]","[""bool"",""Scalar""]",shape_and_dtype,5435
aten::flatten,"[[201326592],[],[]]","[""c10::BFloat16"",""Scalar"",""Scalar""]",shape_and_dtype,5332
aten::view,"[[201326592],[]]","[""c10::BFloat16"",""ScalarList""]",shape_and_dtype,5332
aten::arange,"[[],[],[],[0]]","[""Scalar"",""Scalar"",""Scalar"",""long int""]",shape_and_dtype,5285
aten::arange,"[[],[],[],[],[]]","[""Scalar"","""","""","""",""Scalar""]",shape_and_dtype,5285
aten::resize_,"[[0],[],[]]","[""long int"",""ScalarList"",""""]",shape_and_dtype,5285
aten::set_,"[[0],[],[],[],[]]","[""long int"","""",""Scalar"",""ScalarList"",""ScalarList""]",shape_and_dtype,5285
aten::slice,"[[64,128],[],[],[],[]]","[""int"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",shape_and_dtype,5251
aten::fill_,"[[0],[]]","[""long int"",""Scalar""]",shape_and_dtype,5145
aten::all,[[64]],"[""bool""]",shape_and_dtype,5041
aten::cumsum,"[[64],[],[]]","[""int"",""Scalar"",""""]",shape_and_dtype,5040
aten::flatten,"[[64],[],[]]","[""long int"",""Scalar"",""Scalar""]",shape_and_dtype,5040
aten::ge,"[[64],[]]","[""int"",""Scalar""]",shape_and_dtype,5040
aten::repeat_interleave,"[[64],[64],[],[]]","[""long int"",""int"","""",""""]",shape_and_dtype,5040
aten::repeat_interleave,"[[64],[]]","[""int"",""""]",shape_and_dtype,5040
aten::select,"[[64],[],[]]","[""long int"",""Scalar"",""Scalar""]",shape_and_dtype,5040
aten::_pin_memory,"[[64],[]]","[""long int"",""""]",shape_and_dtype,4950
