operator,input_shapes,input_dtypes,runtime_call_count,runtime_cpu_duration_total_us,runtime_cpu_duration_avg_us,runtime_kernel_event_count,runtime_kernel_time_total_us,runtime_kernel_time_avg_per_call_us,runtime_kernel_time_pct_of_all_runtime_kernels
_moe_C::moe_wna16_marlin_gemm,"[[49152,256],[49152,4096],[256,16,8192],[],[256,8,4096],[],[],[],[],[],[528],[65280],[1020],[1],[8192,6],[],[],[],[],[],[],[],[],[],[],[],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""int"","""",""c10::Float8_e8m0fnu"","""","""","""","""","""",""int"",""int"",""int"",""int"",""float"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",1333,99442.733,74.601,1333,1212925.049,909.921,4.954416
_moe_C::moe_wna16_marlin_gemm,"[[8192,4096],[49152,512],[256,256,1024],[],[256,128,512],[],[],[],[],[],[528],[65280],[1020],[1],[8192,6],[],[],[],[],[],[],[],[],[],[],[],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""int"","""",""c10::Float8_e8m0fnu"","""","""","""","""","""",""int"",""int"",""int"",""int"",""float"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",1333,145729.893,109.325,1333,1183746.680,888.032,4.835231
symm_mem::multimem_all_reduce_,"[[16777216],[],[]]","[""c10::BFloat16"","""",""""]",87,1123.804,12.917,87,1096790.751,12606.790,4.480044
symm_mem::multimem_all_reduce_,"[[33554432],[],[]]","[""c10::BFloat16"","""",""""]",2697,35895.142,13.309,2697,699990.681,259.544,2.859241
_C::fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,"[[8192,8,512],[8192,512],[50288,37376],[8192],[8192],[1048576,64],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""unsigned char"",""long int"",""long int"",""float"",""Scalar"",""Scalar"",""Scalar""]",1333,39041.000,29.288,1333,313137.730,234.912,1.279069
vllm::moe_forward_shared,"[[8192,4096],[8192,4096],[8192,4096],[8192],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""int"","""",""Scalar""]",1333,2517967.464,1888.948,1333,210452.928,157.879,0.859634
_C::per_token_group_fp8_quant,"[[8192,4096],[8192,4096],[8192,32],[],[],[],[],[],[],[]]","[""c10::BFloat16"",""c10::Float8_e4m3fn"",""float"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",2666,52509.922,19.696,2666,201550.289,75.600,0.823269
vllm::dynamic_flashinfer_deepgemm_blockscale_gemm,"[[8192,1024],[4096,1024],[32,8],[],[]]","[""c10::BFloat16"",""c10::Float8_e4m3fn"",""float"",""Scalar"",""Scalar""]",2666,449795.504,168.715,2666,163968.238,61.503,0.669758
aten::mm,"[[8192,4096],[4096,2048],[]]","[""c10::BFloat16"",""c10::BFloat16"",""Scalar""]",651,42088.925,64.653,651,118538.859,182.087,0.484194
vllm::dynamic_flashinfer_deepgemm_blockscale_gemm,"[[8192,4096],[1536,4096],[12,32],[],[]]","[""c10::BFloat16"",""c10::Float8_e4m3fn"",""float"",""Scalar"",""Scalar""]",1333,273062.375,204.848,1333,99486.621,74.634,0.406371
