operator,input_shapes,input_dtypes,metadata_status,call_count
aten::empty,"[[],[],[],[],[],[]]","[""ScalarList"",""Scalar"","""","""",""Scalar"",""""]",shape_and_dtype,1806
aten::view,"[[1,2048],[]]","[""c10::BFloat16"",""ScalarList""]",shape_and_dtype,1440
aten::empty_strided,"[[],[],[],[],[],[]]","[""ScalarList"",""ScalarList"",""Scalar"",""Scalar"","""",""Scalar""]",shape_and_dtype,828
aten::as_strided,"[[16384],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""Scalar""]",shape_and_dtype,640
aten::empty_like,"[[1,2048],[],[],[],[],[]]","[""c10::BFloat16"","""","""","""",""Scalar"",""""]",shape_and_dtype,640
aten::slice,"[[16384],[],[],[],[]]","[""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",shape_and_dtype,640
aten::view,"[[16384],[]]","[""c10::BFloat16"",""ScalarList""]",shape_and_dtype,640
AOTDispatcher Runtime Wrapper Prologue,[],[],no_input_metadata,324
aten::as_strided,"[[1,2048],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""Scalar""]",shape_and_dtype,320
aten::as_strided,"[[2048,2048],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""""]",shape_and_dtype,320
aten::as_strided,"[[536870912],[],[],[]]","[""unsigned char"",""ScalarList"",""ScalarList"",""Scalar""]",shape_and_dtype,320
aten::as_strided,"[[8,512],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""Scalar""]",shape_and_dtype,320
aten::copy_,"[[1,2048],[1,2048],[]]","[""c10::BFloat16"",""c10::BFloat16"",""Scalar""]",shape_and_dtype,320
aten::flatten,"[[16384],[],[]]","[""c10::BFloat16"",""Scalar"",""Scalar""]",shape_and_dtype,320
aten::numpy_T,"[[2048,2048]]","[""c10::BFloat16""]",shape_and_dtype,320
aten::permute,"[[2048,2048],[]]","[""c10::BFloat16"",""ScalarList""]",shape_and_dtype,320
aten::reshape,"[[16384],[]]","[""c10::BFloat16"",""ScalarList""]",shape_and_dtype,320
aten::slice,"[[1,2048],[],[],[],[]]","[""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",shape_and_dtype,320
aten::slice,"[[536870912],[],[],[],[]]","[""unsigned char"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",shape_and_dtype,320
aten::slice,"[[8,512],[],[],[],[]]","[""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",shape_and_dtype,320
aten::view,"[[1,256],[]]","[""c10::BFloat16"",""ScalarList""]",shape_and_dtype,320
aten::view,"[[32768],[]]","[""unsigned char"",""Scalar""]",shape_and_dtype,320
aten::as_strided,"[[2048,32],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""""]",shape_and_dtype,240
aten::as_strided,"[[2048,6144],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""""]",shape_and_dtype,240
aten::numpy_T,"[[2048,32]]","[""c10::BFloat16""]",shape_and_dtype,240
aten::numpy_T,"[[2048,6144]]","[""c10::BFloat16""]",shape_and_dtype,240
aten::permute,"[[2048,32],[]]","[""c10::BFloat16"",""ScalarList""]",shape_and_dtype,240
aten::permute,"[[2048,6144],[]]","[""c10::BFloat16"",""ScalarList""]",shape_and_dtype,240
_C::weak_ref_tensor,"[[1,2048]]","[""c10::BFloat16""]",shape_and_dtype,186
aten::fill_,"[[1],[]]","[""long int"",""Scalar""]",shape_and_dtype,184
Pregraph bytecode,[],[],no_input_metadata,164
aten::fill_,"[[1],[]]","[""int"",""Scalar""]",shape_and_dtype,162
Torch-Compiled Region: 1/1,[],[],no_input_metadata,160
TorchDynamo Cache Lookup,[],[],no_input_metadata,160
