operator,input_shapes,input_dtypes,actual_capture_call_count,runtime_call_count,observed_in
_C::weak_ref_tensor,"[[1,1,256]]","[""c10::BFloat16""]",20,0,actual_capture
_C::weak_ref_tensor,"[[1,16,128]]","[""c10::BFloat16""]",60,0,actual_capture
_C::weak_ref_tensor,"[[1,16]]","[""c10::BFloat16""]",60,0,actual_capture
_C::weak_ref_tensor,"[[1,2048]]","[""c10::BFloat16""]",95,0,actual_capture
_C::weak_ref_tensor,"[[1,4096]]","[""c10::BFloat16""]",30,0,actual_capture
_C::weak_ref_tensor,"[[1,8,256]]","[""c10::BFloat16""]",20,0,actual_capture
_C::weak_ref_tensor,"[[16,1,256]]","[""c10::BFloat16""]",20,0,actual_capture
_C::weak_ref_tensor,"[[16,16,128]]","[""c10::BFloat16""]",60,0,actual_capture
_C::weak_ref_tensor,"[[16,16]]","[""c10::BFloat16""]",60,0,actual_capture
_C::weak_ref_tensor,"[[16,2048]]","[""c10::BFloat16""]",91,0,actual_capture
_C::weak_ref_tensor,"[[16,4096]]","[""c10::BFloat16""]",30,0,actual_capture
_C::weak_ref_tensor,"[[16,8,256]]","[""c10::BFloat16""]",20,0,actual_capture
_C::weak_ref_tensor,"[[2,1,256]]","[""c10::BFloat16""]",20,0,actual_capture
_C::weak_ref_tensor,"[[2,16,128]]","[""c10::BFloat16""]",60,0,actual_capture
_C::weak_ref_tensor,"[[2,16]]","[""c10::BFloat16""]",60,0,actual_capture
_C::weak_ref_tensor,"[[2,2048]]","[""c10::BFloat16""]",91,0,actual_capture
_C::weak_ref_tensor,"[[2,4096]]","[""c10::BFloat16""]",30,0,actual_capture
_C::weak_ref_tensor,"[[2,8,256]]","[""c10::BFloat16""]",20,0,actual_capture
_C::weak_ref_tensor,"[[32,1,256]]","[""c10::BFloat16""]",40,0,actual_capture
_C::weak_ref_tensor,"[[32,16,128]]","[""c10::BFloat16""]",120,0,actual_capture
_C::weak_ref_tensor,"[[32,16]]","[""c10::BFloat16""]",120,0,actual_capture
_C::weak_ref_tensor,"[[32,2048]]","[""c10::BFloat16""]",182,0,actual_capture
_C::weak_ref_tensor,"[[32,4096]]","[""c10::BFloat16""]",60,0,actual_capture
_C::weak_ref_tensor,"[[32,8,256]]","[""c10::BFloat16""]",40,0,actual_capture
_C::weak_ref_tensor,"[[4,1,256]]","[""c10::BFloat16""]",20,0,actual_capture
_C::weak_ref_tensor,"[[4,16,128]]","[""c10::BFloat16""]",60,0,actual_capture
_C::weak_ref_tensor,"[[4,16]]","[""c10::BFloat16""]",60,0,actual_capture
_C::weak_ref_tensor,"[[4,2048]]","[""c10::BFloat16""]",91,0,actual_capture
_C::weak_ref_tensor,"[[4,4096]]","[""c10::BFloat16""]",30,0,actual_capture
_C::weak_ref_tensor,"[[4,8,256]]","[""c10::BFloat16""]",20,0,actual_capture
_C::weak_ref_tensor,"[[64,1,256]]","[""c10::BFloat16""]",40,0,actual_capture
_C::weak_ref_tensor,"[[64,16,128]]","[""c10::BFloat16""]",120,0,actual_capture
_C::weak_ref_tensor,"[[64,16]]","[""c10::BFloat16""]",120,0,actual_capture
_C::weak_ref_tensor,"[[64,2048]]","[""c10::BFloat16""]",182,0,actual_capture
_C::weak_ref_tensor,"[[64,4096]]","[""c10::BFloat16""]",60,0,actual_capture
_C::weak_ref_tensor,"[[64,8,256]]","[""c10::BFloat16""]",40,0,actual_capture
_C::weak_ref_tensor,"[[8,1,256]]","[""c10::BFloat16""]",20,0,actual_capture
_C::weak_ref_tensor,"[[8,16,128]]","[""c10::BFloat16""]",60,0,actual_capture
_C::weak_ref_tensor,"[[8,16]]","[""c10::BFloat16""]",60,0,actual_capture
_C::weak_ref_tensor,"[[8,2048]]","[""c10::BFloat16""]",91,0,actual_capture
_C::weak_ref_tensor,"[[8,4096]]","[""c10::BFloat16""]",30,0,actual_capture
_C::weak_ref_tensor,"[[8,8,256]]","[""c10::BFloat16""]",20,0,actual_capture
_C_custom_ar::all_reduce,"[[],[1,2048],[1,2048],[],[]]","[""Scalar"",""c10::BFloat16"",""c10::BFloat16"",""Scalar"",""Scalar""]",120,4,"actual_capture,runtime"
_C_custom_ar::all_reduce,"[[],[16,2048],[16,2048],[],[]]","[""Scalar"",""c10::BFloat16"",""c10::BFloat16"",""Scalar"",""Scalar""]",40,0,actual_capture
_C_custom_ar::all_reduce,"[[],[2,2048],[2,2048],[],[]]","[""Scalar"",""c10::BFloat16"",""c10::BFloat16"",""Scalar"",""Scalar""]",40,0,actual_capture
_C_custom_ar::all_reduce,"[[],[32,2048],[32,2048],[],[]]","[""Scalar"",""c10::BFloat16"",""c10::BFloat16"",""Scalar"",""Scalar""]",80,0,actual_capture
_C_custom_ar::all_reduce,"[[],[4,2048],[4,2048],[],[]]","[""Scalar"",""c10::BFloat16"",""c10::BFloat16"",""Scalar"",""Scalar""]",40,0,actual_capture
_C_custom_ar::all_reduce,"[[],[64,2048],[64,2048],[],[]]","[""Scalar"",""c10::BFloat16"",""c10::BFloat16"",""Scalar"",""Scalar""]",80,0,actual_capture
_C_custom_ar::all_reduce,"[[],[8,2048],[8,2048],[],[]]","[""Scalar"",""c10::BFloat16"",""c10::BFloat16"",""Scalar"",""Scalar""]",40,0,actual_capture
aten::_to_copy,"[[1,1],[],[],[],[],[],[]]","[""int"",""Scalar"",""Scalar"","""","""",""Scalar"",""""]",0,4,runtime
aten::_to_copy,"[[1,248320],[],[],[],[],[],[]]","[""c10::BFloat16"",""Scalar"","""","""","""",""Scalar"",""""]",0,4,runtime
aten::_to_copy,"[[1],[],[],[],[],[],[]]","[""int"",""Scalar"","""","""","""",""Scalar"",""""]",0,8,runtime
aten::_to_copy,"[[1],[],[],[],[],[],[]]","[""int"",""Scalar"",""Scalar"","""","""",""Scalar"",""""]",6,0,actual_capture
aten::_to_copy,"[[1],[],[],[],[],[],[]]","[""long int"",""Scalar"","""","""","""",""Scalar"",""""]",0,4,runtime
aten::_to_copy,"[[1],[],[],[],[],[],[]]","[""long int"",""Scalar"",""Scalar"","""","""",""Scalar"",""""]",11,0,actual_capture
aten::add,"[[1],[1],[],[1]]","[""int"",""int"",""Scalar"",""int""]",0,4,runtime
