rank,operator,input_shapes,input_dtypes,metadata_status,call_count
0,aten::empty,"[[],[],[],[],[],[]]","[""ScalarList"",""Scalar"","""","""",""Scalar"",""""]",shape_and_dtype,9727
0,aten::empty_strided,"[[],[],[],[],[],[]]","[""ScalarList"",""ScalarList"",""Scalar"",""Scalar"","""",""Scalar""]",shape_and_dtype,3726
0,AOTDispatcher Runtime Wrapper Prologue,[],[],no_input_metadata,1458
0,aten::as_strided,"[[2048,2048],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""""]",shape_and_dtype,1440
0,aten::as_strided,"[[536870912],[],[],[]]","[""unsigned char"",""ScalarList"",""ScalarList"",""Scalar""]",shape_and_dtype,1440
0,aten::numpy_T,"[[2048,2048]]","[""c10::BFloat16""]",shape_and_dtype,1440
0,aten::permute,"[[2048,2048],[]]","[""c10::BFloat16"",""ScalarList""]",shape_and_dtype,1440
0,aten::slice,"[[536870912],[],[],[],[]]","[""unsigned char"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",shape_and_dtype,1440
0,aten::view,"[[32,2048],[]]","[""c10::BFloat16"",""ScalarList""]",shape_and_dtype,1440
0,aten::view,"[[64,2048],[]]","[""c10::BFloat16"",""ScalarList""]",shape_and_dtype,1440
0,aten::as_strided,"[[2048,32],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""""]",shape_and_dtype,1080
0,aten::as_strided,"[[2048,6144],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""""]",shape_and_dtype,1080
0,aten::numpy_T,"[[2048,32]]","[""c10::BFloat16""]",shape_and_dtype,1080
0,aten::numpy_T,"[[2048,6144]]","[""c10::BFloat16""]",shape_and_dtype,1080
0,aten::permute,"[[2048,32],[]]","[""c10::BFloat16"",""ScalarList""]",shape_and_dtype,1080
0,aten::permute,"[[2048,6144],[]]","[""c10::BFloat16"",""ScalarList""]",shape_and_dtype,1080
0,aten::zeros,"[[],[],[],[],[]]","[""ScalarList"",""Scalar"","""","""",""Scalar""]",shape_and_dtype,800
0,aten::fill_,"[[1],[]]","[""long int"",""Scalar""]",shape_and_dtype,764
0,Pregraph bytecode,[],[],no_input_metadata,738
0,TorchDynamo Cache Lookup,[],[],no_input_metadata,720
0,aten::view,"[[1,2048],[]]","[""c10::BFloat16"",""ScalarList""]",shape_and_dtype,720
0,aten::view,"[[16,2048],[]]","[""c10::BFloat16"",""ScalarList""]",shape_and_dtype,720
0,aten::view,"[[2,2048],[]]","[""c10::BFloat16"",""ScalarList""]",shape_and_dtype,720
0,aten::view,"[[4,2048],[]]","[""c10::BFloat16"",""ScalarList""]",shape_and_dtype,720
0,aten::view,"[[8,2048],[]]","[""c10::BFloat16"",""ScalarList""]",shape_and_dtype,720
0,Torch-Compiled Region: 0/0,[],[],no_input_metadata,640
0,aten::as_strided,"[[1048576],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""Scalar""]",shape_and_dtype,640
0,aten::as_strided,"[[524288],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""Scalar""]",shape_and_dtype,640
0,aten::empty_like,"[[32,2048],[],[],[],[],[]]","[""c10::BFloat16"","""","""","""",""Scalar"",""""]",shape_and_dtype,640
0,aten::empty_like,"[[64,2048],[],[],[],[],[]]","[""c10::BFloat16"","""","""","""",""Scalar"",""""]",shape_and_dtype,640
0,aten::slice,"[[1048576],[],[],[],[]]","[""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",shape_and_dtype,640
0,aten::slice,"[[524288],[],[],[],[]]","[""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",shape_and_dtype,640
0,aten::view,"[[1048576],[]]","[""c10::BFloat16"",""ScalarList""]",shape_and_dtype,640
0,aten::view,"[[131072],[]]","[""c10::BFloat16"",""ScalarList""]",shape_and_dtype,640
0,aten::view,"[[524288],[]]","[""c10::BFloat16"",""ScalarList""]",shape_and_dtype,640
0,aten::view,"[[65536],[]]","[""c10::BFloat16"",""ScalarList""]",shape_and_dtype,560
0,aten::view,"[[16384],[]]","[""c10::BFloat16"",""ScalarList""]",shape_and_dtype,480
0,aten::view,"[[262144],[]]","[""c10::BFloat16"",""ScalarList""]",shape_and_dtype,480
0,aten::view,"[[32768],[]]","[""c10::BFloat16"",""ScalarList""]",shape_and_dtype,480
0,aten::as_strided,"[[3659,2,1056,1,256],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""Scalar""]",shape_and_dtype,420
0,aten::as_strided,"[[2048,4608],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""""]",shape_and_dtype,360
0,aten::numpy_T,"[[2048,4608]]","[""c10::BFloat16""]",shape_and_dtype,360
0,aten::permute,"[[2048,4608],[]]","[""c10::BFloat16"",""ScalarList""]",shape_and_dtype,360
0,aten::fill_,"[[1],[]]","[""int"",""Scalar""]",shape_and_dtype,321
0,aten::as_strided,"[[131072],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""Scalar""]",shape_and_dtype,320
0,aten::as_strided,"[[16384],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""Scalar""]",shape_and_dtype,320
0,aten::as_strided,"[[262144],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""Scalar""]",shape_and_dtype,320
0,aten::as_strided,"[[32,2048],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""Scalar""]",shape_and_dtype,320
