operator,input_shapes,input_dtypes,actual_capture_call_count,runtime_call_count,runtime_cpu_duration_total_us,runtime_kernel_event_count,runtime_kernel_time_total_us,runtime_kernel_time_avg_per_call_us,runtime_kernel_time_pct_of_all_runtime_kernels,observed_in
_C::weak_ref_tensor,"[[1,1,256]]","[""c10::BFloat16""]",20,0,0.000,0,0.000,0.000,0.000000,actual_capture
_C::weak_ref_tensor,"[[1,16,128]]","[""c10::BFloat16""]",60,0,0.000,0,0.000,0.000,0.000000,actual_capture
_C::weak_ref_tensor,"[[1,16]]","[""c10::BFloat16""]",60,0,0.000,0,0.000,0.000,0.000000,actual_capture
_C::weak_ref_tensor,"[[1,2048]]","[""c10::BFloat16""]",93,0,0.000,0,0.000,0.000,0.000000,actual_capture
_C::weak_ref_tensor,"[[1,4096]]","[""c10::BFloat16""]",30,0,0.000,0,0.000,0.000,0.000000,actual_capture
_C::weak_ref_tensor,"[[1,8,256]]","[""c10::BFloat16""]",20,0,0.000,0,0.000,0.000,0.000000,actual_capture
_C::weak_ref_tensor,"[[16,1,256]]","[""c10::BFloat16""]",20,0,0.000,0,0.000,0.000,0.000000,actual_capture
_C::weak_ref_tensor,"[[16,16,128]]","[""c10::BFloat16""]",60,0,0.000,0,0.000,0.000,0.000000,actual_capture
_C::weak_ref_tensor,"[[16,16]]","[""c10::BFloat16""]",60,0,0.000,0,0.000,0.000,0.000000,actual_capture
_C::weak_ref_tensor,"[[16,2048]]","[""c10::BFloat16""]",93,0,0.000,0,0.000,0.000,0.000000,actual_capture
_C::weak_ref_tensor,"[[16,4096]]","[""c10::BFloat16""]",30,0,0.000,0,0.000,0.000,0.000000,actual_capture
_C::weak_ref_tensor,"[[16,8,256]]","[""c10::BFloat16""]",20,0,0.000,0,0.000,0.000,0.000000,actual_capture
_C::weak_ref_tensor,"[[2,1,256]]","[""c10::BFloat16""]",20,0,0.000,0,0.000,0.000,0.000000,actual_capture
_C::weak_ref_tensor,"[[2,16,128]]","[""c10::BFloat16""]",60,0,0.000,0,0.000,0.000,0.000000,actual_capture
_C::weak_ref_tensor,"[[2,16]]","[""c10::BFloat16""]",60,0,0.000,0,0.000,0.000,0.000000,actual_capture
_C::weak_ref_tensor,"[[2,2048]]","[""c10::BFloat16""]",93,0,0.000,0,0.000,0.000,0.000000,actual_capture
_C::weak_ref_tensor,"[[2,4096]]","[""c10::BFloat16""]",30,0,0.000,0,0.000,0.000,0.000000,actual_capture
_C::weak_ref_tensor,"[[2,8,256]]","[""c10::BFloat16""]",20,0,0.000,0,0.000,0.000,0.000000,actual_capture
_C::weak_ref_tensor,"[[32,1,256]]","[""c10::BFloat16""]",40,0,0.000,0,0.000,0.000,0.000000,actual_capture
_C::weak_ref_tensor,"[[32,16,128]]","[""c10::BFloat16""]",120,0,0.000,0,0.000,0.000,0.000000,actual_capture
_C::weak_ref_tensor,"[[32,16]]","[""c10::BFloat16""]",120,0,0.000,0,0.000,0.000,0.000000,actual_capture
_C::weak_ref_tensor,"[[32,2048]]","[""c10::BFloat16""]",186,0,0.000,0,0.000,0.000,0.000000,actual_capture
_C::weak_ref_tensor,"[[32,4096]]","[""c10::BFloat16""]",60,0,0.000,0,0.000,0.000,0.000000,actual_capture
_C::weak_ref_tensor,"[[32,8,256]]","[""c10::BFloat16""]",40,0,0.000,0,0.000,0.000,0.000000,actual_capture
_C::weak_ref_tensor,"[[4,1,256]]","[""c10::BFloat16""]",20,0,0.000,0,0.000,0.000,0.000000,actual_capture
_C::weak_ref_tensor,"[[4,16,128]]","[""c10::BFloat16""]",60,0,0.000,0,0.000,0.000,0.000000,actual_capture
_C::weak_ref_tensor,"[[4,16]]","[""c10::BFloat16""]",60,0,0.000,0,0.000,0.000,0.000000,actual_capture
_C::weak_ref_tensor,"[[4,2048]]","[""c10::BFloat16""]",93,0,0.000,0,0.000,0.000,0.000000,actual_capture
_C::weak_ref_tensor,"[[4,4096]]","[""c10::BFloat16""]",30,0,0.000,0,0.000,0.000,0.000000,actual_capture
_C::weak_ref_tensor,"[[4,8,256]]","[""c10::BFloat16""]",20,0,0.000,0,0.000,0.000,0.000000,actual_capture
_C::weak_ref_tensor,"[[64,1,256]]","[""c10::BFloat16""]",40,0,0.000,0,0.000,0.000,0.000000,actual_capture
