operator,input_shapes,input_dtypes,call_count
aten::empty,"[[],[],[],[],[],[]]","[""ScalarList"",""Scalar"","""","""",""Scalar"",""""]",34743
aten::empty_strided,"[[],[],[],[],[],[]]","[""ScalarList"",""ScalarList"",""Scalar"",""Scalar"","""",""Scalar""]",30181
aten::as_strided,"[[64],[],[],[]]","[""int"",""ScalarList"",""ScalarList"",""Scalar""]",25344
aten::slice,"[[64],[],[],[],[]]","[""int"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",25146
aten::as_strided,"[[65],[],[],[]]","[""int"",""ScalarList"",""ScalarList"",""Scalar""]",23504
aten::slice,"[[65],[],[],[],[]]","[""int"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",20480
aten::as_strided,"[[64,1],[],[],[]]","[""int"",""ScalarList"",""ScalarList"",""Scalar""]",16552
aten::as_strided,"[[8192],[],[],[]]","[""long int"",""ScalarList"",""ScalarList"",""Scalar""]",13834
aten::slice,"[[8192],[],[],[],[]]","[""long int"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",13834
aten::view,"[[8192,2048],[]]","[""c10::BFloat16"",""ScalarList""]",13671
aten::slice,"[[64,1],[],[],[],[]]","[""int"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",12537
aten::empty_like,"[[64],[],[],[],[],[]]","[""int"",""Scalar"","""","""",""Scalar"",""""]",8033
aten::copy_,"[[64],[64],[]]","[""int"",""int"",""Scalar""]",6984
aten::empty,"[[],[],[],[],[],[]]","[""ScalarList"",""Scalar"",""Scalar"","""","""",""Scalar""]",6058
aten::sub,"[[64],[64],[]]","[""int"",""int"",""Scalar""]",6054
aten::as_strided,"[[8192,16],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""Scalar""]",5580
aten::slice,"[[8192,16],[],[],[],[]]","[""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",5580
aten::fill_,"[[0],[]]","[""int"",""Scalar""]",5054
aten::empty_like,"[[8192,2048],[],[],[],[],[]]","[""c10::BFloat16"","""","""","""",""Scalar"",""""]",4991
aten::as_strided,"[[134217728],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""Scalar""]",4960
aten::slice,"[[134217728],[],[],[],[]]","[""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",4960
aten::view,"[[134217728],[]]","[""c10::BFloat16"",""ScalarList""]",4960
aten::as_strided,"[[8192,2048],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""Scalar""]",4625
aten::slice,"[[8192,2048],[],[],[],[]]","[""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",4625
aten::as_strided,"[[64,32],[],[],[]]","[""int"",""ScalarList"",""ScalarList"",""Scalar""]",4179
aten::slice,"[[64,32],[],[],[],[]]","[""int"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",4179
aten::fill_,"[[0],[]]","[""long int"",""Scalar""]",4116
aten::copy_,"[[65],[65],[]]","[""int"",""int"",""Scalar""]",4078
