category,gpu_event,attribution_status,operator,input_shapes,input_dtypes,event_count,duration_total_us
kernel,fused_moe_kernel,missing_external_id,,[],[],81920,5259254.812
kernel,linear_kernel,missing_external_id,,[],[],163840,2632246.567
kernel,fused_recurrent_gated_delta_rule_packed_decode_kernel,missing_external_id,,[],[],30720,1376046.641
kernel,kernel_unified_attention,missing_external_id,,[],[],10240,1139694.172
kernel,mm_kernel_general_host_tma,missing_external_id,,[],[],112640,1029961.988
kernel,fused_moe_kernel,attributed_shape_dtype,vllm::moe_forward_shared,"[[8192,2048],[8192,2048],[8192,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",2480,767039.128
kernel,kernel_unified_attention,attributed_shape_dtype,vllm::unified_attention_with_output,"[[8192,8,256],[8192,1,256],[8192,1,256],[8192,8,256],[],[],[],[0]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""","""",""c10::BFloat16""]",310,561152.523
kernel,mul_broadcast_2d_kernel,missing_external_id,,[],[],40960,553197.497
kernel,sigmoid_forward_kernel_rank_1,missing_external_id,,[],[],40960,516408.214
kernel,mm_kernel_general_host_tma,attributed_shape_dtype,aten::mm,"[[8192,2048],[2048,6144],[8192,6144]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",930,296231.027
kernel,"void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 2, true, true>(flashinfer::trtllm_allreduce_fusion::AllReduceFusionParams<__nv_bfloat16>)",missing_external_id,,[],[],40960,269618.439
kernel,"void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 2, true, true>(flashinfer::trtllm_allreduce_fusion::AllReduceFusionParams<__nv_bfloat16>)",attributed_shape_dtype,vllm::flashinfer_trtllm_fused_allreduce_norm,"[[8192,2048],[8192,2048],[2048],[],[],[],[],[],[],[],[],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"","""","""","""","""",""Scalar""]",1240,256967.384
kernel,"void vllm::cross_device_reduce_1stage<__nv_bfloat16, 2>(vllm::RankData*, vllm::RankSignals, vllm::Signal*, __nv_bfloat16*, int, int)",missing_external_id,,[],[],40960,221511.316
kernel,linear_kernel,attributed_shape_dtype,aten::linear,"[[64,2048],[124160,2048],[]]","[""c10::BFloat16"",""c10::BFloat16"",""""]",991,186239.635
