operator,input_shapes,input_dtypes,runtime_call_count,runtime_cpu_duration_total_us,runtime_cpu_duration_avg_us,runtime_kernel_event_count,runtime_kernel_time_total_us,runtime_kernel_time_avg_per_call_us,runtime_kernel_time_pct_of_all_runtime_kernels
vllm::moe_forward_shared,"[[8192,2048],[8192,2048],[8192,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",1240,2506688.505,2021.523,8680,803466.786,647.957,4.399356
vllm::unified_attention_with_output,"[[8192,8,256],[8192,1,256],[8192,1,256],[8192,8,256],[],[],[],[0]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""","""",""c10::BFloat16""]",310,89120.430,287.485,310,561152.523,1810.169,3.072572
vllm::qwen_gdn_attention_core,"[[8192,4096],[8192,16],[8192,16],[8192,16,128],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""",""Scalar""]",930,1969376.615,2117.609,3720,311549.232,334.999,1.705878
aten::mm,"[[8192,2048],[2048,6144],[8192,6144]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",930,149847.395,161.126,930,296231.027,318.528,1.622003
vllm::flashinfer_trtllm_fused_allreduce_norm,"[[8192,2048],[8192,2048],[2048],[],[],[],[],[],[],[],[],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"","""","""","""","""",""Scalar""]",1240,143413.864,115.656,1240,256967.384,207.232,1.407017
aten::linear,"[[64,2048],[124160,2048],[]]","[""c10::BFloat16"",""c10::BFloat16"",""""]",991,164495.524,165.989,991,186239.635,187.931,1.019749
symm_mem::two_shot_all_reduce_,"[[16777216],[],[]]","[""c10::BFloat16"","""",""""]",1271,16763.665,13.189,1271,143602.212,112.984,0.786289
aten::mm,"[[8192,2048],[2048,2048],[8192,2048]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",1240,202061.282,162.953,1240,138962.339,112.066,0.760884
record_param_comms,"[[64,124160],[],[],[],[],[],[],[],[],[]]","[""c10::BFloat16"","""","""",""Scalar"","""",""ScalarList"",""ScalarList"",""Scalar"",""Scalar"",""Scalar""]",991,92584.739,93.426,991,85662.181,86.440,0.469040
triton_red_fused__to_copy_add_copy__fused_add_rms_norm_moe_forward_shared_3,"[[8192,2048],[8192,2048],[2048],[8192,2048],[8192,2048],[8192,2048],[8192,2048],[8192,2048],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""Scalar"",""Scalar""]",930,20822.278,22.390,930,77528.901,83.364,0.424507
