category,gpu_event,attribution_status,operator,input_shapes,input_dtypes,event_count,duration_total_us
kernel,fused_moe_kernel,missing_external_id,,[],[],81920,5259254.812
kernel,linear_kernel,missing_external_id,,[],[],163840,2632246.567
kernel,fused_recurrent_gated_delta_rule_packed_decode_kernel,missing_external_id,,[],[],30720,1376046.641
kernel,kernel_unified_attention,missing_external_id,,[],[],10240,1139694.172
kernel,mm_kernel_general_host_tma,missing_external_id,,[],[],112640,1029961.988
kernel,mul_broadcast_2d_kernel,missing_external_id,,[],[],40960,553197.497
kernel,sigmoid_forward_kernel_rank_1,missing_external_id,,[],[],40960,516408.214
kernel,"void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 2, true, true>(flashinfer::trtllm_allreduce_fusion::AllReduceFusionParams<__nv_bfloat16>)",missing_external_id,,[],[],40960,269618.439
kernel,"void vllm::cross_device_reduce_1stage<__nv_bfloat16, 2>(vllm::RankData*, vllm::RankSignals, vllm::Signal*, __nv_bfloat16*, int, int)",missing_external_id,,[],[],40960,221511.316
kernel,topk_gating_softmax_kernel,missing_external_id,,[],[],40960,168459.387
kernel,moe_align_block_size_stage2_vec,missing_external_id,,[],[],40760,141888.606
kernel,zeros_kernel,missing_external_id,,[],[],81520,117521.262
kernel,triton_poi_fused_mul_silu_slice_0,missing_external_id,,[],[],40960,103657.338
kernel,_causal_conv1d_update_kernel,missing_external_id,,[],[],30720,102581.607
kernel,moe_align_block_size_stage4,missing_external_id,,[],[],40760,102127.778
kernel,moe_sum_kernel,missing_external_id,,[],[],40960,98294.328
kernel,moe_align_block_size_stage1,missing_external_id,,[],[],40760,88365.921
kernel,triton_red_fused__to_copy_add_copy__fused_add_rms_norm_moe_forward_shared_3,missing_external_id,,[],[],30720,80303.016
kernel,triton_per_fused_1,missing_external_id,,[],[],30720,79531.416
kernel,triton_poi_fused_0,missing_external_id,,[],[],40960,69513.845
kernel,reduce_segments,missing_external_id,,[],[],10240,56043.043
kernel,moe_align_block_size_stage3,missing_external_id,,[],[],40760,53525.142
kernel,triton_poi_fused_add_4,missing_external_id,,[],[],30720,49165.812
kernel,triton_poi_fused__to_copy__unsafe_view_add_clone_linear_mean_mul_pow_rsqrt_silu_view_2,missing_external_id,,[],[],30720,41793.769
kernel,triton_poi_fused_5,missing_external_id,,[],[],30720,36264.620
kernel,triton_red_fused__to_copy_add_copy__fused_add_rms_norm_moe_forward_shared_1,missing_external_id,,[],[],10240,26057.524
kernel,triton_poi_fused_7,missing_external_id,,[],[],10240,22413.878
kernel,reshape_and_cache_kernel_flash,missing_external_id,,[],[],10240,16793.495
kernel,triton_poi_fused_add_2,missing_external_id,,[],[],10240,16380.457
kernel,triton_red_fused_6,missing_external_id,,[],[],10240,15708.675
kernel,_compute_slot_mapping_kernel,missing_external_id,,[],[],4224,10824.399
kernel,triton_poi_fused_3,missing_external_id,,[],[],9216,9494.395
kernel,triton_red_fused_1,missing_external_id,,[],[],1024,1977.868
kernel,triton_poi_fused_mul_sigmoid_view_0,missing_external_id,,[],[],1024,1743.700
kernel,triton_poi_fused_2,missing_external_id,,[],[],1024,1276.608
kernel,_silu_and_mul_kernel_kernel_rank_2,missing_external_id,,[],[],200,339.105
kernel,fill_scalar_kernel,missing_external_id,,[],[],200,328.525
