operator_name,kernel_name,variant_index,mapping_status,input_shapes,input_dtypes,candidate_operators,kernel_event_count,kernel_time_us
aten::mm,mm_kernel_general_host_tma,1,operator_shape_matched,"[[4097,2048],[2048,6144],[4097,6144]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,2772,1291705.626
aten::mm,mm_kernel_general_host_tma,2,operator_shape_matched,"[[4097,2048],[2048,4608],[4097,4608]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,3082,1044254.702
aten::mm,mm_kernel_general_host_tma,3,operator_shape_matched,"[[4097,2048],[2048,2048],[4097,2048]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,5842,823211.214
aten::mm,mm_kernel_general_host_tma,4,operator_shape_matched,"[[4097,2048],[2048,32],[4097,32]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,19112,323373.331
aten::mm,mm_kernel_general_host_tma,5,operator_shape_matched,"[[8192,2048],[2048,6144],[8192,6144]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,930,293761.677
null,mm_kernel_general_host_tma,6,missing_external_id,null,null,null,28820,265188.549
aten::mm,mm_kernel_general_host_tma,7,operator_shape_matched,"[[8192,2048],[2048,2048],[8192,2048]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,1240,138973.061
aten::mm,mm_kernel_general_host_tma,8,operator_shape_matched,"[[8192,2048],[2048,4608],[8192,4608]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,310,75728.236
aten::mm,mm_kernel_general_host_tma,9,operator_shape_matched,"[[8192,2048],[2048,32],[8192,32]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,930,17066.571
aten::mm,mm_kernel_general_host_tma,10,operator_shape_matched,"[[4096,2048],[2048,6144],[4096,6144]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,30,4888.936
aten::mm,mm_kernel_general_host_tma,11,operator_shape_matched,"[[4096,2048],[2048,2048],[4096,2048]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,40,2155.918
aten::mm,mm_kernel_general_host_tma,12,operator_shape_matched,"[[1025,2048],[2048,6144],[1025,6144]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,30,1633.603
aten::mm,mm_kernel_general_host_tma,13,operator_shape_matched,"[[4096,2048],[2048,4608],[4096,4608]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,10,1241.786
aten::mm,mm_kernel_general_host_tma,14,operator_shape_matched,"[[1025,2048],[2048,2048],[1025,2048]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,40,838.094
aten::mm,mm_kernel_general_host_tma,15,operator_shape_matched,"[[1025,2048],[2048,4608],[1025,4608]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,10,401.803
aten::mm,mm_kernel_general_host_tma,16,operator_shape_matched,"[[4096,2048],[2048,32],[4096,32]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,30,293.122
aten::mm,mm_kernel_general_host_tma,17,operator_shape_matched,"[[1025,2048],[2048,32],[1025,32]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,30,183.525
null,fused_moe_kernel,1,missing_external_id,null,null,null,20960,1186858.504
vllm::moe_forward_shared,fused_moe_kernel,2,operator_shape_matched,"[[8192,2048],[8192,2048],[8192,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,2480,767437.864
vllm::moe_forward_shared,fused_moe_kernel,3,operator_shape_matched,"[[4097,2048],[4097,2048],[4097,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,16231.373
vllm::moe_forward_shared,fused_moe_kernel,4,operator_shape_matched,"[[4096,2048],[4096,2048],[4096,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,15593.797
vllm::moe_forward_shared,fused_moe_kernel,5,operator_shape_matched,"[[1025,2048],[1025,2048],[1025,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,9304.136
vllm::unified_attention_with_output,kernel_unified_attention,1,operator_shape_matched,"[[8192,8,256],[8192,1,256],[8192,1,256],[8192,8,256],[],[],[],[0]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""","""",""c10::BFloat16""]",null,310,560211.835
null,kernel_unified_attention,2,missing_external_id,null,null,null,2620,254490.678
vllm::unified_attention_with_output,kernel_unified_attention,3,operator_shape_matched,"[[4097,8,256],[4097,1,256],[4097,1,256],[4097,8,256],[],[],[],[0]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""","""",""c10::BFloat16""]",null,10,9419.172
vllm::unified_attention_with_output,kernel_unified_attention,4,operator_shape_matched,"[[4096,8,256],[4096,1,256],[4096,1,256],[4096,8,256],[],[],[],[0]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""","""",""c10::BFloat16""]",null,10,9342.02
vllm::unified_attention_with_output,kernel_unified_attention,5,operator_shape_matched,"[[1025,8,256],[1025,1,256],[1025,1,256],[1025,8,256],[],[],[],[0]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""","""",""c10::BFloat16""]",null,10,5354.416
vllm::flashinfer_trtllm_fused_allreduce_norm,"void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 2, true, true>(flashinfer::trtllm_allreduce_fusion::AllReduceFusionParams<__nv_bfloat16>)",1,operator_shape_matched,"[[8192,2048],[8192,2048],[2048],[],[],[],[],[],[],[],[],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"","""","""","""","""",""Scalar""]",null,1240,257713.394
null,"void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 2, true, true>(flashinfer::trtllm_allreduce_fusion::AllReduceFusionParams<__nv_bfloat16>)",2,missing_external_id,null,null,null,10480,75234.692
vllm::flashinfer_trtllm_fused_allreduce_norm,"void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 2, true, true>(flashinfer::trtllm_allreduce_fusion::AllReduceFusionParams<__nv_bfloat16>)",3,operator_shape_matched,"[[4097,2048],[4097,2048],[2048],[],[],[],[],[],[],[],[],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"","""","""","""","""",""Scalar""]",null,40,45204.116
vllm::flashinfer_trtllm_fused_allreduce_norm,"void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 2, true, true>(flashinfer::trtllm_allreduce_fusion::AllReduceFusionParams<__nv_bfloat16>)",4,operator_shape_matched,"[[4096,2048],[4096,2048],[2048],[],[],[],[],[],[],[],[],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"","""","""","""","""",""Scalar""]",null,40,4195.417
vllm::flashinfer_trtllm_fused_allreduce_norm,"void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 2, true, true>(flashinfer::trtllm_allreduce_fusion::AllReduceFusionParams<__nv_bfloat16>)",5,operator_shape_matched,"[[1025,2048],[1025,2048],[2048],[],[],[],[],[],[],[],[],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"","""","""","""","""",""Scalar""]",null,40,1048.147
null,fused_recurrent_gated_delta_rule_packed_decode_kernel,1,missing_external_id,null,null,null,7860,328858.247
