kernel_name,presence,left_call_count,right_call_count,left_time_us,right_time_us,left_percent,right_percent,percent_point_delta
_build_c128a_topk_metadata_kernel,both,288,288,805.774,787.658,0.006536,0.002563,-0.003973
_build_prefill_chunk_metadata_kernel,both,33,33,71.497,71.809,0.00058,0.000234,-0.000346
_combine_topk_swa_indices_kernel,both,1419,1419,24267.395,24229.967,0.196831,0.07883,-0.118002
_compressed_slot_mapping_kernel,both,864,864,1639.967,1634.962,0.013302,0.005319,-0.007982
_compute_global_topk_indices_and_lens_kernel,both,6027,6027,14432.985,14735.634,0.117065,0.047941,-0.069124
_compute_prefill_metadata_kernel,both,66,66,68.129,68.101,0.000553,0.000222,-0.000331
_compute_slot_mapping_kernel,both,1440,1440,5033.106,5002.802,0.040823,0.016276,-0.024547
_compute_swa_indices_and_lens_kernel,both,640,640,1972.642,1950.826,0.016,0.006347,-0.009653
_fused_inv_rope_fp8_quant_per_head,both,12384,12384,142765.809,138402.585,1.157963,0.450277,-0.707686
_fused_kv_compress_norm_rope_insert_indexer_attn,both,6048,6048,72554.355,53697.703,0.588483,0.1747,-0.413784
_fused_q_kv_rmsnorm_kernel,both,12384,12384,48843.17,45553.799,0.396163,0.148204,-0.247959
_save_partial_states_kernel,both,17856,17856,105976.457,111153.139,0.859567,0.361624,-0.497943
hc_head_fuse_tilelang_kernel,both,288,288,8723.479,8762.392,0.070755,0.028507,-0.042248
kernel_cutlass_kernel_vllmmodelsdeepseek_v4nvidiaopsdequant_gather_k_cutedslDequantGatherKCacheKernel_object_at__tensorptrbf16gmemalign32o512i64div16i64div161_tensorptri8gmemalign32o2576i_0,both,660,660,2141.415,2140.287,0.017369,0.006963,-0.010406
kernel_cutlass_kernel_vllmmodelsdeepseek_v4nvidiaopsdequant_gather_k_cutedslDequantGatherKCacheKernel_object_at__tensorptrbf16gmemalign32o512i64div16i64div161_tensorptri8gmemalign32o64576_0,both,2112,2112,12325.582,12299.004,0.099972,0.040013,-0.059958
kernel_cutlass_kernel_vllmmodelsdeepseek_v4nvidiaopsfused_indexer_q_cutedslIndexerQFp8Kernel_object_at__tensorptri64gmemo1_tensorptrbf16gmemalign32o64128i64div16i64div161_tensorptrf32gmem_0,both,6048,6048,79220.384,70028.698,0.642551,0.227831,-0.41472
kernel_cutlass_kernel_vllmmodelsdeepseek_v4nvidiaopssparse_attn_compress_cutedslSparseAttnCompressC128Block8Kernel_object_at__tensorptrf32gmemalign16o1024i64div16i64div161_tensorptri32gme_0,both,5760,5760,120395.227,108578.364,0.976517,0.353248,-0.623269
kernel_cutlass_kernel_vllmmodelsdeepseek_v4nvidiaopssparse_attn_compress_cutedslSparseAttnCompressNormRopeStoreC4Kernel_object_at__tensorptrf32gmemalign16o2048i64div16i64div161_tensorptri_0,both,6048,6048,139182.514,95309.727,1.128899,0.31008,-0.81882
kernel_cutlass_kernel_vllmmodelsdeepseek_v4nvidiaopssparse_attn_compress_cutedslSparseAttnNormRopeStoreKernel_object_at__tensorptrf32gmemo5125121_tensorptri64gmemalign64o1_tensorptri64gme_0,both,5760,5760,25233.323,20383.118,0.204666,0.066314,-0.138351
memcpy128,left_only,247,0,435.436,0.0,0.003532,0.0,-0.003532
memcpy32_post,left_only,53951,0,72446.971,0.0,0.587612,0.0,-0.587612
mhc_fused_tilelang_kernel,both,680,680,3530.541,3443.556,0.028636,0.011203,-0.017433
mhc_post_tilelang_kernel,both,24088,24088,658454.888,659537.535,5.340679,2.145732,-3.194947
mhc_pre_big_fuse_with_norm_tilelang_kernel,both,24768,24768,460010.822,459190.119,3.731114,1.493924,-2.23719
