operator_name,presence,left_kernel_type_count,right_kernel_type_count,left_shape_dtype_variant_count,right_shape_dtype_variant_count,left_event_count,right_event_count,left_time_us,right_time_us,left_percent,right_percent,percent_point_delta
_C::cooperative_topk,both,2,2,17,18,357,693,1818.453,3564.848,0.014749,0.011598,-0.003152
_C::fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,both,1,2,3,36,1419,12384,326949.037,380764.732,2.65186,1.238776,-1.413084
_C::per_token_group_fp8_quant,both,1,1,9,63,7788,64428,299862.915,462916.815,2.432166,1.506048,-0.926118
_C::persistent_topk,both,1,1,15,17,315,5334,1671.213,28034.671,0.013555,0.091208,0.077653
_C::rms_norm,right_only,0,1,0,36,0,288,0.0,2005.093,0.0,0.006523,0.006523
_C::silu_and_mul_with_clamp,both,1,1,3,67,1419,24768,43747.702,97140.443,0.354834,0.316036,-0.038799
_C::top_k_per_row_prefill,both,1,1,33,33,693,693,45165.462,44979.148,0.366334,0.146335,-0.219999
_C_cache_ops::cp_gather_indexer_k_quant_cache,both,1,1,32,32,693,693,2441.362,2474.893,0.019802,0.008052,-0.01175
_C_custom_ar::all_reduce,right_only,0,1,0,15,0,1305,0.0,1008954.055,0.0,3.28252,3.28252
_flashmla_C::sparse_decode_fwd,both,3,3,160,175,2880,25830,47196.346,486726.031,0.382806,1.583509,1.200703
_flashmla_C::sparse_prefill_fwd,both,1,1,99,99,1419,1419,1270223.667,1277304.917,10.302691,4.15557,-6.147121
_moe_C::moe_align_block_size,both,2,2,3,36,2838,24768,35088.763,90522.008,0.284602,0.294503,0.009901
_moe_C::moe_wna16_marlin_gemm,both,1,3,6,72,2838,24768,2475368.432,3448808.306,20.077531,11.220315,-8.857217
_moe_C::topk_softplus_sqrt,both,2,2,6,72,1419,12384,24066.958,78486.973,0.195205,0.255349,0.060143
aten::add,both,4,3,106,136,2028,12960,94954.753,112490.825,0.770171,0.365976,-0.404195
aten::argmax,both,1,1,64,64,288,288,11172.535,11129.096,0.09062,0.036207,-0.054412
aten::clamp,both,1,1,38,64,576,576,752.977,761.819,0.006107,0.002478,-0.003629
aten::clamp_,both,1,1,76,128,864,864,1716.402,1707.44,0.013922,0.005555,-0.008367
aten::copy_,both,6,5,337,391,3502,5815,31795.696,30769.021,0.257893,0.100104,-0.157789
aten::cumsum,both,2,2,3,3,66,66,89.216,87.877,0.000724,0.000286,-0.000438
aten::fill_,both,5,4,284,238,6227,22250,16890.062,34538.052,0.136994,0.112366,-0.024628
aten::floor_divide,both,3,3,64,64,1928,1928,3059.915,3108.892,0.024819,0.010114,-0.014704
aten::gather,both,1,1,3,28,33,280,724.303,1225.468,0.005875,0.003987,-0.001888
aten::ge,both,1,1,9,36,576,576,748.567,749.827,0.006072,0.002439,-0.003632
aten::index,both,3,3,10,37,576,576,1084.397,1074.535,0.008795,0.003496,-0.0053
aten::index_select,right_only,0,1,0,8,0,8,0.0,42.017,0.0,0.000137,0.000137
aten::masked_fill_,both,1,1,3,36,33,288,3033.25,3809.006,0.024602,0.012392,-0.01221
aten::mean,left_only,1,0,3,0,33,0,1722.437,0.0,0.013971,0.0,-0.013971
aten::mm,both,18,43,79,244,4446,68559,292098.02,579243.598,2.369186,1.884505,-0.484681
aten::mul,left_only,2,0,6,0,66,0,6461.45,0.0,0.052408,0.0,-0.052408
aten::pow,left_only,1,0,3,0,33,0,2890.013,0.0,0.023441,0.0,-0.023441
aten::rsqrt,left_only,1,0,3,0,33,0,43.2,0.0,0.00035,0.0,-0.00035
aten::sub,both,3,3,101,102,608,608,654.362,652.262,0.005307,0.002122,-0.003185
aten::sum,both,1,1,3,36,1419,12384,321437.602,386028.519,2.607157,1.255901,-1.351256
null,both,96,31,1,1,594694,160036,5524080.752,2220589.131,44.805413,7.22444,-37.580973
record_param_comms,both,1,1,64,64,288,288,17438.935,93934.349,0.141446,0.305605,0.164159
symm_mem::multimem_all_reduce_,both,1,1,3,21,2871,23751,794479.145,18801622.742,6.443962,61.16899,54.725028
triton_poi_fused_add_bitwise_and_bitwise_not_bitwise_or_ge_lt_mul_sub_0,both,1,1,3,36,33,288,51.972,367.304,0.000422,0.001195,0.000773
triton_poi_fused_clamp_mul_sigmoid_slice_0,left_only,1,0,3,0,1419,0,12910.948,0.0,0.10472,0.0,-0.10472
vllm::dynamic_flashinfer_deepgemm_blockscale_gemm,both,8,24,15,180,7788,71508,441031.005,797248.614,3.57717,2.59376,-0.98341
vllm::fused_inv_rope_fp8_quant_kernel,both,1,1,3,36,1419,12384,110913.178,138402.585,0.899609,0.450277,-0.449331
vllm::sparse_attn_indexer,both,2,2,3,36,1365,6720,63212.323,104914.174,0.512711,0.341327,-0.171384
