operator_name,input_shapes,input_dtypes,presence,left_mapping_statuses,right_mapping_statuses,left_kernel_type_count,right_kernel_type_count,left_event_count,right_event_count,left_time_us,right_time_us,left_percent,right_percent,percent_point_delta
_C::cooperative_topk,"[[1,8192],[1,1],[1,512],[1048576],[],[]]","[""float"",""int"",""int"",""unsigned char"",""Scalar"",""Scalar""]",both,"[""operator_shape_matched""]","[""operator_shape_matched""]",1,1,21,21,106.531,114.463,0.000864,0.000372,-0.000492
_C::cooperative_topk,"[[10,8192],[10,1],[10,512],[1048576],[],[]]","[""float"",""int"",""int"",""unsigned char"",""Scalar"",""Scalar""]",both,"[""operator_shape_matched""]","[""operator_shape_matched""]",1,1,21,42,106.207,210.852,0.000861,0.000686,-0.000175
_C::cooperative_topk,"[[12,8192],[12,1],[12,512],[1048576],[],[]]","[""float"",""int"",""int"",""unsigned char"",""Scalar"",""Scalar""]",both,"[""operator_shape_matched""]","[""operator_shape_matched""]",1,1,21,42,104.42,211.619,0.000847,0.000688,-0.000158
_C::cooperative_topk,"[[14,8192],[14,1],[14,512],[1048576],[],[]]","[""float"",""int"",""int"",""unsigned char"",""Scalar"",""Scalar""]",both,"[""operator_shape_matched""]","[""operator_shape_matched""]",1,1,21,42,105.824,210.82,0.000858,0.000686,-0.000172
_C::cooperative_topk,"[[16,8192],[16,1],[16,512],[1048576],[],[]]","[""float"",""int"",""int"",""unsigned char"",""Scalar"",""Scalar""]",both,"[""operator_shape_matched""]","[""operator_shape_matched""]",1,1,21,42,104.388,209.571,0.000847,0.000682,-0.000165
_C::cooperative_topk,"[[18,8192],[18,1],[18,512],[1048576],[],[]]","[""float"",""int"",""int"",""unsigned char"",""Scalar"",""Scalar""]",both,"[""operator_shape_matched""]","[""operator_shape_matched""]",1,1,21,42,105.921,211.397,0.000859,0.000688,-0.000171
_C::cooperative_topk,"[[2,8192],[2,1],[2,512],[1048576],[],[]]","[""float"",""int"",""int"",""unsigned char"",""Scalar"",""Scalar""]",right_only,[],"[""operator_shape_matched""]",0,1,0,21,0.0,116.324,0.0,0.000378,0.000378
_C::cooperative_topk,"[[20,8192],[20,1],[20,512],[1048576],[],[]]","[""float"",""int"",""int"",""unsigned char"",""Scalar"",""Scalar""]",both,"[""operator_shape_matched""]","[""operator_shape_matched""]",1,1,21,42,105.026,212.807,0.000852,0.000692,-0.00016
_C::cooperative_topk,"[[22,8192],[22,1],[22,512],[1048576],[],[]]","[""float"",""int"",""int"",""unsigned char"",""Scalar"",""Scalar""]",both,"[""operator_shape_matched""]","[""operator_shape_matched""]",1,1,21,42,105.601,211.656,0.000857,0.000689,-0.000168
_C::cooperative_topk,"[[24,8192],[24,1],[24,512],[1048576],[],[]]","[""float"",""int"",""int"",""unsigned char"",""Scalar"",""Scalar""]",both,"[""operator_shape_matched""]","[""operator_shape_matched""]",1,1,21,42,105.737,212.963,0.000858,0.000693,-0.000165
_C::cooperative_topk,"[[26,8192],[26,1],[26,512],[1048576],[],[]]","[""float"",""int"",""int"",""unsigned char"",""Scalar"",""Scalar""]",both,"[""operator_shape_matched""]","[""operator_shape_matched""]",1,1,21,42,106.112,211.846,0.000861,0.000689,-0.000171
_C::cooperative_topk,"[[28,8192],[28,1],[28,512],[1048576],[],[]]","[""float"",""int"",""int"",""unsigned char"",""Scalar"",""Scalar""]",both,"[""operator_shape_matched""]","[""operator_shape_matched""]",1,1,21,42,105.665,214.027,0.000857,0.000696,-0.000161
_C::cooperative_topk,"[[3,8192],[3,1],[3,512],[1048576],[],[]]","[""float"",""int"",""int"",""unsigned char"",""Scalar"",""Scalar""]",both,"[""operator_shape_matched""]","[""operator_shape_matched""]",1,1,21,21,110.945,115.36,0.0009,0.000375,-0.000525
_C::cooperative_topk,"[[30,8192],[30,1],[30,512],[1048576],[],[]]","[""float"",""int"",""int"",""unsigned char"",""Scalar"",""Scalar""]",both,"[""operator_shape_matched""]","[""operator_shape_matched""]",1,1,21,42,106.143,212.388,0.000861,0.000691,-0.00017
_C::cooperative_topk,"[[32,8192],[32,1],[32,512],[1048576],[],[]]","[""float"",""int"",""int"",""unsigned char"",""Scalar"",""Scalar""]",both,"[""operator_shape_matched""]","[""operator_shape_matched""]",1,1,21,42,106.94,215.781,0.000867,0.000702,-0.000165
_C::cooperative_topk,"[[4,8192],[4,1],[4,512],[1048576],[],[]]","[""float"",""int"",""int"",""unsigned char"",""Scalar"",""Scalar""]",both,"[""operator_shape_matched""]","[""operator_shape_matched""]",1,1,21,42,110.91,225.124,0.0009,0.000732,-0.000167
_C::cooperative_topk,"[[6,8192],[6,1],[6,512],[1048576],[],[]]","[""float"",""int"",""int"",""unsigned char"",""Scalar"",""Scalar""]",both,"[""operator_shape_matched""]","[""operator_shape_matched""]",1,1,21,42,111.33,226.281,0.000903,0.000736,-0.000167
_C::cooperative_topk,"[[8,8192],[8,1],[8,512],[1048576],[],[]]","[""float"",""int"",""int"",""unsigned char"",""Scalar"",""Scalar""]",both,"[""operator_shape_matched""]","[""operator_shape_matched""]",1,1,21,42,110.753,221.569,0.000898,0.000721,-0.000177
_C::fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,"[[10,8,512],[10,512],[51230,37376],[10],[10],[1048576,64],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""unsigned char"",""long int"",""long int"",""float"",""Scalar"",""Scalar"",""Scalar""]",right_only,[],"[""operator_shape_matched""]",0,1,0,43,0.0,128.418,0.0,0.000418,0.000418
_C::fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,"[[12,8,512],[12,512],[51230,37376],[12],[12],[1048576,64],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""unsigned char"",""long int"",""long int"",""float"",""Scalar"",""Scalar"",""Scalar""]",right_only,[],"[""operator_shape_matched""]",0,1,0,43,0.0,134.12,0.0,0.000436,0.000436
_C::fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,"[[14,8,512],[14,512],[51230,37376],[14],[14],[1048576,64],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""unsigned char"",""long int"",""long int"",""float"",""Scalar"",""Scalar"",""Scalar""]",right_only,[],"[""operator_shape_matched""]",0,1,0,43,0.0,154.915,0.0,0.000504,0.000504
_C::fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,"[[16,8,512],[16,512],[51230,37376],[16],[16],[1048576,64],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""unsigned char"",""long int"",""long int"",""float"",""Scalar"",""Scalar"",""Scalar""]",right_only,[],"[""operator_shape_matched""]",0,1,0,43,0.0,134.212,0.0,0.000437,0.000437
_C::fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,"[[18,8,512],[18,512],[51230,37376],[18],[18],[1048576,64],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""unsigned char"",""long int"",""long int"",""float"",""Scalar"",""Scalar"",""Scalar""]",right_only,[],"[""operator_shape_matched""]",0,1,0,43,0.0,154.18,0.0,0.000502,0.000502
