kernel_name,presence,left_call_count,right_call_count,left_time_us,right_time_us,left_percent,right_percent,percent_point_delta
_build_c128a_topk_metadata_kernel,both,288,288,810.778,797.714,0.006404,0.005912,-0.000492
_build_prefill_chunk_metadata_kernel,both,33,33,71.648,71.716,0.000566,0.000531,-3.4e-05
_combine_topk_swa_indices_kernel,both,1419,1419,24270.926,24226.714,0.191713,0.179543,-0.01217
_compressed_slot_mapping_kernel,both,864,864,1626.478,1619.108,0.012847,0.011999,-0.000848
_compute_global_topk_indices_and_lens_kernel,both,6027,6027,14420.608,14513.659,0.113907,0.10756,-0.006346
_compute_prefill_metadata_kernel,both,66,66,67.87,67.877,0.000536,0.000503,-3.3e-05
_compute_slot_mapping_kernel,both,1440,1440,5003.013,5020.939,0.039518,0.03721,-0.002308
_compute_swa_indices_and_lens_kernel,both,640,640,1952.897,1968.806,0.015426,0.014591,-0.000835
_fused_inv_rope_fp8_quant_per_head,both,12384,12384,142374.779,135289.363,1.1246,1.002624,-0.121976
_fused_kv_compress_norm_rope_insert_indexer_attn,both,6048,6048,71722.975,47409.452,0.56653,0.351349,-0.215181
_fused_q_kv_rmsnorm_kernel,both,12384,12384,48793.114,45533.423,0.38541,0.337446,-0.047964
_repeat_flaggems_jit_function,both,288,288,52202.705,52120.402,0.412342,0.386262,-0.02608
_save_partial_states_kernel,both,17856,17856,106751.838,104129.04,0.843219,0.771696,-0.071523
add_func_kernel_rank_1,both,12960,12960,112468.5,110734.942,0.888374,0.820652,-0.067722
add_func_tensor_scalar_kernel_rank_1,both,288,12384,290.762,17505.734,0.002297,0.129734,0.127438
argmax_kernel_inner,both,288,288,9360.429,9310.332,0.073937,0.068998,-0.004938
clamp_func_kernel_rank_2,right_only,0,12384,0.0,19553.382,0.0,0.144909,0.144909
clamp_func_max_kernel_rank_2,right_only,0,12384,0.0,19423.116,0.0,0.143944,0.143944
clamp_func_min_kernel_rank_1,both,1440,1440,2490.804,2457.898,0.019675,0.018215,-0.001459
embedding_kernel,both,288,288,1153.882,1157.64,0.009114,0.008579,-0.000535
fill_scalar_kernel,both,8717,8447,20199.31,14767.146,0.159552,0.109439,-0.050113
floor_div_func_tensor_scalar_kernel_rank_1,both,1928,1928,2312.718,2305.664,0.018268,0.017087,-0.001181
full_func_scalar_kernel_rank_1,both,1419,1419,8093.958,8115.381,0.063933,0.060143,-0.00379
ge_func_scalar_kernel_rank_1,both,576,576,627.535,629.485,0.004957,0.004665,-0.000292
hc_head_fuse_tilelang_kernel,both,288,288,8660.662,8679.549,0.068409,0.064324,-0.004086
kernel_cutlass_kernel_vllmmodelsdeepseek_v4nvidiaopsdequant_gather_k_cutedslDequantGatherKCacheKernel_object_at__tensorptrbf16gmemalign32o512i64div16i64div161_tensorptri8gmemalign32o2576i_0,both,660,660,2131.34,2158.898,0.016835,0.016,-0.000836
kernel_cutlass_kernel_vllmmodelsdeepseek_v4nvidiaopsdequant_gather_k_cutedslDequantGatherKCacheKernel_object_at__tensorptrbf16gmemalign32o512i64div16i64div161_tensorptri8gmemalign32o64576_0,both,2112,2112,12319.16,12372.119,0.097307,0.091689,-0.005618
kernel_cutlass_kernel_vllmmodelsdeepseek_v4nvidiaopsfused_indexer_q_cutedslIndexerQFp8Kernel_object_at__tensorptri64gmemo1_tensorptrbf16gmemalign32o64128i64div16i64div161_tensorptrf32gmem_0,both,6048,6048,79231.184,70690.914,0.625837,0.523887,-0.101949
kernel_cutlass_kernel_vllmmodelsdeepseek_v4nvidiaopssparse_attn_compress_cutedslSparseAttnCompressC128Block8Kernel_object_at__tensorptrf32gmemalign16o1024i64div16i64div161_tensorptri32gme_0,both,5760,5760,118193.216,98259.488,0.933593,0.728197,-0.205396
kernel_cutlass_kernel_vllmmodelsdeepseek_v4nvidiaopssparse_attn_compress_cutedslSparseAttnCompressNormRopeStoreC4Kernel_object_at__tensorptrf32gmemalign16o2048i64div16i64div161_tensorptri_0,both,6048,6048,141532.672,90890.906,1.117948,0.673589,-0.444359
kernel_cutlass_kernel_vllmmodelsdeepseek_v4nvidiaopssparse_attn_compress_cutedslSparseAttnNormRopeStoreKernel_object_at__tensorptrf32gmemo5125121_tensorptri64gmemalign64o1_tensorptri64gme_0,both,5760,5760,26855.8,21816.267,0.21213,0.161679,-0.050451
masked_fill_kernel_kernel_rank_2,both,288,288,2100.155,2112.486,0.016589,0.015656,-0.000933
mean_dim_kernel_inner,left_only,288,0,2039.697,0.0,0.016111,0.0,-0.016111
memcpy128,left_only,247,0,462.698,0.0,0.003655,0.0,-0.003655
memcpy32_post,left_only,53951,0,71611.279,0.0,0.565648,0.0,-0.565648
mhc_fused_tilelang_kernel,both,680,680,3550.471,3480.774,0.028045,0.025796,-0.002249
mhc_post_tilelang_kernel,both,24088,24088,658210.521,660255.144,5.199119,4.893123,-0.305996
mhc_pre_big_fuse_with_norm_tilelang_kernel,both,24768,24768,460543.307,458322.857,3.637772,3.396611,-0.24116
moe_sum_kernel,both,12384,12384,244613.472,245237.527,1.93217,1.817445,-0.114725
mul_broadcast_2d_kernel,left_only,576,0,5102.75,0.0,0.040306,0.0,-0.040306
mul_kernel,right_only,0,24768,0.0,33834.823,0.0,0.250748,0.250748
mul_scalar_kernel,both,12384,24768,20792.281,31005.734,0.164236,0.229782,0.065547
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>),both,288,288,17571.569,18263.765,0.138796,0.135352,-0.003444
nvjet_tss_128x128_64x6_2x1_v_bz_TNT,both,1354,1354,42175.011,41932.918,0.333135,0.310763,-0.022372
nvjet_tss_128x160_64x5_2x1_v_bz_TNT,both,21,21,688.08,687.375,0.005435,0.005094,-0.000341
nvjet_tss_128x64_64x8_1x2_h_bz_TNT,both,43,43,833.427,840.595,0.006583,0.00623,-0.000354
nvjet_tss_128x80_64x8_1x2_h_bz_TNT,both,43,43,946.352,942.163,0.007475,0.006982,-0.000493
nvjet_tss_16x64_64x16_2x1_v_bz_TNN,right_only,0,84,0.0,950.133,0.0,0.007041,0.007041
nvjet_tss_256x128_64x4_1x2_h_bz_coopA_TNT,both,1963,1963,209022.449,208999.403,1.651041,1.548886,-0.102155
nvjet_tss_256x160_64x4_1x2_h_bz_coopA_TNT,both,41,41,3550.449,3552.007,0.028045,0.026324,-0.001721
nvjet_tss_64x16_64x16_2x4_h_bz_splitK_TNT,right_only,0,383,0.0,2040.624,0.0,0.015123,0.015123
nvjet_tss_64x16_64x16_4x1_v_bz_splitK_TNT,both,420,188,2895.675,1301.623,0.022873,0.009646,-0.013226
nvjet_tss_64x16_64x16_4x2_h_bz_splitK_TNT,right_only,0,123,0.0,708.819,0.0,0.005253,0.005253
nvjet_tss_64x24_64x16_4x1_v_bz_splitK_TNT,right_only,0,164,0.0,1200.186,0.0,0.008895,0.008895
nvjet_tss_64x24_64x16_4x2_h_bz_TNT,right_only,0,63,0.0,619.791,0.0,0.004593,0.004593
nvjet_tss_64x24_64x16_4x2_h_bz_splitK_TNT,right_only,0,140,0.0,876.429,0.0,0.006495,0.006495
nvjet_tss_64x32_64x16_4x1_v_bz_splitK_TNT,both,840,168,6064.937,1148.7,0.047906,0.008513,-0.039393
nvjet_tss_64x32_64x16_4x2_h_bz_splitK_TNT,both,20076,18976,131326.216,103626.336,1.037329,0.76797,-0.269358
nvjet_tss_64x40_64x16_4x1_v_bz_splitK_TNT,right_only,0,84,0.0,720.846,0.0,0.005342,0.005342
nvjet_tss_64x48_64x15_4x1_v_bz_splitK_TNT,right_only,0,21,0.0,181.923,0.0,0.001348,0.001348
nvjet_tss_64x56_64x14_4x1_v_bz_splitK_TNT,right_only,0,84,0.0,740.561,0.0,0.005488,0.005488
nvjet_tss_64x64_64x13_4x1_v_bz_splitK_TNT,both,5019,4683,54262.936,42149.408,0.428616,0.312367,-0.116248
nvjet_tss_64x8_64x16_2x4_h_bz_splitK_TNT,right_only,0,858,0.0,4377.097,0.0,0.032438,0.032438
nvjet_tss_64x8_64x16_4x1_v_bz_splitK_TNT,both,420,420,2822.203,2441.983,0.022292,0.018097,-0.004195
nvjet_tss_64x8_64x16_4x2_h_bz_splitK_TNT,right_only,0,336,0.0,1857.103,0.0,0.013763,0.013763
nvjet_tst_128x16_64x11_2x1_v_bz_TNT,both,8,8,418.857,429.193,0.003308,0.003181,-0.000128
nvjet_tst_128x24_64x11_2x1_v_bz_TNT,both,8,8,422.121,432.648,0.003334,0.003206,-0.000128
nvjet_tst_128x32_64x10_2x1_v_bz_TNT,both,8,8,423.498,447.336,0.003345,0.003315,-3e-05
nvjet_tst_128x40_64x10_2x1_v_bz_TNT,both,8,8,435.947,438.631,0.003443,0.003251,-0.000193
nvjet_tst_128x48_64x9_2x1_v_bz_TNT,both,8,8,434.411,440.712,0.003431,0.003266,-0.000165
nvjet_tst_128x56_64x9_2x1_v_bz_TNT,both,8,8,444.907,455.817,0.003514,0.003378,-0.000136
nvjet_tst_128x64_64x8_2x1_v_bz_TNT,both,8,8,432.073,450.472,0.003413,0.003338,-7.4e-05
nvjet_tst_128x8_64x12_2x1_v_bz_TNT,both,8,8,415.88,418.474,0.003285,0.003101,-0.000184
nvjet_tst_144x64_64x8_4x1_v_bz_TNN,both,224,224,11943.141,12948.277,0.094337,0.095959,0.001622
nvjet_tst_32x64_64x16_2x1_v_bz_TNN,both,21,21,366.151,363.912,0.002892,0.002697,-0.000195
nvjet_tst_32x64_64x16_2x1_v_bz_splitK_TNN,both,168,21,1556.511,94.66,0.012295,0.000702,-0.011593
nvjet_tst_64x16_64x16_1x1_h_bz_splitK_TNT,both,84,21,772.592,94.212,0.006103,0.000698,-0.005404
nvjet_tst_64x16_64x16_1x4_h_bz_splitK_TNT,right_only,0,21,0.0,97.76,0.0,0.000724,0.000724
nvjet_tst_64x32_64x16_1x2_h_bz_splitK_TNT,both,5019,4683,43477.355,22365.014,0.343422,0.165746,-0.177676
nvjet_tst_64x64_64x13_1x2_h_bz_TNT,both,651,651,19632.589,19667.026,0.155075,0.145752,-0.009324
nvjet_tst_64x64_64x13_1x4_h_bz_TNT,both,21,21,434.827,427.433,0.003435,0.003168,-0.000267
nvjet_tst_64x8_64x16_1x1_h_bz_splitK_TNT,both,84,84,755.95,403.34,0.005971,0.002989,-0.002982
nvjet_tst_64x8_64x16_1x2_h_bz_splitK_TNT,right_only,0,63,0.0,301.607,0.0,0.002235,0.002235
nvjet_tst_64x8_64x16_1x4_h_bz_splitK_TNT,right_only,0,462,0.0,2132.895,0.0,0.015807,0.015807
pow_func_tensor_scalar_kernel_rank_1,left_only,288,0,4389.216,0.0,0.03467,0.0,-0.03467
reduce_then_scan_root_scan_kernel_row,both,33,33,35.618,34.974,0.000281,0.000259,-2.2e-05
rms_norm_kernel,right_only,0,288,0.0,1823.583,0.0,0.013514,0.013514
rsqrt_func_kernel_rank_1,left_only,288,0,288.775,0.0,0.002281,0.0,-0.002281
sigmoid_forward_kernel_rank_1,right_only,0,12384,0.0,18966.632,0.0,0.140561,0.140561
smxx::decode::get_mla_metadata_kernel(GetDecodeSchedMetaParams),both,1148,1148,35703.805,35457.273,0.28202,0.262772,-0.019247
sub_func_kernel_rank_1,both,33,33,33.985,33.984,0.000268,0.000252,-1.7e-05
sub_func_tensor_scalar_kernel_rank_1,both,288,288,292.297,292.355,0.002309,0.002167,-0.000142
triton_poi_fused___and_____or___add_bitwise_not_ge_lt_mul_sub_0,both,288,288,396.527,358.109,0.003132,0.002654,-0.000478
triton_poi_fused_clamp_mul_sigmoid_slice_0,left_only,12384,0,35714.407,0.0,0.282103,0.0,-0.282103
