operator_name,presence,left_kernel_type_count,right_kernel_type_count,left_shape_dtype_variant_count,right_shape_dtype_variant_count,left_event_count,right_event_count,left_time_us,right_time_us,left_percent,right_percent,percent_point_delta
RmsNorm,right_only,0,1,0,36,0,288,0.0,1823.583,0.0,0.013514,0.013514
_C::cooperative_topk,both,2,2,17,18,357,693,1845.104,3569.169,0.014574,0.026451,0.011877
_C::fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,both,1,2,3,36,1419,12384,325821.517,374982.218,2.573622,2.778978,0.205356
_C::per_token_group_fp8_quant,both,1,1,9,63,7788,64428,299375.025,448847.143,2.364724,3.326387,0.961663
_C::persistent_topk,both,1,1,15,17,315,5334,1678.58,27857.162,0.013259,0.206448,0.193189
_C::silu_and_mul_with_clamp,both,1,1,3,36,1419,12384,43614.997,66786.709,0.344509,0.494954,0.150444
_C::top_k_per_row_prefill,both,1,1,33,33,693,693,45163.619,45022.794,0.356742,0.333662,-0.02308
_C_cache_ops::cp_gather_indexer_k_quant_cache,both,1,1,32,32,693,693,2459.69,2467.563,0.019429,0.018287,-0.001142
_C_custom_ar::all_reduce,right_only,0,1,0,15,0,1305,0.0,193008.586,0.0,1.430379,1.430379
_flashmla_C::sparse_decode_fwd,both,3,3,160,175,2880,25830,47383.722,485028.81,0.374278,3.594528,3.22025
_flashmla_C::sparse_prefill_fwd,both,1,1,99,99,1419,1419,1277130.063,1275415.49,10.087884,9.452051,-0.635834
_moe_C::moe_align_block_size,both,2,2,3,36,2838,24768,35194.469,87231.528,0.277997,0.646469,0.368473
_moe_C::moe_wna16_marlin_gemm,both,1,3,6,72,2838,24768,2494770.912,3451563.376,19.705871,25.579392,5.873521
_moe_C::topk_softplus_sqrt,both,1,1,6,72,1419,12384,24523.466,75743.886,0.193708,0.561335,0.367627
aten::add,both,2,2,106,172,2028,25344,94699.122,128240.676,0.748016,0.950386,0.20237
aten::argmax,both,1,1,64,64,288,288,9360.429,9310.332,0.073937,0.068998,-0.004938
aten::clamp,both,1,3,38,136,576,25344,726.126,39697.978,0.005736,0.2942,0.288464
aten::clamp_,both,1,1,76,128,864,864,1764.678,1736.418,0.013939,0.012869,-0.00107
aten::copy_,both,6,5,334,355,3469,5527,21433.953,19160.193,0.169304,0.141995,-0.027309
aten::cumsum,both,1,1,3,3,33,33,35.618,34.974,0.000281,0.000259,-2.2e-05
aten::embedding,both,1,1,3,36,33,288,718.515,1157.64,0.005675,0.008579,0.002904
aten::fill_,both,1,1,184,138,3362,8447,8318.442,14767.146,0.065706,0.109439,0.043732
aten::floor_divide,both,1,1,64,64,1928,1928,2312.718,2305.664,0.018268,0.017087,-0.001181
aten::full,both,1,1,1,1,1419,1419,8093.958,8115.381,0.063933,0.060143,-0.00379
aten::ge,both,1,1,9,36,576,576,627.535,629.485,0.004957,0.004665,-0.000292
aten::index,both,3,3,10,37,576,576,1091.943,1099.673,0.008625,0.00815,-0.000475
aten::masked_fill_,both,1,1,3,36,33,288,1698.375,2112.486,0.013415,0.015656,0.00224
aten::mean,left_only,1,0,3,0,33,0,1637.222,0.0,0.012932,0.0,-0.012932
aten::mm,both,18,43,79,244,4446,68559,293020.17,545296.824,2.314528,4.041172,1.726644
aten::mul,both,1,2,6,72,66,37152,4162.293,50561.598,0.032877,0.37471,0.341832
aten::mul_,both,1,1,3,36,1419,12384,1807.016,14278.959,0.014273,0.105821,0.091547
aten::pow,left_only,1,0,3,0,33,0,3804.784,0.0,0.030053,0.0,-0.030053
aten::repeat,both,1,1,3,36,33,288,49138.636,52120.402,0.38814,0.386262,-0.001878
aten::rsqrt,left_only,1,0,3,0,33,0,41.44,0.0,0.000327,0.0,-0.000327
aten::sigmoid,right_only,0,1,0,36,0,12384,0.0,18966.632,0.0,0.140561,0.140561
aten::sub,both,3,3,101,102,608,608,630.93,637.552,0.004984,0.004725,-0.000259
aten::zero_,left_only,1,0,16,0,27,0,24.992,0.0,0.000197,0.0,-0.000197
aten::zeros,both,1,1,1,1,1419,12384,1306.562,11360.872,0.01032,0.084195,0.073875
null,both,95,31,1,1,605659,160036,5442781.563,2191420.175,42.991824,16.240523,-26.751301
record_param_comms,both,1,1,64,64,288,288,17571.569,18263.765,0.138796,0.135352,-0.003444
symm_mem::multimem_all_reduce_,both,1,1,3,21,2871,23751,1247567.113,2573732.568,9.85437,19.073824,9.219454
triton_poi_fused___and_____or___add_bitwise_not_ge_lt_mul_sub_0,both,1,1,3,36,33,288,57.378,358.109,0.000453,0.002654,0.002201
triton_poi_fused_clamp_mul_sigmoid_slice_0,left_only,1,0,3,0,1419,0,12979.049,0.0,0.10252,0.0,-0.10252
vllm::dynamic_flashinfer_deepgemm_blockscale_gemm,both,8,24,15,180,7788,71508,441496.206,764483.352,3.487321,5.665554,2.178233
vllm::fused_inv_rope_fp8_quant_kernel,both,1,1,3,36,1419,12384,110905.397,135289.363,0.876027,1.002624,0.126596
vllm::moe_forward_shared,both,1,1,3,36,1419,12384,218141.049,245237.527,1.723068,1.817445,0.094377
vllm::sparse_attn_indexer,both,2,2,3,36,1365,6720,63122.795,103808.17,0.498599,0.769318,0.270719
