kernel_name,presence,left_call_count,right_call_count,left_time_us,right_time_us,left_percent,right_percent,percent_point_delta
_build_c128a_topk_metadata_kernel,both,288,288,797.714,787.658,0.005912,0.002563,-0.003349
_build_prefill_chunk_metadata_kernel,both,33,33,71.716,71.809,0.000531,0.000234,-0.000298
_combine_topk_swa_indices_kernel,both,1419,1419,24226.714,24229.967,0.179543,0.07883,-0.100714
_compressed_slot_mapping_kernel,both,864,864,1619.108,1634.962,0.011999,0.005319,-0.00668
_compute_global_topk_indices_and_lens_kernel,both,6027,6027,14513.659,14735.634,0.10756,0.047941,-0.059619
_compute_prefill_metadata_kernel,both,66,66,67.877,68.101,0.000503,0.000222,-0.000281
_compute_slot_mapping_kernel,both,1440,1440,5020.939,5002.802,0.03721,0.016276,-0.020934
_compute_swa_indices_and_lens_kernel,both,640,640,1968.806,1950.826,0.014591,0.006347,-0.008244
_fused_inv_rope_fp8_quant_per_head,both,12384,12384,135289.363,138402.585,1.002624,0.450277,-0.552346
_fused_kv_compress_norm_rope_insert_indexer_attn,both,6048,6048,47409.452,53697.703,0.351349,0.1747,-0.17665
_fused_q_kv_rmsnorm_kernel,both,12384,12384,45533.423,45553.799,0.337446,0.148204,-0.189242
_repeat_flaggems_jit_function,left_only,288,0,52120.402,0.0,0.386262,0.0,-0.386262
_save_partial_states_kernel,both,17856,17856,104129.04,111153.139,0.771696,0.361624,-0.410072
add_func_kernel_rank_1,left_only,12960,0,110734.942,0.0,0.820652,0.0,-0.820652
add_func_tensor_scalar_kernel_rank_1,left_only,12384,0,17505.734,0.0,0.129734,0.0,-0.129734
argmax_kernel_inner,left_only,288,0,9310.332,0.0,0.068998,0.0,-0.068998
clamp_func_kernel_rank_2,left_only,12384,0,19553.382,0.0,0.144909,0.0,-0.144909
clamp_func_max_kernel_rank_2,left_only,12384,0,19423.116,0.0,0.143944,0.0,-0.143944
clamp_func_min_kernel_rank_1,left_only,1440,0,2457.898,0.0,0.018215,0.0,-0.018215
embedding_kernel,left_only,288,0,1157.64,0.0,0.008579,0.0,-0.008579
fill_scalar_kernel,left_only,8447,0,14767.146,0.0,0.109439,0.0,-0.109439
floor_div_func_tensor_scalar_kernel_rank_1,left_only,1928,0,2305.664,0.0,0.017087,0.0,-0.017087
full_func_scalar_kernel_rank_1,left_only,1419,0,8115.381,0.0,0.060143,0.0,-0.060143
ge_func_scalar_kernel_rank_1,left_only,576,0,629.485,0.0,0.004665,0.0,-0.004665
hc_head_fuse_tilelang_kernel,both,288,288,8679.549,8762.392,0.064324,0.028507,-0.035816
kernel_cutlass_kernel_vllmmodelsdeepseek_v4nvidiaopsdequant_gather_k_cutedslDequantGatherKCacheKernel_object_at__tensorptrbf16gmemalign32o512i64div16i64div161_tensorptri8gmemalign32o2576i_0,both,660,660,2158.898,2140.287,0.016,0.006963,-0.009036
kernel_cutlass_kernel_vllmmodelsdeepseek_v4nvidiaopsdequant_gather_k_cutedslDequantGatherKCacheKernel_object_at__tensorptrbf16gmemalign32o512i64div16i64div161_tensorptri8gmemalign32o64576_0,both,2112,2112,12372.119,12299.004,0.091689,0.040013,-0.051676
kernel_cutlass_kernel_vllmmodelsdeepseek_v4nvidiaopsfused_indexer_q_cutedslIndexerQFp8Kernel_object_at__tensorptri64gmemo1_tensorptrbf16gmemalign32o64128i64div16i64div161_tensorptrf32gmem_0,both,6048,6048,70690.914,70028.698,0.523887,0.227831,-0.296057
kernel_cutlass_kernel_vllmmodelsdeepseek_v4nvidiaopssparse_attn_compress_cutedslSparseAttnCompressC128Block8Kernel_object_at__tensorptrf32gmemalign16o1024i64div16i64div161_tensorptri32gme_0,both,5760,5760,98259.488,108578.364,0.728197,0.353248,-0.374949
kernel_cutlass_kernel_vllmmodelsdeepseek_v4nvidiaopssparse_attn_compress_cutedslSparseAttnCompressNormRopeStoreC4Kernel_object_at__tensorptrf32gmemalign16o2048i64div16i64div161_tensorptri_0,both,6048,6048,90890.906,95309.727,0.673589,0.31008,-0.363509
kernel_cutlass_kernel_vllmmodelsdeepseek_v4nvidiaopssparse_attn_compress_cutedslSparseAttnNormRopeStoreKernel_object_at__tensorptrf32gmemo5125121_tensorptri64gmemalign64o1_tensorptri64gme_0,both,5760,5760,21816.267,20383.118,0.161679,0.066314,-0.095365
masked_fill_kernel_kernel_rank_2,left_only,288,0,2112.486,0.0,0.015656,0.0,-0.015656
mhc_fused_tilelang_kernel,both,680,680,3480.774,3443.556,0.025796,0.011203,-0.014593
mhc_post_tilelang_kernel,both,24088,24088,660255.144,659537.535,4.893123,2.145732,-2.747391
mhc_pre_big_fuse_with_norm_tilelang_kernel,both,24768,24768,458322.857,459190.119,3.396611,1.493924,-1.902687
moe_sum_kernel,left_only,12384,0,245237.527,0.0,1.817445,0.0,-1.817445
mul_kernel,left_only,24768,0,33834.823,0.0,0.250748,0.0,-0.250748
mul_scalar_kernel,left_only,24768,0,31005.734,0.0,0.229782,0.0,-0.229782
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>),both,288,288,18263.765,93934.349,0.135352,0.305605,0.170253
nvjet_tss_128x128_64x6_2x1_v_bz_TNT,both,1354,1354,41932.918,41658.231,0.310763,0.13553,-0.175233
nvjet_tss_128x160_64x5_2x1_v_bz_TNT,both,21,21,687.375,688.433,0.005094,0.00224,-0.002854
nvjet_tss_128x64_64x8_1x2_h_bz_TNT,both,43,43,840.595,833.078,0.00623,0.00271,-0.003519
nvjet_tss_128x80_64x8_1x2_h_bz_TNT,both,43,43,942.163,941.973,0.006982,0.003065,-0.003918
nvjet_tss_16x64_64x16_2x1_v_bz_TNN,both,84,84,950.133,1088.728,0.007041,0.003542,-0.003499
nvjet_tss_256x128_64x4_1x2_h_bz_coopA_TNT,both,1963,1963,208999.403,208459.067,1.548886,0.678198,-0.870687
nvjet_tss_256x160_64x4_1x2_h_bz_coopA_TNT,both,41,41,3552.007,3563.148,0.026324,0.011592,-0.014731
nvjet_tss_64x16_64x16_2x4_h_bz_splitK_TNT,both,383,383,2040.624,2303.466,0.015123,0.007494,-0.007629
nvjet_tss_64x16_64x16_4x1_v_bz_splitK_TNT,both,188,188,1301.623,1344.707,0.009646,0.004375,-0.005271
nvjet_tss_64x16_64x16_4x2_h_bz_splitK_TNT,both,123,123,708.819,788.938,0.005253,0.002567,-0.002686
nvjet_tss_64x24_64x16_4x1_v_bz_splitK_TNT,both,164,164,1200.186,1306.619,0.008895,0.004251,-0.004644
nvjet_tss_64x24_64x16_4x2_h_bz_TNT,both,63,63,619.791,706.477,0.004593,0.002298,-0.002295
nvjet_tss_64x24_64x16_4x2_h_bz_splitK_TNT,both,140,140,876.429,969.78,0.006495,0.003155,-0.00334
nvjet_tss_64x32_64x16_4x1_v_bz_splitK_TNT,both,168,168,1148.7,1253.637,0.008513,0.004079,-0.004434
nvjet_tss_64x32_64x16_4x2_h_bz_splitK_TNT,both,18976,18976,103626.336,113687.462,0.76797,0.36987,-0.398101
nvjet_tss_64x40_64x16_4x1_v_bz_splitK_TNT,both,84,84,720.846,782.348,0.005342,0.002545,-0.002797
nvjet_tss_64x48_64x15_4x1_v_bz_splitK_TNT,both,21,21,181.923,201.158,0.001348,0.000654,-0.000694
nvjet_tss_64x56_64x14_4x1_v_bz_splitK_TNT,both,84,84,740.561,820.532,0.005488,0.00267,-0.002819
nvjet_tss_64x64_64x13_4x1_v_bz_splitK_TNT,both,4683,4683,42149.408,46694.125,0.312367,0.151914,-0.160453
nvjet_tss_64x8_64x16_2x4_h_bz_splitK_TNT,both,858,858,4377.097,4594.838,0.032438,0.014949,-0.01749
nvjet_tss_64x8_64x16_4x1_v_bz_splitK_TNT,both,420,420,2441.983,2584.988,0.018097,0.00841,-0.009687
nvjet_tss_64x8_64x16_4x2_h_bz_splitK_TNT,both,336,336,1857.103,2027.395,0.013763,0.006596,-0.007167
nvjet_tst_128x16_64x11_2x1_v_bz_TNT,both,8,8,429.193,419.722,0.003181,0.001366,-0.001815
nvjet_tst_128x24_64x11_2x1_v_bz_TNT,both,8,8,432.648,420.97,0.003206,0.00137,-0.001837
nvjet_tst_128x32_64x10_2x1_v_bz_TNT,both,8,8,447.336,429.354,0.003315,0.001397,-0.001918
nvjet_tst_128x40_64x10_2x1_v_bz_TNT,both,8,8,438.631,432.842,0.003251,0.001408,-0.001842
nvjet_tst_128x48_64x9_2x1_v_bz_TNT,both,8,8,440.712,446.185,0.003266,0.001452,-0.001814
nvjet_tst_128x56_64x9_2x1_v_bz_TNT,both,8,8,455.817,437.961,0.003378,0.001425,-0.001953
nvjet_tst_128x64_64x8_2x1_v_bz_TNT,both,8,8,450.472,434.025,0.003338,0.001412,-0.001926
nvjet_tst_128x8_64x12_2x1_v_bz_TNT,both,8,8,418.474,414.088,0.003101,0.001347,-0.001754
nvjet_tst_144x64_64x8_4x1_v_bz_TNN,both,224,224,12948.277,12434.67,0.095959,0.040455,-0.055504
nvjet_tst_32x64_64x16_2x1_v_bz_TNN,both,21,21,363.912,361.986,0.002697,0.001178,-0.001519
nvjet_tst_32x64_64x16_2x1_v_bz_splitK_TNN,both,21,21,94.66,136.775,0.000702,0.000445,-0.000257
nvjet_tst_64x16_64x16_1x1_h_bz_splitK_TNT,both,21,21,94.212,93.888,0.000698,0.000305,-0.000393
nvjet_tst_64x16_64x16_1x4_h_bz_splitK_TNT,both,21,21,97.76,122.208,0.000724,0.000398,-0.000327
nvjet_tst_64x32_64x16_1x2_h_bz_splitK_TNT,both,4683,4683,22365.014,31040.87,0.165746,0.100988,-0.064758
nvjet_tst_64x64_64x13_1x2_h_bz_TNT,both,651,651,19667.026,19605.66,0.145752,0.063785,-0.081967
nvjet_tst_64x64_64x13_1x4_h_bz_TNT,both,21,21,427.433,430.857,0.003168,0.001402,-0.001766
nvjet_tst_64x8_64x16_1x1_h_bz_splitK_TNT,both,84,84,403.34,504.269,0.002989,0.001641,-0.001349
nvjet_tst_64x8_64x16_1x2_h_bz_splitK_TNT,both,63,63,301.607,436.525,0.002235,0.00142,-0.000815
