operator_name,presence,left_kernel_type_count,right_kernel_type_count,left_shape_dtype_variant_count,right_shape_dtype_variant_count,left_event_count,right_event_count,left_time_us,right_time_us,left_percent,right_percent,percent_point_delta
RmsNorm,left_only,1,0,36,0,288,0,1823.583,0.0,0.013514,0.0,-0.013514
_C::cooperative_topk,both,2,2,18,18,693,693,3569.169,3564.848,0.026451,0.011598,-0.014853
_C::fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,both,2,2,36,36,12384,12384,374982.218,380764.732,2.778978,1.238776,-1.540202
_C::per_token_group_fp8_quant,both,1,1,63,63,64428,64428,448847.143,462916.815,3.326387,1.506048,-1.820339
_C::persistent_topk,both,1,1,17,17,5334,5334,27857.162,28034.671,0.206448,0.091208,-0.115241
_C::rms_norm,right_only,0,1,0,36,0,288,0.0,2005.093,0.0,0.006523,0.006523
_C::silu_and_mul_with_clamp,both,1,1,36,67,12384,24768,66786.709,97140.443,0.494954,0.316036,-0.178918
_C::top_k_per_row_prefill,both,1,1,33,33,693,693,45022.794,44979.148,0.333662,0.146335,-0.187327
_C_cache_ops::cp_gather_indexer_k_quant_cache,both,1,1,32,32,693,693,2467.563,2474.893,0.018287,0.008052,-0.010235
_C_custom_ar::all_reduce,both,1,1,15,15,1305,1305,193008.586,1008954.055,1.430379,3.28252,1.852141
_flashmla_C::sparse_decode_fwd,both,3,3,175,175,25830,25830,485028.81,486726.031,3.594528,1.583509,-2.011019
_flashmla_C::sparse_prefill_fwd,both,1,1,99,99,1419,1419,1275415.49,1277304.917,9.452051,4.15557,-5.296481
_moe_C::moe_align_block_size,both,2,2,36,36,24768,24768,87231.528,90522.008,0.646469,0.294503,-0.351966
_moe_C::moe_wna16_marlin_gemm,both,3,3,72,72,24768,24768,3451563.376,3448808.306,25.579392,11.220315,-14.359077
_moe_C::topk_softplus_sqrt,both,1,2,72,72,12384,12384,75743.886,78486.973,0.561335,0.255349,-0.305986
aten::add,both,2,3,172,136,25344,12960,128240.676,112490.825,0.950386,0.365976,-0.58441
aten::argmax,both,1,1,64,64,288,288,9310.332,11129.096,0.068998,0.036207,-0.032791
aten::clamp,both,3,1,136,64,25344,576,39697.978,761.819,0.2942,0.002478,-0.291722
aten::clamp_,both,1,1,128,128,864,864,1736.418,1707.44,0.012869,0.005555,-0.007314
aten::copy_,both,5,5,355,391,5527,5815,19160.193,30769.021,0.141995,0.100104,-0.041892
aten::cumsum,both,1,2,3,3,33,66,34.974,87.877,0.000259,0.000286,2.7e-05
aten::embedding,left_only,1,0,36,0,288,0,1157.64,0.0,0.008579,0.0,-0.008579
aten::fill_,both,1,4,138,238,8447,22250,14767.146,34538.052,0.109439,0.112366,0.002927
aten::floor_divide,both,1,3,64,64,1928,1928,2305.664,3108.892,0.017087,0.010114,-0.006973
aten::full,left_only,1,0,1,0,1419,0,8115.381,0.0,0.060143,0.0,-0.060143
aten::gather,right_only,0,1,0,28,0,280,0.0,1225.468,0.0,0.003987,0.003987
aten::ge,both,1,1,36,36,576,576,629.485,749.827,0.004665,0.002439,-0.002226
aten::index,both,3,3,37,37,576,576,1099.673,1074.535,0.00815,0.003496,-0.004654
aten::index_select,right_only,0,1,0,8,0,8,0.0,42.017,0.0,0.000137,0.000137
aten::masked_fill_,both,1,1,36,36,288,288,2112.486,3809.006,0.015656,0.012392,-0.003263
aten::mm,both,43,43,244,244,68559,68559,545296.824,579243.598,4.041172,1.884505,-2.156667
aten::mul,left_only,2,0,72,0,37152,0,50561.598,0.0,0.37471,0.0,-0.37471
aten::mul_,left_only,1,0,36,0,12384,0,14278.959,0.0,0.105821,0.0,-0.105821
aten::repeat,left_only,1,0,36,0,288,0,52120.402,0.0,0.386262,0.0,-0.386262
aten::sigmoid,left_only,1,0,36,0,12384,0,18966.632,0.0,0.140561,0.0,-0.140561
aten::sub,both,3,3,102,102,608,608,637.552,652.262,0.004725,0.002122,-0.002603
aten::sum,right_only,0,1,0,36,0,12384,0.0,386028.519,0.0,1.255901,1.255901
aten::zeros,left_only,1,0,1,0,12384,0,11360.872,0.0,0.084195,0.0,-0.084195
null,both,31,31,1,1,160036,160036,2191420.175,2220589.131,16.240523,7.22444,-9.016083
record_param_comms,both,1,1,64,64,288,288,18263.765,93934.349,0.135352,0.305605,0.170253
symm_mem::multimem_all_reduce_,both,1,1,21,21,23751,23751,2573732.568,18801622.742,19.073824,61.16899,42.095166
triton_poi_fused___and_____or___add_bitwise_not_ge_lt_mul_sub_0,left_only,1,0,36,0,288,0,358.109,0.0,0.002654,0.0,-0.002654
triton_poi_fused_add_bitwise_and_bitwise_not_bitwise_or_ge_lt_mul_sub_0,right_only,0,1,0,36,0,288,0.0,367.304,0.0,0.001195,0.001195
vllm::dynamic_flashinfer_deepgemm_blockscale_gemm,both,24,24,180,180,71508,71508,764483.352,797248.614,5.665554,2.59376,-3.071794
vllm::fused_inv_rope_fp8_quant_kernel,both,1,1,36,36,12384,12384,135289.363,138402.585,1.002624,0.450277,-0.552346
vllm::moe_forward_shared,left_only,1,0,36,0,12384,0,245237.527,0.0,1.817445,0.0,-1.817445
vllm::sparse_attn_indexer,both,2,2,36,36,6720,6720,103808.17,104914.174,0.769318,0.341327,-0.427991
