operator_name,input_shapes,input_dtypes,presence,left_mapping_statuses,right_mapping_statuses,left_kernel_type_count,right_kernel_type_count,left_event_count,right_event_count,left_time_us,right_time_us,left_percent,right_percent,percent_point_delta
RmsNorm,"[[10,4096],[],[4096],[]]","[""c10::BFloat16"",""ScalarList"",""c10::BFloat16"",""Scalar""]",left_only,"[""operator_shape_matched""]",[],1,0,1,0,2.24,0.0,1.7e-05,0.0,-1.7e-05
RmsNorm,"[[12,4096],[],[4096],[]]","[""c10::BFloat16"",""ScalarList"",""c10::BFloat16"",""Scalar""]",left_only,"[""operator_shape_matched""]",[],1,0,1,0,1.792,0.0,1.3e-05,0.0,-1.3e-05
RmsNorm,"[[14,4096],[],[4096],[]]","[""c10::BFloat16"",""ScalarList"",""c10::BFloat16"",""Scalar""]",left_only,"[""operator_shape_matched""]",[],1,0,1,0,2.08,0.0,1.5e-05,0.0,-1.5e-05
RmsNorm,"[[16,4096],[],[4096],[]]","[""c10::BFloat16"",""ScalarList"",""c10::BFloat16"",""Scalar""]",left_only,"[""operator_shape_matched""]",[],1,0,1,0,1.888,0.0,1.4e-05,0.0,-1.4e-05
RmsNorm,"[[18,4096],[],[4096],[]]","[""c10::BFloat16"",""ScalarList"",""c10::BFloat16"",""Scalar""]",left_only,"[""operator_shape_matched""]",[],1,0,1,0,1.791,0.0,1.3e-05,0.0,-1.3e-05
RmsNorm,"[[2,4096],[],[4096],[]]","[""c10::BFloat16"",""ScalarList"",""c10::BFloat16"",""Scalar""]",left_only,"[""operator_shape_matched""]",[],1,0,1,0,1.793,0.0,1.3e-05,0.0,-1.3e-05
RmsNorm,"[[20,4096],[],[4096],[]]","[""c10::BFloat16"",""ScalarList"",""c10::BFloat16"",""Scalar""]",left_only,"[""operator_shape_matched""]",[],1,0,1,0,1.856,0.0,1.4e-05,0.0,-1.4e-05
RmsNorm,"[[22,4096],[],[4096],[]]","[""c10::BFloat16"",""ScalarList"",""c10::BFloat16"",""Scalar""]",left_only,"[""operator_shape_matched""]",[],1,0,1,0,1.856,0.0,1.4e-05,0.0,-1.4e-05
RmsNorm,"[[24,4096],[],[4096],[]]","[""c10::BFloat16"",""ScalarList"",""c10::BFloat16"",""Scalar""]",left_only,"[""operator_shape_matched""]",[],1,0,1,0,2.08,0.0,1.5e-05,0.0,-1.5e-05
RmsNorm,"[[26,4096],[],[4096],[]]","[""c10::BFloat16"",""ScalarList"",""c10::BFloat16"",""Scalar""]",left_only,"[""operator_shape_matched""]",[],1,0,1,0,2.049,0.0,1.5e-05,0.0,-1.5e-05
