kernel_name,presence,left_call_count,right_call_count,left_time_us,right_time_us,left_percent,right_percent,percent_point_delta
_build_c128a_topk_metadata_kernel,both,288,288,810.778,805.774,0.006404,0.006536,0.000131
_build_prefill_chunk_metadata_kernel,both,33,33,71.648,71.497,0.000566,0.00058,1.4e-05
_combine_topk_swa_indices_kernel,both,1419,1419,24270.926,24267.395,0.191713,0.196831,0.005118
_compressed_slot_mapping_kernel,both,864,864,1626.478,1639.967,0.012847,0.013302,0.000454
_compute_global_topk_indices_and_lens_kernel,both,6027,6027,14420.608,14432.985,0.113907,0.117065,0.003158
_compute_prefill_metadata_kernel,both,66,66,67.87,68.129,0.000536,0.000553,1.6e-05
_compute_slot_mapping_kernel,both,1440,1440,5003.013,5033.106,0.039518,0.040823,0.001305
_compute_swa_indices_and_lens_kernel,both,640,640,1952.897,1972.642,0.015426,0.016,0.000574
_fused_inv_rope_fp8_quant_per_head,both,12384,12384,142374.779,142765.809,1.1246,1.157963,0.033363
_fused_kv_compress_norm_rope_insert_indexer_attn,both,6048,6048,71722.975,72554.355,0.56653,0.588483,0.021953
_fused_q_kv_rmsnorm_kernel,both,12384,12384,48793.114,48843.17,0.38541,0.396163,0.010753
_repeat_flaggems_jit_function,left_only,288,0,52202.705,0.0,0.412342,0.0,-0.412342
_save_partial_states_kernel,both,17856,17856,106751.838,105976.457,0.843219,0.859567,0.016348
add_func_kernel_rank_1,left_only,12960,0,112468.5,0.0,0.888374,0.0,-0.888374
add_func_tensor_scalar_kernel_rank_1,left_only,288,0,290.762,0.0,0.002297,0.0,-0.002297
argmax_kernel_inner,left_only,288,0,9360.429,0.0,0.073937,0.0,-0.073937
clamp_func_min_kernel_rank_1,left_only,1440,0,2490.804,0.0,0.019675,0.0,-0.019675
embedding_kernel,left_only,288,0,1153.882,0.0,0.009114,0.0,-0.009114
fill_scalar_kernel,left_only,8717,0,20199.31,0.0,0.159552,0.0,-0.159552
floor_div_func_tensor_scalar_kernel_rank_1,left_only,1928,0,2312.718,0.0,0.018268,0.0,-0.018268
full_func_scalar_kernel_rank_1,left_only,1419,0,8093.958,0.0,0.063933,0.0,-0.063933
ge_func_scalar_kernel_rank_1,left_only,576,0,627.535,0.0,0.004957,0.0,-0.004957
hc_head_fuse_tilelang_kernel,both,288,288,8660.662,8723.479,0.068409,0.070755,0.002346
kernel_cutlass_kernel_vllmmodelsdeepseek_v4nvidiaopsdequant_gather_k_cutedslDequantGatherKCacheKernel_object_at__tensorptrbf16gmemalign32o512i64div16i64div161_tensorptri8gmemalign32o2576i_0,both,660,660,2131.34,2141.415,0.016835,0.017369,0.000534
kernel_cutlass_kernel_vllmmodelsdeepseek_v4nvidiaopsdequant_gather_k_cutedslDequantGatherKCacheKernel_object_at__tensorptrbf16gmemalign32o512i64div16i64div161_tensorptri8gmemalign32o64576_0,both,2112,2112,12319.16,12325.582,0.097307,0.099972,0.002664
kernel_cutlass_kernel_vllmmodelsdeepseek_v4nvidiaopsfused_indexer_q_cutedslIndexerQFp8Kernel_object_at__tensorptri64gmemo1_tensorptrbf16gmemalign32o64128i64div16i64div161_tensorptrf32gmem_0,both,6048,6048,79231.184,79220.384,0.625837,0.642551,0.016714
kernel_cutlass_kernel_vllmmodelsdeepseek_v4nvidiaopssparse_attn_compress_cutedslSparseAttnCompressC128Block8Kernel_object_at__tensorptrf32gmemalign16o1024i64div16i64div161_tensorptri32gme_0,both,5760,5760,118193.216,120395.227,0.933593,0.976517,0.042924
kernel_cutlass_kernel_vllmmodelsdeepseek_v4nvidiaopssparse_attn_compress_cutedslSparseAttnCompressNormRopeStoreC4Kernel_object_at__tensorptrf32gmemalign16o2048i64div16i64div161_tensorptri_0,both,6048,6048,141532.672,139182.514,1.117948,1.128899,0.010951
kernel_cutlass_kernel_vllmmodelsdeepseek_v4nvidiaopssparse_attn_compress_cutedslSparseAttnNormRopeStoreKernel_object_at__tensorptrf32gmemo5125121_tensorptri64gmemalign64o1_tensorptri64gme_0,both,5760,5760,26855.8,25233.323,0.21213,0.204666,-0.007465
masked_fill_kernel_kernel_rank_2,left_only,288,0,2100.155,0.0,0.016589,0.0,-0.016589
mean_dim_kernel_inner,left_only,288,0,2039.697,0.0,0.016111,0.0,-0.016111
memcpy128,both,247,247,462.698,435.436,0.003655,0.003532,-0.000123
memcpy32_post,both,53951,53951,71611.279,72446.971,0.565648,0.587612,0.021964
mhc_fused_tilelang_kernel,both,680,680,3550.471,3530.541,0.028045,0.028636,0.000591
mhc_post_tilelang_kernel,both,24088,24088,658210.521,658454.888,5.199119,5.340679,0.14156
mhc_pre_big_fuse_with_norm_tilelang_kernel,both,24768,24768,460543.307,460010.822,3.637772,3.731114,0.093342
moe_sum_kernel,left_only,12384,0,244613.472,0.0,1.93217,0.0,-1.93217
mul_broadcast_2d_kernel,left_only,576,0,5102.75,0.0,0.040306,0.0,-0.040306
mul_scalar_kernel,left_only,12384,0,20792.281,0.0,0.164236,0.0,-0.164236
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>),both,288,288,17571.569,17438.935,0.138796,0.141446,0.00265
nvjet_tss_128x128_64x6_2x1_v_bz_TNT,both,1354,1354,42175.011,41724.561,0.333135,0.338425,0.00529
nvjet_tss_128x160_64x5_2x1_v_bz_TNT,both,21,21,688.08,686.033,0.005435,0.005564,0.000129
nvjet_tss_128x64_64x8_1x2_h_bz_TNT,both,43,43,833.427,829.456,0.006583,0.006728,0.000145
nvjet_tss_128x80_64x8_1x2_h_bz_TNT,both,43,43,946.352,950.52,0.007475,0.00771,0.000234
nvjet_tss_256x128_64x4_1x2_h_bz_coopA_TNT,both,1963,1963,209022.449,208273.23,1.651041,1.689289,0.038248
nvjet_tss_256x160_64x4_1x2_h_bz_coopA_TNT,both,41,41,3550.449,3525.901,0.028045,0.028598,0.000554
nvjet_tss_64x16_64x16_4x1_v_bz_splitK_TNT,both,420,420,2895.675,2892.129,0.022873,0.023458,0.000585
nvjet_tss_64x32_64x16_4x1_v_bz_splitK_TNT,both,840,840,6064.937,6023.912,0.047906,0.04886,0.000953
nvjet_tss_64x32_64x16_4x2_h_bz_splitK_TNT,both,20076,20076,131326.216,129658.428,1.037329,1.05165,0.014321
nvjet_tss_64x64_64x13_4x1_v_bz_splitK_TNT,both,5019,5019,54262.936,54120.634,0.428616,0.438968,0.010353
nvjet_tss_64x8_64x16_4x1_v_bz_splitK_TNT,both,420,420,2822.203,2818.969,0.022292,0.022864,0.000572
nvjet_tst_128x16_64x11_2x1_v_bz_TNT,both,8,8,418.857,416.104,0.003308,0.003375,6.6e-05
nvjet_tst_128x24_64x11_2x1_v_bz_TNT,both,8,8,422.121,418.311,0.003334,0.003393,5.9e-05
nvjet_tst_128x32_64x10_2x1_v_bz_TNT,both,8,8,423.498,416.459,0.003345,0.003378,3.3e-05
nvjet_tst_128x40_64x10_2x1_v_bz_TNT,both,8,8,435.947,428.298,0.003443,0.003474,3e-05
nvjet_tst_128x48_64x9_2x1_v_bz_TNT,both,8,8,434.411,421.544,0.003431,0.003419,-1.2e-05
nvjet_tst_128x56_64x9_2x1_v_bz_TNT,both,8,8,444.907,445.48,0.003514,0.003613,9.9e-05
nvjet_tst_128x64_64x8_2x1_v_bz_TNT,both,8,8,432.073,433.291,0.003413,0.003514,0.000102
nvjet_tst_128x8_64x12_2x1_v_bz_TNT,both,8,8,415.88,404.008,0.003285,0.003277,-8e-06
nvjet_tst_144x64_64x8_4x1_v_bz_TNN,both,224,224,11943.141,12341.386,0.094337,0.1001,0.005763
nvjet_tst_32x64_64x16_2x1_v_bz_TNN,both,21,21,366.151,358.051,0.002892,0.002904,1.2e-05
nvjet_tst_32x64_64x16_2x1_v_bz_splitK_TNN,both,168,168,1556.511,1561.829,0.012295,0.012668,0.000373
nvjet_tst_64x16_64x16_1x1_h_bz_splitK_TNT,both,84,84,772.592,772.438,0.006103,0.006265,0.000163
nvjet_tst_64x32_64x16_1x2_h_bz_splitK_TNT,both,5019,5019,43477.355,43027.217,0.343422,0.348991,0.005569
nvjet_tst_64x64_64x13_1x2_h_bz_TNT,both,651,651,19632.589,19592.544,0.155075,0.158914,0.003838
nvjet_tst_64x64_64x13_1x4_h_bz_TNT,both,21,21,434.827,432.843,0.003435,0.003511,7.6e-05
nvjet_tst_64x8_64x16_1x1_h_bz_splitK_TNT,both,84,84,755.95,755.955,0.005971,0.006131,0.00016
pow_func_tensor_scalar_kernel_rank_1,left_only,288,0,4389.216,0.0,0.03467,0.0,-0.03467
reduce_then_scan_root_scan_kernel_row,left_only,33,0,35.618,0.0,0.000281,0.0,-0.000281
rsqrt_func_kernel_rank_1,left_only,288,0,288.775,0.0,0.002281,0.0,-0.002281
smxx::decode::get_mla_metadata_kernel(GetDecodeSchedMetaParams),both,1148,1148,35703.805,35717.429,0.28202,0.289701,0.007682
sub_func_kernel_rank_1,left_only,33,0,33.985,0.0,0.000268,0.0,-0.000268
sub_func_tensor_scalar_kernel_rank_1,left_only,288,0,292.297,0.0,0.002309,0.0,-0.002309
triton_poi_fused___and_____or___add_bitwise_not_ge_lt_mul_sub_0,left_only,288,0,396.527,0.0,0.003132,0.0,-0.003132
triton_poi_fused_add_bitwise_and_bitwise_not_bitwise_or_ge_lt_mul_sub_0,right_only,0,288,0.0,408.577,0.0,0.003314,0.003314
triton_poi_fused_clamp_mul_sigmoid_slice_0,both,12384,12384,35714.407,35912.115,0.282103,0.291281,0.009177
"void (anonymous namespace)::multimem_all_reduce_kernel<c10::BFloat16, 16>(c10::BFloat16*, unsigned long, unsigned int**, unsigned long, unsigned long)",both,24360,24360,1576722.203,1152186.7,12.454324,9.345302,-3.109022
"void at::native::(anonymous namespace)::indexSelectSmallIndex<c10::BFloat16, long, unsigned int, 2, 2, -2>(at::cuda::detail::TensorInfo<c10::BFloat16, unsigned int>, at::cuda::detail::TensorInfo<c10::BFloat16 const, unsigned int>, at::cuda::detail::TensorInfo<long const, unsigned int>, int, int, unsigned int, long)",right_only,0,8,0.0,44.802,0.0,0.000363,0.000363
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1})",right_only,0,288,0.0,4099.508,0.0,0.033251,0.033251
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<int> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<int> const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<int> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<int> const&)::{lambda(int)#1})",right_only,0,33,0.0,40.673,0.0,0.00033,0.00033
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1})",both,236,236,594.933,805.2,0.004699,0.006531,0.001832
