operator_name,presence,left_kernel_type_count,right_kernel_type_count,left_shape_dtype_variant_count,right_shape_dtype_variant_count,left_event_count,right_event_count,left_time_us,right_time_us,left_percent,right_percent,percent_point_delta
_C::cooperative_topk,both,2,2,17,17,357,357,1845.104,1818.453,0.014574,0.014749,0.000175
_C::fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,both,1,1,3,3,1419,1419,325821.517,326949.037,2.573622,2.65186,0.078238
_C::per_token_group_fp8_quant,both,1,1,9,9,7788,7788,299375.025,299862.915,2.364724,2.432166,0.067442
_C::persistent_topk,both,1,1,15,15,315,315,1678.58,1671.213,0.013259,0.013555,0.000296
_C::silu_and_mul_with_clamp,both,1,1,3,3,1419,1419,43614.997,43747.702,0.344509,0.354834,0.010325
_C::top_k_per_row_prefill,both,1,1,33,33,693,693,45163.619,45165.462,0.356742,0.366334,0.009592
_C_cache_ops::cp_gather_indexer_k_quant_cache,both,1,1,32,32,693,693,2459.69,2441.362,0.019429,0.019802,0.000373
_flashmla_C::sparse_decode_fwd,both,3,3,160,160,2880,2880,47383.722,47196.346,0.374278,0.382806,0.008528
_flashmla_C::sparse_prefill_fwd,both,1,1,99,99,1419,1419,1277130.063,1270223.667,10.087884,10.302691,0.214806
_moe_C::moe_align_block_size,both,2,2,3,3,2838,2838,35194.469,35088.763,0.277997,0.284602,0.006606
_moe_C::moe_wna16_marlin_gemm,both,1,1,6,6,2838,2838,2494770.912,2475368.432,19.705871,20.077531,0.37166
_moe_C::topk_softplus_sqrt,both,1,2,6,6,1419,1419,24523.466,24066.958,0.193708,0.195205,0.001498
aten::add,both,2,4,106,106,2028,2028,94699.122,94954.753,0.748016,0.770171,0.022155
aten::argmax,both,1,1,64,64,288,288,9360.429,11172.535,0.073937,0.09062,0.016683
aten::clamp,both,1,1,38,38,576,576,726.126,752.977,0.005736,0.006107,0.000372
aten::clamp_,both,1,1,76,76,864,864,1764.678,1716.402,0.013939,0.013922,-1.7e-05
aten::copy_,both,6,6,334,337,3469,3502,21433.953,31795.696,0.169304,0.257893,0.088589
aten::cumsum,both,1,2,3,3,33,66,35.618,89.216,0.000281,0.000724,0.000442
aten::embedding,left_only,1,0,3,0,33,0,718.515,0.0,0.005675,0.0,-0.005675
aten::fill_,both,1,5,184,284,3362,6227,8318.442,16890.062,0.065706,0.136994,0.071288
aten::floor_divide,both,1,3,64,64,1928,1928,2312.718,3059.915,0.018268,0.024819,0.006551
aten::full,left_only,1,0,1,0,1419,0,8093.958,0.0,0.063933,0.0,-0.063933
aten::gather,right_only,0,1,0,3,0,33,0.0,724.303,0.0,0.005875,0.005875
aten::ge,both,1,1,9,9,576,576,627.535,748.567,0.004957,0.006072,0.001115
aten::index,both,3,3,10,10,576,576,1091.943,1084.397,0.008625,0.008795,0.00017
aten::masked_fill_,both,1,1,3,3,33,33,1698.375,3033.25,0.013415,0.024602,0.011187
aten::mean,both,1,1,3,3,33,33,1637.222,1722.437,0.012932,0.013971,0.001038
aten::mm,both,18,18,79,79,4446,4446,293020.17,292098.02,2.314528,2.369186,0.054657
aten::mul,both,1,2,6,6,66,66,4162.293,6461.45,0.032877,0.052408,0.019531
aten::mul_,left_only,1,0,3,0,1419,0,1807.016,0.0,0.014273,0.0,-0.014273
aten::pow,both,1,1,3,3,33,33,3804.784,2890.013,0.030053,0.023441,-0.006613
aten::repeat,left_only,1,0,3,0,33,0,49138.636,0.0,0.38814,0.0,-0.38814
aten::rsqrt,both,1,1,3,3,33,33,41.44,43.2,0.000327,0.00035,2.3e-05
aten::sub,both,3,3,101,101,608,608,630.93,654.362,0.004984,0.005307,0.000324
aten::sum,right_only,0,1,0,3,0,1419,0.0,321437.602,0.0,2.607157,2.607157
aten::zero_,left_only,1,0,16,0,27,0,24.992,0.0,0.000197,0.0,-0.000197
aten::zeros,left_only,1,0,1,0,1419,0,1306.562,0.0,0.01032,0.0,-0.01032
null,both,95,96,1,1,605659,594694,5442781.563,5524080.752,42.991824,44.805413,1.813589
record_param_comms,both,1,1,64,64,288,288,17571.569,17438.935,0.138796,0.141446,0.00265
symm_mem::multimem_all_reduce_,both,1,1,3,3,2871,2871,1247567.113,794479.145,9.85437,6.443962,-3.410408
triton_poi_fused___and_____or___add_bitwise_not_ge_lt_mul_sub_0,left_only,1,0,3,0,33,0,57.378,0.0,0.000453,0.0,-0.000453
triton_poi_fused_add_bitwise_and_bitwise_not_bitwise_or_ge_lt_mul_sub_0,right_only,0,1,0,3,0,33,0.0,51.972,0.0,0.000422,0.000422
triton_poi_fused_clamp_mul_sigmoid_slice_0,both,1,1,3,3,1419,1419,12979.049,12910.948,0.10252,0.10472,0.0022
vllm::dynamic_flashinfer_deepgemm_blockscale_gemm,both,8,8,15,15,7788,7788,441496.206,441031.005,3.487321,3.57717,0.089849
vllm::fused_inv_rope_fp8_quant_kernel,both,1,1,3,3,1419,1419,110905.397,110913.178,0.876027,0.899609,0.023581
vllm::moe_forward_shared,left_only,1,0,3,0,1419,0,218141.049,0.0,1.723068,0.0,-1.723068
vllm::sparse_attn_indexer,both,2,2,3,3,1365,1365,63122.795,63212.323,0.498599,0.512711,0.014112
