kernel_name,presence,left_call_count,right_call_count,left_time_us,right_time_us,left_percent,right_percent,percent_point_delta
_causal_conv1d_fwd_kernel,both,990,1020,60831.658,63929.623,0.932625,0.580292,-0.352333
_causal_conv1d_update_kernel,both,7680,7770,25136.745,26117.489,0.385377,0.23707,-0.148308
_compute_slot_mapping_kernel,both,1156,1172,3475.075,3507.137,0.053277,0.031834,-0.021443
_fused_post_conv_kernel,both,990,1020,46049.734,46105.553,0.705999,0.418502,-0.287498
_triton_mrope_forward,right_only,0,2930,0.0,6645.996,0.0,0.060326,0.060326
_zero_kv_blocks_kernel,both,66,68,1070.265,1073.523,0.016408,0.009744,-0.006664
fused_moe_kernel,both,23120,23440,2022411.633,2002432.024,31.006077,18.176157,-12.82992
fused_recurrent_gated_delta_rule_packed_decode_kernel,both,7680,7770,328462.864,328321.742,5.035743,2.98019,-2.055553
fused_sigmoid_gating_delta_rule_update_kernel,both,960,990,26242.208,27293.156,0.402326,0.247741,-0.154584
layer_norm_fwd_kernel,right_only,0,8790,0.0,51741.875,0.0,0.469663,0.469663
memcpy32_post,left_only,10240,0,13069.235,0.0,0.200368,0.0,-0.200368
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>),both,289,293,23394.355,40360.454,0.358664,0.366353,0.007689
nvjet_tst_128x128_64x6_2x1_v_bz_TNT,both,1280,1320,25943.099,22109.824,0.39774,0.200692,-0.197048
nvjet_tst_128x160_64x5_2x1_v_bz_TNT,left_only,40,0,782.382,0.0,0.011995,0.0,-0.011995
nvjet_tst_128x208_64x5_4x2_h_bz_coopA_TNT,right_only,0,40,0.0,247.618,0.0,0.002248,0.002248
nvjet_tst_128x64_64x8_1x2_h_bz_TNT,both,40,40,517.26,461.284,0.00793,0.004187,-0.003743
nvjet_tst_128x80_64x8_1x2_h_bz_TNT,left_only,40,0,590.761,0.0,0.009057,0.0,-0.009057
nvjet_tst_16x64_64x16_2x1_v_bz_TNN,both,30,60,223.782,489.895,0.003431,0.004447,0.001016
nvjet_tst_192x192_64x4_1x2_h_bz_coopB_TNN,both,310,320,63491.357,64699.595,0.973401,0.587281,-0.38612
nvjet_tst_192x192_64x4_2x1_v_bz_coopB_TNN,both,950,940,260932.689,257647.269,4.000421,2.338675,-1.661747
nvjet_tst_24x64_64x16_4x1_v_bz_TNN,right_only,0,1040,0.0,5413.593,0.0,0.049139,0.049139
