operator_name,presence,left_kernel_type_count,right_kernel_type_count,left_shape_dtype_variant_count,right_shape_dtype_variant_count,left_event_count,right_event_count,left_time_us,right_time_us,left_percent,right_percent,percent_point_delta
_C::silu_and_mul,both,1,1,3,76,1320,23440,53948.335,107561.272,0.827095,0.976338,0.149243
_C_cache_ops::reshape_and_cache_flash,both,1,1,3,38,330,2930,6802.836,12922.809,0.104296,0.117301,0.013005
_C_custom_ar::all_reduce,both,1,1,34,35,256,21060,8637.496,3563120.479,0.132424,32.342589,32.210165
_moe_C::moe_align_block_size,both,2,2,3,34,2640,22800,44785.127,91677.225,0.686611,0.832158,0.145546
_moe_C::topk_softmax,both,1,1,3,38,1320,11720,32518.346,89693.195,0.498547,0.814149,0.315602
_vllm_fa3_C::fwd,both,1,5,33,68,330,5530,74030.72,335293.626,1.134983,3.043474,1.908491
_vllm_fa3_C::get_scheduler_metadata,both,3,3,38,64,289,293,533.028,539.028,0.008172,0.004893,-0.003279
aten::_index_put_impl_,both,1,1,3,3,990,1020,5195.56,5345.231,0.079654,0.048519,-0.031135
aten::add,both,2,5,101,294,578,94932,788.895,340296.485,0.012095,3.088885,3.07679
aten::argmax,both,1,1,64,64,289,293,9643.148,9561.475,0.147841,0.08679,-0.061052
aten::bitwise_not,both,3,3,3,3,990,1020,1572.737,1328.457,0.024112,0.012058,-0.012054
aten::cat,both,2,2,64,66,1920,1980,23215.946,23294.426,0.355929,0.211444,-0.144485
aten::copy_,both,5,7,390,775,7591,181093,39925.882,1002753.463,0.612113,9.102034,8.489921
aten::exp,both,1,1,33,33,990,1020,1870.949,1917.35,0.028684,0.017404,-0.01128
aten::fill_,both,5,4,160,134,1396,10010,1371.59,21248.571,0.021028,0.192874,0.171846
aten::gather,both,1,1,28,30,280,281,875.673,874.029,0.013425,0.007934,-0.005492
aten::gt,both,1,1,33,33,99,102,134.592,139.556,0.002063,0.001267,-0.000797
aten::index,both,3,3,28,57,1585,4553,5561.367,19869.939,0.085263,0.18036,0.095098
aten::index_select,both,1,1,9,8,9,12,50.88,54.244,0.00078,0.000492,-0.000288
aten::masked_fill_,both,2,2,40,41,1279,1313,5614.261,5670.038,0.086074,0.051467,-0.034606
aten::mean,right_only,0,1,0,114,0,29593,0.0,214207.177,0.0,1.944367,1.944367
aten::mm,both,22,49,88,368,9199,81043,628953.588,1051485.366,9.642638,9.544375,-0.098263
aten::mul,both,1,4,3,304,1320,73836,58283.595,546842.755,0.89356,4.963714,4.070154
aten::pow,right_only,0,1,0,114,0,29593,0.0,166857.507,0.0,1.514572,1.514572
aten::rsqrt,right_only,0,1,0,114,0,29593,0.0,38094.001,0.0,0.345781,0.345781
aten::scatter_,both,1,1,17,17,17,17,31.168,32.643,0.000478,0.000296,-0.000182
aten::sigmoid,both,1,1,3,76,1320,14650,2407.891,32747.058,0.036916,0.297246,0.26033
aten::sub,both,5,4,102,128,2119,2150,2329.17,2331.58,0.035709,0.021164,-0.014545
aten::sum,both,1,1,3,38,1320,11720,150180.675,210143.711,2.302456,1.907483,-0.394973
null,both,49,4,1,1,288374,12960,2859622.871,62968.531,43.841563,0.571568,-43.269995
record_param_comms,both,1,1,64,64,289,293,23394.355,40360.454,0.358664,0.366353,0.007689
symm_mem::two_shot_all_reduce_,both,1,1,3,3,1353,2673,449889.218,324276.569,6.897359,2.943472,-3.953888
triton_per_fused_1,left_only,1,0,3,0,990,0,35260.66,0.0,0.54059,0.0,-0.54059
triton_poi_fused_0,left_only,1,0,9,0,1320,0,20667.605,0.0,0.31686,0.0,-0.31686
triton_poi_fused_2,left_only,1,0,3,0,33,0,45.505,0.0,0.000698,0.0,-0.000698
triton_poi_fused_3,left_only,1,0,3,0,297,0,412.264,0.0,0.006321,0.0,-0.006321
triton_poi_fused_5,left_only,1,0,6,0,990,0,7667.964,0.0,0.117559,0.0,-0.117559
triton_poi_fused_7,left_only,1,0,3,0,330,0,10922.759,0.0,0.167459,0.0,-0.167459
triton_poi_fused__to_copy__unsafe_view_add_clone_mean_mm_mul_pow_rsqrt_silu_t_view_2,left_only,1,0,3,0,990,0,20627.534,0.0,0.316246,0.0,-0.316246
triton_poi_fused_add_2,left_only,1,0,3,0,330,0,11028.844,0.0,0.169086,0.0,-0.169086
triton_poi_fused_add_4,left_only,1,0,3,0,990,0,32617.323,0.0,0.500064,0.0,-0.500064
