operator_name,input_shapes,input_dtypes,presence,left_mapping_statuses,right_mapping_statuses,left_kernel_type_count,right_kernel_type_count,left_event_count,right_event_count,left_time_us,right_time_us,left_percent,right_percent,percent_point_delta
_C::silu_and_mul,"[[1,256],[1,512]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,68.1,0.0,0.00024,0.00024
_C::silu_and_mul,"[[10,256],[10,512]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,72.096,0.0,0.000254,0.000254
_C::silu_and_mul,"[[112,256],[112,512]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,85.601,0.0,0.000302,0.000302
_C::silu_and_mul,"[[12,256],[12,512]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,71.237,0.0,0.000251,0.000251
_C::silu_and_mul,"[[128,256],[128,512]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,83.68,0.0,0.000295,0.000295
_C::silu_and_mul,"[[14,256],[14,512]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,71.522,0.0,0.000252,0.000252
_C::silu_and_mul,"[[144,256],[144,512]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,87.584,0.0,0.000309,0.000309
_C::silu_and_mul,"[[16,256],[16,512]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,80,0.0,143.902,0.0,0.000507,0.000507
_C::silu_and_mul,"[[160,256],[160,512]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,89.446,0.0,0.000315,0.000315
_C::silu_and_mul,"[[176,256],[176,512]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,91.746,0.0,0.000323,0.000323
_C::silu_and_mul,"[[18,256],[18,512]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,74.939,0.0,0.000264,0.000264
_C::silu_and_mul,"[[192,256],[192,512]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,93.346,0.0,0.000329,0.000329
_C::silu_and_mul,"[[2,256],[2,512]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,68.195,0.0,0.00024,0.00024
_C::silu_and_mul,"[[20,256],[20,512]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,72.769,0.0,0.000256,0.000256
_C::silu_and_mul,"[[208,256],[208,512]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,92.642,0.0,0.000326,0.000326
_C::silu_and_mul,"[[22,256],[22,512]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,70.816,0.0,0.00025,0.00025
_C::silu_and_mul,"[[224,256],[224,512]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,90.597,0.0,0.000319,0.000319
