operator_name,presence
AOTDispatcher Runtime Wrapper Prologue,both
Pregraph bytecode,both
SiluAndMul,right_only
Torch-Compiled Region: 0/0,both
Torch-Compiled Region: 0/1,right_only
Torch-Compiled Region: 1/1,left_only
Torch-Compiled Region: 1/2,left_only
TorchDynamo Cache Lookup,both
_C_custom_ar::all_reduce,both
aten::_index_put_impl_,both
aten::_local_scalar_dense,both
aten::_pin_memory,both
aten::_reshape_alias,right_only
aten::_to_copy,both
aten::_unsafe_view,both
aten::add,both
aten::alias,both
aten::any,both
aten::arange,both
aten::argmax,both
aten::as_strided,both
aten::bitwise_not,both
aten::cat,both
aten::chunk,right_only
aten::clone,both
aten::contiguous,both
aten::copy_,both
aten::cumsum,both
aten::detach,both
aten::detach_,both
aten::diff,both
aten::embedding,both
aten::empty,both
aten::empty_like,both
aten::empty_strided,both
aten::eq,both
aten::exp,both
aten::expand,both
aten::expand_as,both
aten::fill_,both
aten::flatten,both
aten::floor_divide,both
aten::full,both
aten::gt,both
aten::index,both
aten::index_put_,both
aten::index_select,both
aten::is_nonzero,both
aten::is_pinned,both
aten::item,both
aten::lift_fresh,both
aten::linear,both
aten::lt,both
aten::masked_fill_,both
aten::matmul,both
aten::mean,right_only
aten::mm,both
aten::movedim,both
aten::mul,both
aten::narrow,both
aten::neg,both
aten::new_empty,both
aten::numpy_T,left_only
aten::permute,both
aten::pin_memory,both
aten::pow,right_only
aten::promote_types,both
aten::record_stream,right_only
aten::reshape,both
aten::resize_,both
aten::resolve_conj,both
aten::resolve_neg,both
aten::result_type,both
aten::rsqrt,right_only
aten::scatter_,both
aten::select,both
aten::set_,both
aten::sigmoid,both
aten::silu,right_only
aten::slice,both
aten::split_with_sizes,both
aten::squeeze,both
aten::stack,both
aten::sub,both
aten::sum,both
aten::t,both
aten::to,both
aten::transpose,both
aten::unbind,both
aten::unsqueeze,both
aten::view,both
aten::zero_,both
aten::zeros,both
c10d::_allgather_base_,both
record_param_comms,both
symm_mem::two_shot_all_reduce_,both
triton_per_fused_1,left_only
triton_poi_fused_0,left_only
triton_poi_fused_2,left_only
triton_poi_fused_3,left_only
triton_poi_fused_5,left_only
triton_poi_fused_7,left_only
triton_poi_fused___and_____or___add_bitwise_not_ge_lt_mul_sub_0,both
triton_poi_fused___and_____or___add_ge_lt_mul_sub_0,both
triton_poi_fused___and_____or___bitwise_not_ge_lt_1,both
triton_poi_fused__to_copy__unsafe_view_add_clone_linear_mean_mul_pow_rsqrt_silu_view_2,left_only
triton_poi_fused_add_2,left_only
triton_poi_fused_add_4,left_only
triton_poi_fused_mul_sigmoid_view_0,left_only
triton_poi_fused_mul_silu_slice_0,left_only
triton_red_fused_1,left_only
triton_red_fused_6,left_only
triton_red_fused__to_copy_add_copy__fused_add_rms_norm_moe_forward_shared_1,left_only
triton_red_fused__to_copy_add_copy__fused_add_rms_norm_moe_forward_shared_3,left_only
vllm::all_gather,both
vllm::all_reduce,both
vllm::flashinfer_trtllm_fused_allreduce_norm,left_only
vllm::moe_forward_shared,both
vllm::qwen_gdn_attention_core,both
vllm::unified_attention_with_output,both
vllm::unified_kv_cache_update,both
