kernel_name,presence,left_call_count,right_call_count,left_time_us,right_time_us,left_percent,right_percent,percent_point_delta
_causal_conv1d_fwd_kernel,both,1020,990,61027.153,63891.523,0.628127,0.778433,0.150306
_causal_conv1d_update_kernel,both,7860,7680,25688.46,25746.18,0.2644,0.313683,0.049282
_compute_slot_mapping_kernel,both,1184,1156,3376.11,3260.617,0.034749,0.039726,0.004977
_fused_post_conv_kernel,both,1020,990,46158.087,46039.946,0.475086,0.560935,0.08585
_scatter_jit_function,both,17,17,23.806,23.425,0.000245,0.000285,4e-05
_silu_and_mul_kernel_kernel_rank_2,both,440,200,794.998,267.103,0.008183,0.003254,-0.004928
add_func_kernel_rank_1,both,592,41038,704.496,269590.249,0.007251,3.284597,3.277346
add_func_tensor_scalar_kernel_rank_1,right_only,0,67048,0.0,75898.363,0.0,0.92472,0.92472
argmax_kernel_inner,both,296,289,19483.075,18996.974,0.200531,0.231453,0.030922
bitwise_not_func_kernel_rank_1,both,1020,990,1228.002,1238.815,0.012639,0.015093,0.002454
cat_copy_func_kernel_4,both,1980,13480,30213.342,54598.514,0.310973,0.66521,0.354237
embedding_kernel,both,296,289,812.208,787.63,0.00836,0.009596,0.001237
exp_func_kernel_rank_1,both,1020,990,1668.347,1610.393,0.017172,0.01962,0.002449
fill_scalar_kernel,both,2423,555,2500.687,516.242,0.025739,0.00629,-0.019449
full_func_scalar_kernel_rank_1,both,204,198,197.865,192.192,0.002037,0.002342,0.000305
fused_moe_kernel,both,23680,23120,1995425.674,1954243.136,20.538074,23.809842,3.271768
fused_recurrent_gated_delta_rule_packed_decode_kernel,both,7860,7680,328858.247,327658.336,3.384799,3.992079,0.60728
fused_sigmoid_gating_delta_rule_update_kernel,both,990,960,27009.851,26205.37,0.278001,0.319277,0.041276
gt_func_scalar_kernel_rank_1,both,102,99,116.39,122.083,0.001198,0.001487,0.000289
kernel_unified_attention,both,2960,2890,838818.121,840777.24,8.633601,10.243747,1.610147
masked_fill_kernel_kernel_rank_2,both,296,289,1233.222,1224.978,0.012693,0.014925,0.002232
masked_fill_kernel_kernel_rank_4,both,1020,990,3153.723,3086.269,0.03246,0.037602,0.005142
mean_dim_kernel_inner,right_only,0,37859,0.0,219439.101,0.0,2.673572,2.673572
memcpy32_post,left_only,20960,0,25578.22,0.0,0.263266,0.0,-0.263266
mm_kernel_general_host_tma,left_only,63258,0,4284899.754,0.0,44.102663,0.0,-44.102663
moe_align_block_size_stage1,both,11400,11360,27967.179,26192.979,0.287854,0.319126,0.031272
moe_align_block_size_stage2_vec,both,11400,11360,38274.241,35367.63,0.393941,0.430907,0.036967
moe_align_block_size_stage3,both,11400,11360,16163.436,15934.493,0.166363,0.194141,0.027777
moe_align_block_size_stage4,both,11400,11360,35919.16,31486.878,0.369701,0.383626,0.013925
moe_sum_kernel,both,10520,10240,25001.884,24628.037,0.257334,0.30006,0.042726
mul_broadcast_2d_kernel,both,11840,75718,48449.121,433066.535,0.498666,5.276337,4.777671
mul_generic_nd_kernel,right_only,0,34640,0.0,74353.535,0.0,0.905898,0.905898
mul_kernel,right_only,0,11600,0.0,90701.385,0.0,1.105075,1.105075
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>),both,296,289,22865.85,22267.843,0.235349,0.271304,0.035955
nvjet_tst_128x128_64x6_2x1_v_bz_TNT,both,1320,1280,26509.519,21496.297,0.272851,0.261904,-0.010948
nvjet_tst_128x160_64x5_2x1_v_bz_TNT,right_only,0,40,0.0,667.532,0.0,0.008133,0.008133
nvjet_tst_128x208_64x5_4x2_h_bz_coopA_TNT,left_only,40,0,247.077,0.0,0.002543,0.0,-0.002543
nvjet_tst_128x64_64x8_1x2_h_bz_TNT,both,40,40,513.13,457.352,0.005281,0.005572,0.000291
nvjet_tst_128x80_64x8_1x2_h_bz_TNT,right_only,0,40,0.0,519.271,0.0,0.006327,0.006327
nvjet_tst_16x64_64x16_2x1_v_bz_TNN,right_only,0,30,0.0,217.316,0.0,0.002648,0.002648
nvjet_tst_192x192_64x4_1x2_h_bz_coopB_TNN,right_only,0,310,0.0,64130.741,0.0,0.781347,0.781347
