operator_name,presence,left_kernel_type_count,right_kernel_type_count,left_shape_dtype_variant_count,right_shape_dtype_variant_count,left_event_count,right_event_count,left_time_us,right_time_us,left_percent,right_percent,percent_point_delta
SiluAndMul,right_only,0,2,0,37,0,11560,0.0,19358.274,0.0,0.201132,0.201132
_C_custom_ar::all_reduce,both,1,1,35,34,296,20736,2244.051,382633.624,0.035288,3.975554,3.940266
aten::_index_put_impl_,both,1,1,3,3,1020,990,5310.733,5203.44,0.083511,0.054064,-0.029448
aten::add,both,1,2,102,396,578,108086,683.728,345585.259,0.010752,3.590622,3.57987
aten::argmax,both,1,1,64,64,289,289,19179.087,19044.222,0.301592,0.197869,-0.103723
aten::bitwise_not,both,1,1,3,3,1020,990,1277.122,1237.874,0.020083,0.012861,-0.007221
aten::cat,both,1,1,66,212,1980,13480,30207.866,54591.999,0.47502,0.567209,0.09219
aten::copy_,both,5,7,395,981,7774,230868,40068.109,1259509.45,0.630072,13.086271,12.456199
aten::embedding,both,1,1,38,37,289,289,803.119,791.212,0.012629,0.008221,-0.004408
aten::exp,both,1,1,33,33,1020,990,1703.643,1612.812,0.02679,0.016757,-0.010033
aten::fill_,both,1,1,115,64,610,555,565.665,519.265,0.008895,0.005395,-0.0035
aten::full,both,1,1,1,1,204,198,197.536,191.716,0.003106,0.001992,-0.001114
aten::gt,both,1,1,33,33,102,99,117.512,120.514,0.001848,0.001252,-0.000596
aten::index,both,3,3,28,56,1615,4475,5770.907,20020.928,0.090748,0.208017,0.117269
aten::masked_fill_,both,2,2,41,40,1309,1279,4367.615,4307.496,0.068681,0.044755,-0.023926
aten::mean,right_only,0,1,0,148,0,37859,0.0,219486.229,0.0,2.280456,2.280456
aten::mm,both,21,43,96,360,9469,79399,711221.952,1048641.285,11.183987,10.895356,-0.288631
aten::mul,both,1,3,4,481,1360,121958,27974.244,598344.045,0.439896,6.216779,5.776884
aten::pow,right_only,0,1,0,148,0,37859,0.0,305902.468,0.0,3.178319,3.178319
aten::rsqrt,right_only,0,1,0,145,0,37859,0.0,41581.95,0.0,0.432035,0.432035
aten::scatter_,both,1,1,17,17,17,17,23.934,22.82,0.000376,0.000237,-0.000139
aten::sigmoid,both,1,1,4,74,1360,14450,1665.768,24433.762,0.026194,0.253866,0.227672
aten::silu,right_only,0,1,0,37,0,8670,0.0,54370.121,0.0,0.564904,0.564904
aten::sub,both,2,2,97,202,2122,7899,2138.416,9726.662,0.033627,0.10106,0.067433
aten::zero_,both,1,1,3,3,1320,1320,13929.488,14001.633,0.219042,0.145477,-0.073565
aten::zeros,both,1,1,1,1,2720,31390,2647.139,40477.938,0.041626,0.420565,0.378938
null,both,46,1,1,1,327506,1156,2789551.885,3267.651,43.865789,0.033951,-43.831838
record_param_comms,both,1,1,64,64,289,289,22778.682,25363.983,0.358195,0.263531,-0.094664
symm_mem::two_shot_all_reduce_,both,1,1,3,3,1353,2673,264235.571,1410050.108,4.155112,14.650385,10.495272
triton_per_fused_1,left_only,1,0,4,0,1020,0,35281.974,0.0,0.55481,0.0,-0.55481
triton_poi_fused_0,left_only,1,0,12,0,1360,0,20212.155,0.0,0.317837,0.0,-0.317837
triton_poi_fused_2,left_only,1,0,4,0,34,0,50.627,0.0,0.000796,0.0,-0.000796
triton_poi_fused_3,left_only,1,0,4,0,306,0,421.135,0.0,0.006622,0.0,-0.006622
triton_poi_fused_5,left_only,1,0,8,0,1020,0,7698.054,0.0,0.121052,0.0,-0.121052
triton_poi_fused_7,left_only,1,0,4,0,340,0,10918.952,0.0,0.171701,0.0,-0.171701
triton_poi_fused___and_____or___add_bitwise_not_ge_lt_mul_sub_0,both,1,1,37,36,288,288,333.889,367.694,0.00525,0.00382,-0.00143
triton_poi_fused___and_____or___add_ge_lt_mul_sub_0,both,1,1,1,1,1,1,1.184,1.216,1.9e-05,1.3e-05,-6e-06
triton_poi_fused___and_____or___bitwise_not_ge_lt_1,both,1,1,1,1,1,1,1.057,1.056,1.7e-05,1.1e-05,-6e-06
triton_poi_fused__to_copy__unsafe_view_add_clone_linear_mean_mul_pow_rsqrt_silu_view_2,left_only,1,0,4,0,1020,0,20579.278,0.0,0.32361,0.0,-0.32361
