kernel_name,presence,left_call_count,right_call_count,left_time_us,right_time_us,left_percent,right_percent,percent_point_delta
_causal_conv1d_fwd_kernel,both,990,990,63853.41,63879.97,0.663435,0.225128,-0.438307
_causal_conv1d_update_kernel,both,7680,7680,25822.596,25706.296,0.268296,0.090595,-0.177701
_compute_slot_mapping_kernel,both,1156,1156,3267.651,3486.516,0.033951,0.012287,-0.021664
_fused_post_conv_kernel,both,990,990,46057.591,46186.227,0.478537,0.162771,-0.315766
_scatter_jit_function,left_only,17,0,22.82,0.0,0.000237,0.0,-0.000237
_silu_and_mul_kernel_kernel_rank_2,left_only,200,0,266.724,0.0,0.002771,0.0,-0.002771
_triton_mrope_forward,right_only,0,2890,0.0,6645.254,0.0,0.023419,0.023419
_zero_kv_blocks_kernel,right_only,0,66,0.0,1067.056,0.0,0.003761,0.003761
add_func_kernel_rank_1,left_only,41038,0,269636.367,0.0,2.801515,0.0,-2.801515
add_func_tensor_scalar_kernel_rank_1,left_only,67048,0,75948.892,0.0,0.789107,0.0,-0.789107
argmax_kernel_inner,left_only,289,0,19044.222,0.0,0.197869,0.0,-0.197869
bitwise_not_func_kernel_rank_1,left_only,990,0,1237.874,0.0,0.012861,0.0,-0.012861
cat_copy_func_kernel_4,left_only,13480,0,54591.999,0.0,0.567209,0.0,-0.567209
embedding_kernel,left_only,289,0,791.212,0.0,0.008221,0.0,-0.008221
exp_func_kernel_rank_1,left_only,990,0,1612.812,0.0,0.016757,0.0,-0.016757
fill_scalar_kernel,left_only,555,0,519.265,0.0,0.005395,0.0,-0.005395
full_func_scalar_kernel_rank_1,left_only,198,0,191.716,0.0,0.001992,0.0,-0.001992
fused_moe_kernel,both,23120,23120,1972281.464,1985680.71,20.491954,6.998007,-13.493947
fused_recurrent_gated_delta_rule_packed_decode_kernel,both,7680,7680,328030.835,328752.598,3.408232,1.158602,-2.24963
fused_sigmoid_gating_delta_rule_update_kernel,both,960,960,26189.902,26417.606,0.272112,0.093102,-0.179011
gt_func_scalar_kernel_rank_1,left_only,99,0,120.514,0.0,0.001252,0.0,-0.001252
kernel_unified_attention,left_only,2890,0,840350.774,0.0,8.731223,0.0,-8.731223
layer_norm_fwd_kernel,right_only,0,8670,0.0,51670.58,0.0,0.182099,0.182099
masked_fill_kernel_kernel_rank_2,left_only,289,0,1223.798,0.0,0.012715,0.0,-0.012715
masked_fill_kernel_kernel_rank_4,left_only,990,0,3083.698,0.0,0.03204,0.0,-0.03204
mean_dim_kernel_inner,left_only,37859,0,219486.229,0.0,2.280456,0.0,-2.280456
moe_align_block_size_stage1,left_only,11360,0,26199.014,0.0,0.272207,0.0,-0.272207
moe_align_block_size_stage2_vec,left_only,11360,0,35391.573,0.0,0.367718,0.0,-0.367718
moe_align_block_size_stage3,left_only,11360,0,15954.414,0.0,0.165766,0.0,-0.165766
moe_align_block_size_stage4,left_only,11360,0,31532.828,0.0,0.327625,0.0,-0.327625
moe_sum_kernel,left_only,10240,0,24653.636,0.0,0.256151,0.0,-0.256151
mul_broadcast_2d_kernel,left_only,75718,0,433183.798,0.0,4.500769,0.0,-4.500769
mul_generic_nd_kernel,left_only,34640,0,74370.488,0.0,0.772707,0.0,-0.772707
mul_kernel,left_only,11600,0,90789.759,0.0,0.943303,0.0,-0.943303
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>),both,289,289,25363.983,107109.241,0.263531,0.377478,0.113947
nvjet_tst_128x128_64x6_2x1_v_bz_TNT,both,1280,1280,21467.949,21585.243,0.223051,0.076071,-0.14698
nvjet_tst_128x160_64x5_2x1_v_bz_TNT,both,40,40,669.036,657.165,0.006951,0.002316,-0.004635
nvjet_tst_128x64_64x8_1x2_h_bz_TNT,both,40,40,461.45,457.166,0.004794,0.001611,-0.003183
nvjet_tst_128x80_64x8_1x2_h_bz_TNT,both,40,40,518.124,518.411,0.005383,0.001827,-0.003556
nvjet_tst_16x64_64x16_2x1_v_bz_TNN,both,30,30,218.212,218.275,0.002267,0.000769,-0.001498
nvjet_tst_192x192_64x4_1x2_h_bz_coopB_TNN,both,310,310,64078.328,63788.377,0.665772,0.224805,-0.440967
nvjet_tst_192x192_64x4_2x1_v_bz_coopB_TNN,both,950,950,262563.696,259333.223,2.72803,0.913951,-1.814079
nvjet_tst_24x64_64x16_4x1_v_bz_TNN,both,720,720,3597.487,3816.997,0.037378,0.013452,-0.023926
nvjet_tst_256x128_64x4_1x2_h_bz_coopA_TNT,both,3830,3830,178753.574,174724.062,1.857245,0.615769,-1.241476
nvjet_tst_256x160_64x4_1x2_h_bz_coopA_TNT,both,110,110,8005.825,7843.424,0.08318,0.027642,-0.055538
nvjet_tst_256x16_64x6_2x1_v_bz_TNT,both,8,8,1409.916,1390.814,0.014649,0.004902,-0.009747
