operator_name,presence,left_kernel_type_count,right_kernel_type_count,left_shape_dtype_variant_count,right_shape_dtype_variant_count,left_event_count,right_event_count,left_time_us,right_time_us,left_percent,right_percent,percent_point_delta
SiluAndMul,left_only,2,0,37,0,11560,0,19339.726,0.0,0.235629,0.0,-0.235629
_C::silu_and_mul,right_only,0,1,0,76,0,23440,0.0,107561.272,0.0,0.976338,0.976338
_C_cache_ops::reshape_and_cache_flash,right_only,0,1,0,38,0,2930,0.0,12922.809,0.0,0.117301,0.117301
_C_custom_ar::all_reduce,both,1,1,34,35,20736,21060,104536.298,3563120.479,1.273635,32.342589,31.068954
_moe_C::moe_align_block_size,right_only,0,2,0,34,0,22800,0.0,91677.225,0.0,0.832158,0.832158
_moe_C::topk_softmax,right_only,0,1,0,38,0,11720,0.0,89693.195,0.0,0.814149,0.814149
_vllm_fa3_C::fwd,right_only,0,5,0,68,0,5530,0.0,335293.626,0.0,3.043474,3.043474
_vllm_fa3_C::get_scheduler_metadata,right_only,0,3,0,64,0,293,0.0,539.028,0.0,0.004893,0.004893
aten::_index_put_impl_,both,1,1,3,3,990,1020,5220.788,5345.231,0.063608,0.048519,-0.015089
aten::add,both,2,5,396,294,108086,94932,345488.612,340296.485,4.209317,3.088885,-1.120432
aten::argmax,both,1,1,64,64,289,293,18996.974,9561.475,0.231453,0.08679,-0.144663
aten::bitwise_not,both,1,3,3,3,990,1020,1238.815,1328.457,0.015093,0.012058,-0.003035
aten::cat,both,1,2,212,66,13480,1980,54598.514,23294.426,0.66521,0.211444,-0.453766
aten::copy_,both,7,7,981,775,230868,181093,1258536.006,1002753.463,15.33358,9.102034,-6.231546
aten::embedding,left_only,1,0,37,0,289,0,787.63,0.0,0.009596,0.0,-0.009596
aten::exp,both,1,1,33,33,990,1020,1610.393,1917.35,0.01962,0.017404,-0.002217
aten::fill_,both,1,4,64,134,555,10010,516.242,21248.571,0.00629,0.192874,0.186584
aten::full,left_only,1,0,1,0,198,0,192.192,0.0,0.002342,0.0,-0.002342
aten::gather,right_only,0,1,0,30,0,281,0.0,874.029,0.0,0.007934,0.007934
aten::gt,both,1,1,33,33,99,102,122.083,139.556,0.001487,0.001267,-0.000221
aten::index,both,3,3,56,57,4475,4553,20012.631,19869.939,0.243827,0.18036,-0.063467
aten::index_select,right_only,0,1,0,8,0,12,0.0,54.244,0.0,0.000492,0.000492
aten::masked_fill_,both,2,2,40,41,1279,1313,4311.247,5670.038,0.052527,0.051467,-0.00106
aten::mean,both,1,1,148,114,37859,29593,219439.101,214207.177,2.673572,1.944367,-0.729205
aten::mm,both,43,49,360,368,79399,81043,1048055.745,1051485.366,12.769159,9.544375,-3.224784
aten::mul,both,3,4,481,304,121958,73836,598121.455,546842.755,7.287311,4.963714,-2.323597
aten::pow,both,1,1,148,114,37859,29593,305868.227,166857.507,3.726596,1.514572,-2.212023
aten::rsqrt,both,1,1,145,114,37859,29593,41529.427,38094.001,0.505981,0.345781,-0.1602
aten::scatter_,both,1,1,17,17,17,17,23.425,32.643,0.000285,0.000296,1.1e-05
aten::sigmoid,both,1,1,74,76,14450,14650,24422.764,32747.058,0.297559,0.297246,-0.000312
aten::silu,left_only,1,0,37,0,8670,0,54361.193,0.0,0.662319,0.0,-0.662319
aten::sub,both,2,4,202,128,7899,2150,9718.695,2331.58,0.118409,0.021164,-0.097245
aten::sum,right_only,0,1,0,38,0,11720,0.0,210143.711,0.0,1.907483,1.907483
aten::zero_,left_only,1,0,3,0,1320,0,14004.82,0.0,0.17063,0.0,-0.17063
aten::zeros,left_only,1,0,1,0,31390,0,40464.076,0.0,0.493001,0.0,-0.493001
null,both,1,4,1,1,1156,12960,3260.617,62968.531,0.039726,0.571568,0.531842
record_param_comms,both,1,1,64,64,289,293,22267.843,40360.454,0.271304,0.366353,0.09505
symm_mem::two_shot_all_reduce_,both,1,1,3,3,2673,2673,294331.314,324276.569,3.586034,2.943472,-0.642562
triton_poi_fused___and_____or___add_bitwise_not_ge_lt_mul_sub_0,left_only,1,0,36,0,288,0,367.316,0.0,0.004475,0.0,-0.004475
triton_poi_fused___and_____or___add_ge_lt_mul_sub_0,left_only,1,0,1,0,1,0,1.184,0.0,1.4e-05,0.0,-1.4e-05
triton_poi_fused___and_____or___bitwise_not_ge_lt_1,left_only,1,0,1,0,1,0,1.056,0.0,1.3e-05,0.0,-1.3e-05
triton_poi_fused_add_bitwise_and_bitwise_not_bitwise_or_ge_lt_mul_sub_0,right_only,0,1,0,37,0,288,0.0,338.792,0.0,0.003075,0.003075
triton_poi_fused_add_bitwise_and_bitwise_or_ge_lt_mul_sub_0,right_only,0,1,0,1,0,5,0.0,6.015,0.0,5.5e-05,5.5e-05
triton_poi_fused_bitwise_and_bitwise_not_bitwise_or_ge_lt_1,right_only,0,1,0,1,0,5,0.0,5.249,0.0,4.8e-05,4.8e-05
vllm::moe_forward_shared,both,8,1,37,38,90560,23440,2143876.741,2002432.024,26.120274,18.176157,-7.944117
vllm::qwen_gdn_attention_core,both,6,6,37,38,19290,19590,685945.866,690516.313,8.357334,6.267845,-2.089489
vllm::unified_attention_with_output,left_only,2,0,37,0,5450,0,854773.758,0.0,10.414276,0.0,-10.414276
vllm::unified_kv_cache_update,left_only,1,0,37,0,2890,0,11368.745,0.0,0.138513,0.0,-0.138513
