operator_name,presence
AOTDispatcher Runtime Wrapper Prologue,both
Pregraph bytecode,both
Torch-Compiled Region: 0/0,both
Torch-Compiled Region: 1/0,both
Torch-Compiled Region: 1/1,both
TorchDynamo Cache Lookup,both
_C::silu_and_mul,right_only
_C_cache_ops::reshape_and_cache_flash,right_only
_C_custom_ar::all_reduce,both
_moe_C::moe_align_block_size,right_only
_moe_C::moe_sum,right_only
_moe_C::topk_softmax,right_only
_vllm_fa3_C::fwd,right_only
_vllm_fa3_C::get_scheduler_metadata,right_only
aten::_index_put_impl_,both
aten::_local_scalar_dense,both
aten::_pin_memory,both
aten::_to_copy,both
aten::_unsafe_view,both
aten::add,both
aten::alias,both
aten::any,both
aten::arange,both
aten::argmax,both
aten::as_strided,both
aten::bitwise_not,both
aten::cat,both
aten::clone,both
aten::contiguous,both
aten::copy_,both
aten::cumsum,both
aten::detach,both
aten::detach_,both
aten::diff,both
aten::embedding,both
aten::empty,both
aten::empty_like,both
aten::empty_strided,both
aten::eq,both
aten::exp,both
aten::expand,both
aten::expand_as,both
aten::fill_,both
aten::flatten,both
aten::floor_divide,both
aten::full,both
aten::gather,right_only
aten::gt,both
aten::index,both
aten::index_put_,both
aten::index_select,both
aten::is_nonzero,both
aten::is_pinned,both
aten::item,both
aten::lift_fresh,both
aten::linear,both
aten::lt,both
aten::masked_fill_,both
aten::matmul,both
aten::mm,both
aten::movedim,both
aten::mul,both
aten::narrow,both
aten::neg,both
aten::new_empty,both
aten::numpy_T,left_only
aten::permute,both
aten::pin_memory,both
aten::promote_types,left_only
aten::reshape,both
aten::resize_,both
aten::resolve_conj,both
aten::resolve_neg,both
aten::result_type,left_only
aten::scatter_,both
aten::select,both
aten::set_,both
aten::sigmoid,both
aten::slice,both
aten::split_with_sizes,both
aten::squeeze,both
aten::stack,both
aten::sub,both
aten::sum,both
aten::t,both
aten::to,both
aten::transpose,both
aten::unbind,both
aten::unsqueeze,both
aten::view,both
aten::zero_,both
aten::zeros,both
c10d::_allgather_base_,both
record_param_comms,both
symm_mem::two_shot_all_reduce_,both
triton_per_fused_1,both
triton_poi_fused_0,both
triton_poi_fused_2,both
triton_poi_fused_3,both
triton_poi_fused_5,both
triton_poi_fused_7,both
triton_poi_fused___and_____or___add_bitwise_not_ge_lt_mul_sub_0,left_only
triton_poi_fused___and_____or___add_ge_lt_mul_sub_0,left_only
triton_poi_fused___and_____or___bitwise_not_ge_lt_1,left_only
triton_poi_fused__to_copy__unsafe_view_add_clone_linear_mean_mul_pow_rsqrt_silu_view_2,left_only
triton_poi_fused__to_copy__unsafe_view_add_clone_mean_mm_mul_pow_rsqrt_silu_t_view_2,right_only
triton_poi_fused_add_2,both
triton_poi_fused_add_4,both
triton_poi_fused_add_bitwise_and_bitwise_not_bitwise_or_ge_lt_mul_sub_0,right_only
triton_poi_fused_add_bitwise_and_bitwise_or_ge_lt_mul_sub_0,right_only
triton_poi_fused_bitwise_and_bitwise_not_bitwise_or_ge_lt_1,right_only
triton_poi_fused_mul_sigmoid_view_0,both
triton_poi_fused_mul_silu_slice_0,both
triton_red_fused_1,both
triton_red_fused_6,both
triton_red_fused__to_copy_add_copy__fused_add_rms_norm_moe_forward_shared_1,both
triton_red_fused__to_copy_add_copy__fused_add_rms_norm_moe_forward_shared_3,both
vllm::all_gather,both
vllm::all_reduce,both
vllm::flashinfer_trtllm_fused_allreduce_norm,both
vllm::moe_forward_shared,both
vllm::qwen_gdn_attention_core,both
vllm::unified_attention_with_output,both
vllm::unified_kv_cache_update,both
