kernel_name,presence,left_call_count,right_call_count,left_time_us,right_time_us,left_percent,right_percent,percent_point_delta
_causal_conv1d_fwd_kernel,both,1020,990,61027.153,60831.658,0.628127,0.932625,0.304498
_causal_conv1d_update_kernel,both,7860,7680,25688.46,25136.745,0.2644,0.385377,0.120977
_compute_slot_mapping_kernel,both,1184,1156,3376.11,3475.075,0.034749,0.053277,0.018528
_fused_post_conv_kernel,both,1020,990,46158.087,46049.734,0.475086,0.705999,0.230914
_scatter_jit_function,left_only,17,0,23.806,0.0,0.000245,0.0,-0.000245
_silu_and_mul_kernel_kernel_rank_2,left_only,440,0,794.998,0.0,0.008183,0.0,-0.008183
_zero_kv_blocks_kernel,right_only,0,66,0.0,1070.265,0.0,0.016408,0.016408
add_func_kernel_rank_1,left_only,592,0,704.496,0.0,0.007251,0.0,-0.007251
argmax_kernel_inner,left_only,296,0,19483.075,0.0,0.200531,0.0,-0.200531
bitwise_not_func_kernel_rank_1,left_only,1020,0,1228.002,0.0,0.012639,0.0,-0.012639
cat_copy_func_kernel_4,left_only,1980,0,30213.342,0.0,0.310973,0.0,-0.310973
embedding_kernel,left_only,296,0,812.208,0.0,0.00836,0.0,-0.00836
exp_func_kernel_rank_1,left_only,1020,0,1668.347,0.0,0.017172,0.0,-0.017172
fill_scalar_kernel,left_only,2423,0,2500.687,0.0,0.025739,0.0,-0.025739
full_func_scalar_kernel_rank_1,left_only,204,0,197.865,0.0,0.002037,0.0,-0.002037
fused_moe_kernel,both,23680,23120,1995425.674,2022411.633,20.538074,31.006077,10.468003
fused_recurrent_gated_delta_rule_packed_decode_kernel,both,7860,7680,328858.247,328462.864,3.384799,5.035743,1.650944
fused_sigmoid_gating_delta_rule_update_kernel,both,990,960,27009.851,26242.208,0.278001,0.402326,0.124325
gt_func_scalar_kernel_rank_1,left_only,102,0,116.39,0.0,0.001198,0.0,-0.001198
kernel_unified_attention,left_only,2960,0,838818.121,0.0,8.633601,0.0,-8.633601
masked_fill_kernel_kernel_rank_2,left_only,296,0,1233.222,0.0,0.012693,0.0,-0.012693
masked_fill_kernel_kernel_rank_4,left_only,1020,0,3153.723,0.0,0.03246,0.0,-0.03246
memcpy32_post,both,20960,10240,25578.22,13069.235,0.263266,0.200368,-0.062898
mm_kernel_general_host_tma,left_only,63258,0,4284899.754,0.0,44.102663,0.0,-44.102663
moe_align_block_size_stage1,left_only,11400,0,27967.179,0.0,0.287854,0.0,-0.287854
moe_align_block_size_stage2_vec,left_only,11400,0,38274.241,0.0,0.393941,0.0,-0.393941
moe_align_block_size_stage3,left_only,11400,0,16163.436,0.0,0.166363,0.0,-0.166363
moe_align_block_size_stage4,left_only,11400,0,35919.16,0.0,0.369701,0.0,-0.369701
moe_sum_kernel,left_only,10520,0,25001.884,0.0,0.257334,0.0,-0.257334
mul_broadcast_2d_kernel,left_only,11840,0,48449.121,0.0,0.498666,0.0,-0.498666
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>),both,296,289,22865.85,23394.355,0.235349,0.358664,0.123316
nvjet_tst_128x128_64x6_2x1_v_bz_TNT,both,1320,1280,26509.519,25943.099,0.272851,0.39774,0.124889
nvjet_tst_128x160_64x5_2x1_v_bz_TNT,right_only,0,40,0.0,782.382,0.0,0.011995,0.011995
nvjet_tst_128x208_64x5_4x2_h_bz_coopA_TNT,left_only,40,0,247.077,0.0,0.002543,0.0,-0.002543
nvjet_tst_128x64_64x8_1x2_h_bz_TNT,both,40,40,513.13,517.26,0.005281,0.00793,0.002649
nvjet_tst_128x80_64x8_1x2_h_bz_TNT,right_only,0,40,0.0,590.761,0.0,0.009057,0.009057
nvjet_tst_16x64_64x16_2x1_v_bz_TNN,right_only,0,30,0.0,223.782,0.0,0.003431,0.003431
nvjet_tst_192x192_64x4_1x2_h_bz_coopB_TNN,right_only,0,310,0.0,63491.357,0.0,0.973401,0.973401
nvjet_tst_192x192_64x4_2x1_v_bz_coopB_TNN,right_only,0,950,0.0,260932.689,0.0,4.000421,4.000421
nvjet_tst_256x128_64x4_1x2_h_bz_coopA_TNT,both,2520,3830,56384.43,176770.185,0.580341,2.710106,2.129765
nvjet_tst_256x128_64x4_2x1_v_bz_coopA_TNT,left_only,40,0,468.847,0.0,0.004826,0.0,-0.004826
nvjet_tst_256x160_64x4_1x2_h_bz_coopA_TNT,right_only,0,110,0.0,7906.244,0.0,0.121213,0.121213
nvjet_tst_256x16_64x6_2x1_v_bz_TNT,both,8,8,1400.159,1390.654,0.014411,0.02132,0.006909
nvjet_tst_256x24_64x6_2x1_v_bz_TNT,both,8,8,1412.992,1413.341,0.014543,0.021668,0.007125
nvjet_tst_256x32_64x5_2x1_v_bz_TNT,both,8,8,1416.062,1410.461,0.014575,0.021624,0.007049
nvjet_tst_256x40_64x5_2x1_v_bz_TNT,both,8,8,1431.549,1427.071,0.014734,0.021879,0.007144
nvjet_tst_256x48_64x5_2x1_v_bz_TNT,both,8,8,1439.903,1434.973,0.01482,0.022,0.00718
nvjet_tst_256x56_64x5_2x1_v_bz_TNT,both,8,8,1448.575,1444.062,0.01491,0.022139,0.00723
nvjet_tst_256x8_64x6_2x1_v_bz_TNT,both,16,9,2710.741,1536.129,0.027901,0.023551,-0.00435
nvjet_tst_320x64_64x4_2x1_v_bz_TNT,both,232,232,42389.992,42591.67,0.436302,0.652983,0.216681
nvjet_tst_32x64_64x16_1x2_h_bz_TNN,right_only,0,930,0.0,15224.503,0.0,0.23341,0.23341
nvjet_tst_32x64_64x16_1x4_h_bz_TNN,right_only,0,30,0.0,256.421,0.0,0.003931,0.003931
nvjet_tst_64x128_64x8_2x1_v_bz_TNN,left_only,40,0,561.297,0.0,0.005777,0.0,-0.005777
nvjet_tst_64x16_64x16_4x1_v_bz_TNT,right_only,0,160,0.0,1746.277,0.0,0.026773,0.026773
nvjet_tst_64x16_64x16_4x2_h_bz_TNT,both,320,640,1133.974,3171.012,0.011672,0.048616,0.036944
nvjet_tst_64x32_64x16_4x1_v_bz_TNT,right_only,0,320,0.0,3567.642,0.0,0.054696,0.054696
nvjet_tst_64x32_64x16_4x2_h_bz_TNT,both,9560,19120,35799.983,100534.413,0.368474,1.541317,1.172843
nvjet_tst_64x48_64x15_2x4_h_bz_TNT,left_only,40,0,268.198,0.0,0.00276,0.0,-0.00276
nvjet_tst_64x64_64x13_4x1_v_bz_TNT,right_only,0,2390,0.0,22025.522,0.0,0.337679,0.337679
nvjet_tst_64x8_64x16_1x1_h_bz_TNT,both,10120,10270,70382.848,52869.981,0.724421,0.810562,0.086141
nvjet_tst_64x8_64x16_1x2_h_bz_TNT,right_only,0,120,0.0,599.212,0.0,0.009187,0.009187
nvjet_tst_64x8_64x16_1x4_h_bz_TNT,right_only,0,240,0.0,1271.386,0.0,0.019492,0.019492
nvjet_tst_64x8_64x16_2x1_v_bz_TNT,both,1240,1240,22556.674,22633.279,0.232166,0.346996,0.11483
nvjet_tst_64x8_64x16_2x4_h_bz_TNT,both,19760,19760,120037.065,119959.497,1.235491,1.839128,0.603637
nvjet_tst_64x8_64x16_4x1_v_bz_TNT,both,560,720,2456.15,4773.773,0.02528,0.073188,0.047908
nvjet_tst_64x8_64x16_4x2_h_bz_TNT,both,480,640,2241.277,3204.543,0.023069,0.04913,0.026061
nvjet_tst_64x96_64x10_4x2_h_bz_TNT,left_only,40,0,306.406,0.0,0.003154,0.0,-0.003154
nvjet_tst_72x64_64x12_4x1_v_bz_TNN,right_only,0,7170,0.0,84805.827,0.0,1.300178,1.300178
nvjet_tst_8x64_64x16_4x1_v_bz_TNN,both,800,7490,4576.318,39361.979,0.047102,0.603468,0.556366
reduce_segments,left_only,2620,0,13654.706,0.0,0.140542,0.0,-0.140542
reshape_and_cache_kernel_flash,left_only,2960,0,11463.922,0.0,0.117993,0.0,-0.117993
sigmoid_forward_kernel_rank_1,left_only,11840,0,19819.304,0.0,0.203992,0.0,-0.203992
"std::enable_if<!(false), void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, false, true, true, false, 7, false, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<__nv_bfloat16 const>, cublasGemvTensorStridedBatched<__nv_bfloat16 const>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float> >(cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<__nv_bfloat16 const>, cublasGemvTensorStridedBatched<__nv_bfloat16 const>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>)",left_only,40,0,153.795,0.0,0.001583,0.0,-0.001583
sub_func_kernel_rank_1,left_only,1776,0,1792.825,0.0,0.018453,0.0,-0.018453
sub_func_tensor_scalar_kernel_rank_1,left_only,395,0,403.971,0.0,0.004158,0.0,-0.004158
topk_gating_softmax_kernel,left_only,11840,0,65257.989,0.0,0.671673,0.0,-0.671673
triton_per_fused_1,both,8880,8670,55053.649,54536.355,0.566644,0.83611,0.269466
triton_poi_fused_0,both,11840,11560,37855.276,38060.461,0.389628,0.583514,0.193886
triton_poi_fused_2,both,296,289,381.453,310.186,0.003926,0.004756,0.000829
triton_poi_fused_3,both,2664,2601,2850.62,2777.823,0.02934,0.042587,0.013247
triton_poi_fused_5,both,8880,8670,16890.385,16549.709,0.173846,0.253728,0.079882
triton_poi_fused_7,both,2960,2890,16678.664,16564.71,0.171666,0.253958,0.082291
triton_poi_fused___and_____or___add_bitwise_not_ge_lt_mul_sub_0,left_only,289,0,338.251,0.0,0.003481,0.0,-0.003481
triton_poi_fused___and_____or___add_ge_lt_mul_sub_0,left_only,7,0,8.446,0.0,8.7e-05,0.0,-8.7e-05
triton_poi_fused___and_____or___bitwise_not_ge_lt_1,left_only,7,0,7.394,0.0,7.6e-05,0.0,-7.6e-05
triton_poi_fused__to_copy__unsafe_view_add_clone_linear_mean_mul_pow_rsqrt_silu_view_2,left_only,8880,0,31101.67,0.0,0.320116,0.0,-0.320116
triton_poi_fused__to_copy__unsafe_view_add_clone_mean_mm_mul_pow_rsqrt_silu_t_view_2,right_only,0,8670,0.0,31012.404,0.0,0.475459,0.475459
triton_poi_fused_add_2,both,2960,2890,14898.263,15116.551,0.153342,0.231755,0.078414
triton_poi_fused_add_4,both,8880,8670,44761.531,44910.426,0.460712,0.688532,0.227821
triton_poi_fused_add_bitwise_and_bitwise_not_bitwise_or_ge_lt_mul_sub_0,right_only,0,288,0.0,326.506,0.0,0.005006,0.005006
triton_poi_fused_add_bitwise_and_bitwise_or_ge_lt_mul_sub_0,right_only,0,1,0.0,1.184,0.0,1.8e-05,1.8e-05
triton_poi_fused_bitwise_and_bitwise_not_bitwise_or_ge_lt_1,right_only,0,1,0.0,1.056,0.0,1.6e-05,1.6e-05
triton_poi_fused_mul_sigmoid_view_0,both,296,289,1454.101,1509.861,0.014966,0.023148,0.008182
triton_poi_fused_mul_silu_slice_0,both,11840,11560,38434.778,33272.682,0.395593,0.510111,0.114519
triton_red_fused_1,both,296,289,1357.439,1338.104,0.013972,0.020515,0.006543
triton_red_fused_6,both,2960,2890,9344.374,9272.243,0.096178,0.142155,0.045977
triton_red_fused__to_copy_add_copy__fused_add_rms_norm_moe_forward_shared_1,both,2960,2890,32591.997,32439.824,0.335456,0.497343,0.161887
triton_red_fused__to_copy_add_copy__fused_add_rms_norm_moe_forward_shared_3,both,8880,8670,100620.471,100244.737,1.035644,1.536876,0.501232
"void (anonymous namespace)::two_shot_all_reduce_kernel_inplace<c10::BFloat16, 16, 2>(c10::BFloat16**, unsigned long, unsigned long, unsigned int**, unsigned long, unsigned long)",both,1353,1353,151143.097,449889.218,1.555652,6.897359,5.341707
"void at::native::(anonymous namespace)::CatArrayBatchedCopy_vectorized<at::native::(anonymous namespace)::OpaqueType<2u>, unsigned int, 1, 128, 1, 16, 8>(char*, at::native::(anonymous namespace)::CatArrInputTensorMetadata<at::native::(anonymous namespace)::OpaqueType<2u>, unsigned int, 128, 1>, at::native::(anonymous namespace)::TensorSizeStride<unsigned int, 4u>, int, unsigned int)",right_only,0,960,0.0,1469.825,0.0,0.022534,0.022534
"void at::native::(anonymous namespace)::CatArrayBatchedCopy_vectorized<at::native::(anonymous namespace)::OpaqueType<2u>, unsigned int, 2, 128, 1, 16, 8>(char*, at::native::(anonymous namespace)::CatArrInputTensorMetadata<at::native::(anonymous namespace)::OpaqueType<2u>, unsigned int, 128, 1>, at::native::(anonymous namespace)::TensorSizeStride<unsigned int, 4u>, int, unsigned int)",right_only,0,960,0.0,21746.121,0.0,0.333395,0.333395
"void at::native::(anonymous namespace)::indexSelectSmallIndex<c10::BFloat16, long, unsigned int, 2, 2, -2>(at::cuda::detail::TensorInfo<c10::BFloat16, unsigned int>, at::cuda::detail::TensorInfo<c10::BFloat16 const, unsigned int>, at::cuda::detail::TensorInfo<long const, unsigned int>, int, int, unsigned int, long)",right_only,0,9,0.0,50.88,0.0,0.00078,0.00078
"void at::native::_scatter_gather_elementwise_kernel<128, 8, at::native::_cuda_scatter_gather_internal_kernel<true, at::native::OpaqueType<4>, long>::operator()<at::native::TensorAssign>(at::TensorIterator&, long, long, long, at::native::TensorAssign const&)::{lambda(int)#1}>(int, at::native::_cuda_scatter_gather_internal_kernel<true, at::native::OpaqueType<4>, long>::operator()<at::native::TensorAssign>(at::TensorIterator&, long, long, long, at::native::TensorAssign const&)::{lambda(int)#1})",right_only,0,17,0.0,31.168,0.0,0.000478,0.000478
