operator_name,presence,left_kernel_type_count,right_kernel_type_count,left_shape_dtype_variant_count,right_shape_dtype_variant_count,left_event_count,right_event_count,left_time_us,right_time_us,left_percent,right_percent,percent_point_delta
_C::silu_and_mul,right_only,0,1,0,3,0,1320,0.0,53948.335,0.0,0.827095,0.827095
_C_cache_ops::reshape_and_cache_flash,right_only,0,1,0,3,0,330,0.0,6802.836,0.0,0.104296,0.104296
_C_custom_ar::all_reduce,both,1,1,36,34,303,256,2255.402,8637.496,0.023214,0.132424,0.10921
_moe_C::moe_align_block_size,right_only,0,2,0,3,0,2640,0.0,44785.127,0.0,0.686611,0.686611
_moe_C::topk_softmax,right_only,0,1,0,3,0,1320,0.0,32518.346,0.0,0.498547,0.498547
_vllm_fa3_C::fwd,right_only,0,1,0,33,0,330,0.0,74030.72,0.0,1.134983,1.134983
_vllm_fa3_C::get_scheduler_metadata,right_only,0,3,0,38,0,289,0.0,533.028,0.0,0.008172,0.008172
aten::_index_put_impl_,both,1,1,3,3,1020,990,5309.863,5195.56,0.054652,0.079654,0.025002
aten::add,both,1,2,103,101,592,578,704.496,788.895,0.007251,0.012095,0.004844
aten::argmax,both,1,1,64,64,296,289,19483.075,9643.148,0.200531,0.147841,-0.05269
aten::bitwise_not,both,1,3,3,3,1020,990,1228.002,1572.737,0.012639,0.024112,0.011473
aten::cat,both,1,2,66,64,1980,1920,30213.342,23215.946,0.310973,0.355929,0.044956
aten::copy_,both,5,5,396,390,7810,7591,40173.653,39925.882,0.41349,0.612113,0.198623
aten::embedding,left_only,1,0,39,0,296,0,812.208,0.0,0.00836,0.0,-0.00836
aten::exp,both,1,1,33,33,1020,990,1668.347,1870.949,0.017172,0.028684,0.011512
aten::fill_,both,1,5,115,160,1983,1396,1802.625,1371.59,0.018554,0.021028,0.002475
aten::full,left_only,1,0,1,0,204,0,197.865,0.0,0.002037,0.0,-0.002037
aten::gather,right_only,0,1,0,28,0,280,0.0,875.673,0.0,0.013425,0.013425
aten::gt,both,1,1,33,33,102,99,116.39,134.592,0.001198,0.002063,0.000866
aten::index,both,3,3,29,28,1629,1585,5768.479,5561.367,0.059373,0.085263,0.02589
aten::index_select,right_only,0,1,0,9,0,9,0.0,50.88,0.0,0.00078,0.00078
aten::masked_fill_,both,2,2,42,40,1316,1279,4386.945,5614.261,0.045153,0.086074,0.040921
aten::mm,both,21,22,96,88,40174,9199,4182254.448,628953.588,43.046178,9.642638,-33.403541
aten::mul,both,1,1,4,3,1360,1320,28014.841,58283.595,0.288345,0.89356,0.605215
aten::scatter_,both,1,1,17,17,17,17,23.806,31.168,0.000245,0.000478,0.000233
aten::sigmoid,both,1,1,4,3,1360,1320,1676.966,2407.891,0.01726,0.036916,0.019656
aten::sub,both,2,5,97,102,2171,2119,2196.796,2329.17,0.022611,0.035709,0.013098
aten::sum,right_only,0,1,0,3,0,1320,0.0,150180.675,0.0,2.302456,2.302456
aten::zero_,left_only,1,0,3,0,1320,0,13955.557,0.0,0.143639,0.0,-0.143639
aten::zeros,left_only,1,0,1,0,2720,0,2645.885,0.0,0.027233,0.0,-0.027233
