kernel_name,presence,left_call_count,right_call_count,left_time_us,right_time_us,left_percent,right_percent,percent_point_delta
_causal_conv1d_fwd_kernel,both,990,990,60882.962,63886.429,0.659703,0.497201,-0.162502
_causal_conv1d_update_kernel,both,15360,15360,50972.917,52026.771,0.552322,0.404902,-0.147419
_compute_slot_mapping_kernel,both,2180,2180,5796.188,5715.615,0.062805,0.044482,-0.018323
_fused_post_conv_kernel,both,990,990,46106.644,46040.303,0.499593,0.358312,-0.141281
_scatter_jit_function,both,17,17,24.097,23.105,0.000261,0.00018,-8.1e-05
_silu_and_mul_kernel_kernel_rank_2,both,200,200,366.303,265.996,0.003969,0.00207,-0.001899
add_func_kernel_rank_1,both,1090,77390,1263.792,317065.087,0.013694,2.467583,2.45389
add_func_tensor_scalar_kernel_rank_1,right_only,0,126440,0.0,141537.484,0.0,1.101526,1.101526
argmax_kernel_inner,both,545,545,36883.202,36582.15,0.399651,0.284703,-0.114948
bitwise_not_func_kernel_rank_1,both,990,990,1238.272,1238.839,0.013417,0.009641,-0.003776
cat_copy_func_kernel_4,both,1920,23720,30255.495,67796.531,0.327836,0.527632,0.199796
embedding_kernel,both,545,545,1274.422,1251.128,0.013809,0.009737,-0.004072
exp_func_kernel_rank_1,both,990,990,1655.516,1610.653,0.017938,0.012535,-0.005403
fill_scalar_kernel,both,1035,811,1093.749,752.686,0.011851,0.005858,-0.005994
full_func_scalar_kernel_rank_1,both,198,198,191.812,191.328,0.002078,0.001489,-0.000589
fused_moe_kernel,both,43600,43600,3238596.69,3280584.656,35.092109,25.531403,-9.560706
fused_recurrent_gated_delta_rule_packed_decode_kernel,both,15360,15360,679060.892,676899.625,7.358026,5.268024,-2.090003
fused_sigmoid_gating_delta_rule_update_kernel,both,960,960,26301.182,26173.16,0.284989,0.203695,-0.081294
gt_func_scalar_kernel_rank_1,both,99,99,102.686,120.326,0.001113,0.000936,-0.000176
kernel_unified_attention,both,5450,5450,1117345.75,1123824.945,12.107101,8.746254,-3.360847
