operator_name,presence,left_kernel_type_count,right_kernel_type_count,left_shape_dtype_variant_count,right_shape_dtype_variant_count,left_event_count,right_event_count,left_time_us,right_time_us,left_percent,right_percent,percent_point_delta
SiluAndMul,right_only,0,2,0,37,0,21800,0.0,33173.161,0.0,0.258173,0.258173
_C_custom_ar::all_reduce,both,1,1,34,34,512,41472,3509.797,461169.163,0.038031,3.589085,3.551054
aten::_index_put_impl_,both,1,1,3,3,990,990,5258.961,5207.381,0.056984,0.040527,-0.016457
aten::add,both,1,2,101,396,1090,203830,1263.792,458602.571,0.013694,3.56911,3.555416
aten::argmax,both,1,1,64,64,545,545,36883.202,36582.15,0.399651,0.284703,-0.114948
aten::bitwise_not,both,1,1,3,3,990,990,1238.272,1238.839,0.013417,0.009641,-0.003776
aten::cat,both,1,1,64,212,1920,23720,30255.495,67796.531,0.327836,0.527632,0.199796
aten::copy_,both,5,7,390,981,9127,430292,65280.197,1768358.768,0.70735,13.762388,13.055039
aten::embedding,both,1,1,37,37,545,545,1274.422,1251.128,0.013809,0.009737,-0.004072
aten::exp,both,1,1,33,33,990,990,1655.516,1610.653,0.017938,0.012535,-0.005403
aten::fill_,both,1,1,112,64,835,811,769.354,752.686,0.008336,0.005858,-0.002479
aten::full,both,1,1,1,1,198,198,191.812,191.328,0.002078,0.001489,-0.000589
aten::gt,both,1,1,33,33,99,99,102.686,120.326,0.001113,0.000936,-0.000176
aten::index,both,3,3,28,56,2097,7547,6419.14,32201.956,0.069555,0.250614,0.181059
aten::masked_fill_,both,2,2,40,40,1535,1535,4690.142,4706.344,0.05082,0.036627,-0.014193
aten::mean,right_only,0,1,0,148,0,71395,0.0,271399.706,0.0,2.112189,2.112189
aten::mm,both,18,43,88,360,9455,148775,756148.607,1515369.588,8.193317,11.793481,3.600164
aten::mul,both,1,3,3,481,1320,229990,27885.478,746978.648,0.302156,5.813419,5.511263
aten::pow,right_only,0,1,0,148,0,71395,0.0,372859.07,0.0,2.901804,2.901804
aten::rsqrt,right_only,0,1,0,145,0,71395,0.0,77378.553,0.0,0.602205,0.602205
aten::scatter_,both,1,1,17,17,17,17,24.097,23.105,0.000261,0.00018,-8.1e-05
aten::sigmoid,both,1,1,3,74,1320,27250,1630.735,39592.211,0.01767,0.308129,0.290459
aten::silu,right_only,0,1,0,37,0,16350,0.0,64719.195,0.0,0.503682,0.503682
aten::sub,both,2,2,102,202,3911,14811,3949.922,17453.558,0.0428,0.135834,0.093034
