kernel_name,presence,left_call_count,right_call_count,left_time_us,right_time_us,left_percent,right_percent,percent_point_delta
_causal_conv1d_fwd_kernel,both,990,990,60851.246,63908.28,0.880744,0.259738,-0.621006
_causal_conv1d_update_kernel,both,7680,7800,25134.558,26074.289,0.36379,0.105972,-0.257819
_compute_slot_mapping_kernel,both,1156,1172,3476.42,3528.632,0.050317,0.014341,-0.035976
_fused_post_conv_kernel,both,990,990,46036.949,46167.481,0.666326,0.187635,-0.47869
_triton_mrope_forward,right_only,0,2930,0.0,6698.876,0.0,0.027226,0.027226
_zero_kv_blocks_kernel,both,66,66,1068.692,1068.755,0.015468,0.004344,-0.011124
fused_moe_kernel,both,23120,23440,2023655.368,1982069.837,29.289815,8.055589,-21.234226
fused_recurrent_gated_delta_rule_packed_decode_kernel,both,7680,7800,328606.496,329391.0,4.756157,1.338721,-3.417436
fused_sigmoid_gating_delta_rule_update_kernel,both,960,960,26249.498,26395.999,0.379928,0.107279,-0.272648
layer_norm_fwd_kernel,right_only,0,8790,0.0,51810.063,0.0,0.210568,0.210568
memcpy32_post,left_only,10240,0,13060.414,0.0,0.189033,0.0,-0.189033
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>),both,289,293,25203.385,97458.586,0.364787,0.396094,0.031308
nvjet_tst_128x128_64x6_2x1_v_bz_TNT,both,1280,1280,25977.881,21571.055,0.375996,0.08767,-0.288327
nvjet_tst_128x160_64x5_2x1_v_bz_TNT,both,40,40,781.714,655.21,0.011314,0.002663,-0.008651
nvjet_tst_128x64_64x8_1x2_h_bz_TNT,both,40,40,516.392,462.024,0.007474,0.001878,-0.005596
nvjet_tst_128x80_64x8_1x2_h_bz_TNT,both,40,40,586.795,517.004,0.008493,0.002101,-0.006392
nvjet_tst_16x64_64x16_2x1_v_bz_TNN,both,30,30,223.845,220.388,0.00324,0.000896,-0.002344
nvjet_tst_192x192_64x4_1x2_h_bz_coopB_TNN,both,310,310,63503.23,63735.577,0.919128,0.259036,-0.660092
nvjet_tst_192x192_64x4_2x1_v_bz_coopB_TNN,both,950,950,260854.713,259218.362,3.775537,1.053523,-2.722014
nvjet_tst_24x64_64x16_4x1_v_bz_TNN,right_only,0,1040,0.0,5507.659,0.0,0.022384,0.022384
nvjet_tst_256x128_64x4_1x2_h_bz_coopA_TNT,both,3830,3830,176742.344,174538.324,2.558119,0.709364,-1.848755
nvjet_tst_256x160_64x4_1x2_h_bz_coopA_TNT,both,110,110,7916.324,7827.751,0.114579,0.031814,-0.082765
nvjet_tst_256x16_64x6_2x1_v_bz_TNT,both,8,8,1387.323,1394.589,0.02008,0.005668,-0.014412
nvjet_tst_256x24_64x6_2x1_v_bz_TNT,both,8,8,1410.108,1407.998,0.02041,0.005722,-0.014687
nvjet_tst_256x32_64x5_2x1_v_bz_TNT,both,8,8,1413.95,1418.366,0.020465,0.005765,-0.014701
nvjet_tst_256x40_64x5_2x1_v_bz_TNT,both,8,8,1431.485,1428.799,0.020719,0.005807,-0.014912
nvjet_tst_256x48_64x5_2x1_v_bz_TNT,both,8,8,1436.892,1433.852,0.020797,0.005828,-0.01497
nvjet_tst_256x56_64x5_2x1_v_bz_TNT,both,8,8,1443.421,1439.197,0.020892,0.005849,-0.015042
nvjet_tst_256x8_64x6_2x1_v_bz_TNT,both,9,13,1539.135,2195.179,0.022277,0.008922,-0.013355
nvjet_tst_320x64_64x4_2x1_v_bz_TNT,both,232,232,42572.726,42580.139,0.616186,0.173056,-0.44313
nvjet_tst_32x64_64x16_1x2_h_bz_TNN,both,930,930,15211.886,15122.156,0.220173,0.06146,-0.158713
nvjet_tst_32x64_64x16_1x4_h_bz_TNN,both,30,30,254.602,248.834,0.003685,0.001011,-0.002674
nvjet_tst_48x64_64x15_2x1_v_bz_TNN,right_only,0,270,0.0,3175.824,0.0,0.012907,0.012907
nvjet_tst_64x16_64x16_4x1_v_bz_TNT,both,160,160,1738.624,1767.102,0.025164,0.007182,-0.017982
nvjet_tst_64x16_64x16_4x2_h_bz_TNT,both,640,320,3179.306,1622.917,0.046016,0.006596,-0.03942
nvjet_tst_64x24_64x16_4x1_v_bz_TNT,right_only,0,200,0.0,2055.564,0.0,0.008354,0.008354
nvjet_tst_64x24_64x16_4x2_h_bz_TNT,right_only,0,640,0.0,3401.24,0.0,0.013823,0.013823
nvjet_tst_64x32_64x16_4x1_v_bz_TNT,both,320,160,3560.637,1811.753,0.051536,0.007363,-0.044172
nvjet_tst_64x32_64x16_4x2_h_bz_TNT,both,19120,17440,100520.54,92500.771,1.454906,0.375944,-1.078961
nvjet_tst_64x40_64x16_4x1_v_bz_TNT,right_only,0,160,0.0,1812.479,0.0,0.007366,0.007366
nvjet_tst_64x48_64x15_4x1_v_bz_TNT,right_only,0,160,0.0,1816.452,0.0,0.007382,0.007382
nvjet_tst_64x56_64x14_4x1_v_bz_TNT,right_only,0,160,0.0,1808.015,0.0,0.007348,0.007348
nvjet_tst_64x64_64x13_4x1_v_bz_TNT,both,2390,2270,22033.735,20964.086,0.31891,0.085203,-0.233707
nvjet_tst_64x8_64x16_1x1_h_bz_TNT,both,10270,9270,52912.533,50457.233,0.765841,0.20507,-0.560771
nvjet_tst_64x8_64x16_1x2_h_bz_TNT,both,120,120,599.791,602.347,0.008681,0.002448,-0.006233
nvjet_tst_64x8_64x16_1x4_h_bz_TNT,both,240,780,1269.909,4137.301,0.01838,0.016815,-0.001565
nvjet_tst_64x8_64x16_2x1_v_bz_TNT,both,1240,1240,22647.677,22686.149,0.327796,0.092202,-0.235594
nvjet_tst_64x8_64x16_2x4_h_bz_TNT,both,19760,19760,119994.949,114586.018,1.736773,0.465704,-1.271069
nvjet_tst_64x8_64x16_4x1_v_bz_TNT,both,720,1440,4772.79,9304.372,0.06908,0.037815,-0.031265
nvjet_tst_64x8_64x16_4x2_h_bz_TNT,both,640,520,3209.819,2642.583,0.046458,0.01074,-0.035718
nvjet_tst_72x64_64x12_4x1_v_bz_TNN,both,7170,6540,84894.4,77277.7,1.228738,0.314074,-0.914663
nvjet_tst_8x64_64x16_4x1_v_bz_TNN,both,7490,7430,39356.822,39320.485,0.56964,0.159808,-0.409832
triton_per_fused_1,left_only,8670,0,54490.079,0.0,0.788674,0.0,-0.788674
triton_poi_fused_0,left_only,11560,0,38116.269,0.0,0.551684,0.0,-0.551684
triton_poi_fused_2,left_only,289,0,310.693,0.0,0.004497,0.0,-0.004497
triton_poi_fused_3,left_only,2601,0,2774.344,0.0,0.040155,0.0,-0.040155
triton_poi_fused_5,left_only,8670,0,16547.004,0.0,0.239497,0.0,-0.239497
triton_poi_fused_7,left_only,2890,0,16589.852,0.0,0.240117,0.0,-0.240117
triton_poi_fused__to_copy__unsafe_view_add_clone_mean_mm_mul_pow_rsqrt_silu_t_view_2,left_only,8670,0,31026.969,0.0,0.449076,0.0,-0.449076
triton_poi_fused_add_2,left_only,2890,0,15145.515,0.0,0.219212,0.0,-0.219212
triton_poi_fused_add_4,left_only,8670,0,45120.734,0.0,0.653065,0.0,-0.653065
triton_poi_fused_add_bitwise_and_bitwise_not_bitwise_or_ge_lt_mul_sub_0,both,288,288,327.626,338.407,0.004742,0.001375,-0.003367
triton_poi_fused_add_bitwise_and_bitwise_or_ge_lt_mul_sub_0,both,1,5,1.216,6.082,1.8e-05,2.5e-05,7e-06
triton_poi_fused_bitwise_and_bitwise_not_bitwise_or_ge_lt_1,both,1,5,1.088,5.346,1.6e-05,2.2e-05,6e-06
triton_poi_fused_mul_sigmoid_view_0,left_only,289,0,1508.439,0.0,0.021833,0.0,-0.021833
triton_poi_fused_mul_silu_slice_0,left_only,11560,0,33281.196,0.0,0.481703,0.0,-0.481703
triton_red_fused_1,left_only,289,0,1345.832,0.0,0.019479,0.0,-0.019479
triton_red_fused_6,left_only,2890,0,9273.464,0.0,0.134221,0.0,-0.134221
triton_red_fused__to_copy_add_copy__fused_add_rms_norm_moe_forward_shared_1,left_only,2890,0,32371.892,0.0,0.468542,0.0,-0.468542
