operator_name,presence,left_kernel_type_count,right_kernel_type_count,left_shape_dtype_variant_count,right_shape_dtype_variant_count,left_event_count,right_event_count,left_time_us,right_time_us,left_percent,right_percent,percent_point_delta
_C::silu_and_mul,both,1,1,3,69,1320,23440,54032.894,107739.737,0.782057,0.437879,-0.344178
_C_cache_ops::reshape_and_cache_flash,both,1,1,3,37,330,2930,6802.624,12955.525,0.098459,0.052654,-0.045805
_C_custom_ar::all_reduce,both,1,1,34,34,256,21060,17884.618,17016524.53,0.258857,69.15908,68.900224
_moe_C::moe_align_block_size,both,2,2,3,32,2640,22720,44848.72,94193.761,0.649128,0.382825,-0.266303
_moe_C::topk_softmax,both,1,1,3,37,1320,11720,32528.003,94327.887,0.470801,0.38337,-0.087431
_vllm_fa3_C::fwd,both,1,3,33,67,330,5530,74055.926,335926.353,1.071865,1.365282,0.293418
_vllm_fa3_C::get_scheduler_metadata,both,3,3,38,64,289,293,532.476,544.85,0.007707,0.002214,-0.005493
aten::_index_put_impl_,both,1,1,3,3,990,990,5204.574,5208.777,0.07533,0.02117,-0.05416
aten::add,both,2,5,101,288,578,94932,792.095,341522.988,0.011465,1.388028,1.376564
aten::argmax,both,1,1,64,64,289,293,9636.497,9586.604,0.139476,0.038962,-0.100514
aten::bitwise_not,both,3,3,3,3,990,990,1573.476,1510.09,0.022774,0.006137,-0.016637
aten::cat,both,2,2,64,64,1920,1920,23196.399,23233.935,0.335738,0.094428,-0.24131
aten::copy_,both,5,7,390,760,7591,180910,39939.723,1005060.536,0.578076,4.084798,3.506722
aten::exp,both,1,1,33,33,990,990,1872.294,1868.279,0.027099,0.007593,-0.019506
aten::fill_,both,5,4,160,133,1396,10045,1373.05,21560.628,0.019873,0.087627,0.067754
aten::gather,both,1,1,28,28,280,280,876.078,871.992,0.01268,0.003544,-0.009136
aten::gt,both,1,1,33,33,99,99,134.716,139.686,0.00195,0.000568,-0.001382
aten::index,both,3,3,28,56,1585,4523,5568.428,20217.602,0.080596,0.082169,0.001573
aten::index_select,both,1,1,9,9,9,13,51.521,62.431,0.000746,0.000254,-0.000492
aten::masked_fill_,both,2,2,40,40,1279,1283,5620.631,5610.191,0.081351,0.022801,-0.05855
aten::mean,right_only,0,1,0,111,0,29593,0.0,214472.741,0.0,0.871667,0.871667
aten::mm,both,22,43,88,360,9199,80803,628888.21,1063783.869,9.10235,4.323463,-4.778887
aten::mul,both,1,4,3,296,1320,73836,58312.49,572932.783,0.843998,2.328531,1.484532
aten::pow,right_only,0,1,0,111,0,29593,0.0,167298.241,0.0,0.679939,0.679939
aten::rsqrt,right_only,0,1,0,111,0,29593,0.0,38158.556,0.0,0.155085,0.155085
aten::scatter_,both,1,1,17,17,17,17,31.84,31.231,0.000461,0.000127,-0.000334
aten::sigmoid,both,1,1,3,74,1320,14650,2409.76,40536.129,0.034878,0.164748,0.12987
aten::sub,both,5,5,102,128,2119,2147,2330.087,2345.358,0.033725,0.009532,-0.024193
aten::sum,both,1,1,3,37,1320,11720,150256.013,210724.738,2.174763,0.856434,-1.318329
null,both,49,4,1,1,288374,12958,2867333.024,63106.326,41.500967,0.256479,-41.244488
record_param_comms,both,1,1,64,64,289,293,25203.385,97458.586,0.364787,0.396094,0.031308
symm_mem::two_shot_all_reduce_,both,1,1,3,3,1353,2673,701988.765,363947.795,10.160387,1.479168,-8.681219
triton_per_fused_1,left_only,1,0,3,0,990,0,35240.287,0.0,0.510058,0.0,-0.510058
triton_poi_fused_0,left_only,1,0,9,0,1320,0,20716.555,0.0,0.299846,0.0,-0.299846
triton_poi_fused_2,left_only,1,0,3,0,33,0,45.405,0.0,0.000657,0.0,-0.000657
triton_poi_fused_3,left_only,1,0,3,0,297,0,411.248,0.0,0.005952,0.0,-0.005952
triton_poi_fused_5,left_only,1,0,6,0,990,0,7655.277,0.0,0.1108,0.0,-0.1108
triton_poi_fused_7,left_only,1,0,3,0,330,0,10930.855,0.0,0.15821,0.0,-0.15821
triton_poi_fused__to_copy__unsafe_view_add_clone_mean_mm_mul_pow_rsqrt_silu_t_view_2,left_only,1,0,3,0,990,0,20647.111,0.0,0.29884,0.0,-0.29884
triton_poi_fused_add_2,left_only,1,0,3,0,330,0,11058.323,0.0,0.160055,0.0,-0.160055
triton_poi_fused_add_4,left_only,1,0,3,0,990,0,32812.665,0.0,0.474921,0.0,-0.474921
triton_poi_fused_add_bitwise_and_bitwise_not_bitwise_or_ge_lt_mul_sub_0,both,1,1,36,36,288,288,327.626,338.407,0.004742,0.001375,-0.003367
triton_poi_fused_add_bitwise_and_bitwise_or_ge_lt_mul_sub_0,both,1,1,1,1,1,5,1.216,6.082,1.8e-05,2.5e-05,7e-06
triton_poi_fused_bitwise_and_bitwise_not_bitwise_or_ge_lt_1,both,1,1,1,1,1,5,1.088,5.346,1.6e-05,2.2e-05,6e-06
triton_poi_fused_mul_sigmoid_view_0,left_only,1,0,3,0,33,0,1070.291,0.0,0.015491,0.0,-0.015491
triton_poi_fused_mul_silu_slice_0,left_only,1,0,3,0,1320,0,11823.052,0.0,0.171124,0.0,-0.171124
triton_red_fused_1,left_only,1,0,3,0,33,0,848.245,0.0,0.012277,0.0,-0.012277
triton_red_fused_6,left_only,1,0,3,0,330,0,5364.231,0.0,0.07764,0.0,-0.07764
triton_red_fused__to_copy_add_copy__fused_add_rms_norm_moe_forward_shared_1,left_only,1,0,3,0,330,0,25873.588,0.0,0.374487,0.0,-0.374487
triton_red_fused__to_copy_add_copy__fused_add_rms_norm_moe_forward_shared_3,left_only,1,0,3,0,990,0,80461.242,0.0,1.164573,0.0,-1.164573
vllm::flashinfer_trtllm_fused_allreduce_norm,left_only,1,0,3,0,1320,0,715125.307,0.0,10.350521,0.0,-10.350521
vllm::moe_forward_shared,both,1,1,3,37,2640,23440,835033.657,1982069.837,12.086041,8.055589,-4.030452
vllm::qwen_gdn_attention_core,both,4,6,3,37,3930,19530,330349.664,689020.406,4.781388,2.800338,-1.98105
