operator_name,input_shapes,input_dtypes,presence,left_mapping_statuses,right_mapping_statuses,left_kernel_type_count,right_kernel_type_count,left_event_count,right_event_count,left_time_us,right_time_us,left_percent,right_percent,percent_point_delta
_C::silu_and_mul,"[[1,256],[1,512]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,200,0.0,366.732,0.0,0.00149,0.00149
_C::silu_and_mul,"[[10,256],[10,512]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,72.195,0.0,0.000293,0.000293
_C::silu_and_mul,"[[112,256],[112,512]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,84.348,0.0,0.000343,0.000343
_C::silu_and_mul,"[[12,256],[12,512]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,74.721,0.0,0.000304,0.000304
_C::silu_and_mul,"[[128,256],[128,512]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,83.298,0.0,0.000339,0.000339
_C::silu_and_mul,"[[14,256],[14,512]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,71.203,0.0,0.000289,0.000289
_C::silu_and_mul,"[[144,256],[144,512]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,88.034,0.0,0.000358,0.000358
_C::silu_and_mul,"[[16,256],[16,512]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,80,0.0,147.425,0.0,0.000599,0.000599
_C::silu_and_mul,"[[160,256],[160,512]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,88.323,0.0,0.000359,0.000359
_C::silu_and_mul,"[[176,256],[176,512]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,93.155,0.0,0.000379,0.000379
_C::silu_and_mul,"[[18,256],[18,512]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,70.085,0.0,0.000285,0.000285
_C::silu_and_mul,"[[192,256],[192,512]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,92.897,0.0,0.000378,0.000378
_C::silu_and_mul,"[[2,256],[2,512]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,73.733,0.0,0.0003,0.0003
_C::silu_and_mul,"[[20,256],[20,512]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,70.531,0.0,0.000287,0.000287
_C::silu_and_mul,"[[208,256],[208,512]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,93.765,0.0,0.000381,0.000381
_C::silu_and_mul,"[[22,256],[22,512]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,72.865,0.0,0.000296,0.000296
_C::silu_and_mul,"[[224,256],[224,512]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,92.067,0.0,0.000374,0.000374
_C::silu_and_mul,"[[24,256],[24,512]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,71.047,0.0,0.000289,0.000289
_C::silu_and_mul,"[[240,256],[240,512]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,95.81,0.0,0.000389,0.000389
_C::silu_and_mul,"[[256,256],[256,512]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,95.682,0.0,0.000389,0.000389
_C::silu_and_mul,"[[26,256],[26,512]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,68.996,0.0,0.00028,0.00028
_C::silu_and_mul,"[[272,256],[272,512]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,93.281,0.0,0.000379,0.000379
_C::silu_and_mul,"[[28,256],[28,512]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,71.489,0.0,0.000291,0.000291
_C::silu_and_mul,"[[288,256],[288,512]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,93.54,0.0,0.00038,0.00038
_C::silu_and_mul,"[[30,256],[30,512]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,72.961,0.0,0.000297,0.000297
_C::silu_and_mul,"[[304,256],[304,512]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,94.018,0.0,0.000382,0.000382
_C::silu_and_mul,"[[32,256],[32,512]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,80,0.0,148.066,0.0,0.000602,0.000602
_C::silu_and_mul,"[[320,256],[320,512]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,96.835,0.0,0.000394,0.000394
_C::silu_and_mul,"[[32768,256],[32768,512]]","[""c10::BFloat16"",""c10::BFloat16""]",both,"[""operator_shape_matched""]","[""operator_shape_matched""]",1,1,40,40,877.998,876.05,0.012708,0.00356,-0.009147
