kernel_name,presence,left_call_count,right_call_count,left_time_us,right_time_us,left_percent,right_percent,percent_point_delta
_causal_conv1d_fwd_kernel,both,1020,990,60996.824,63887.125,0.989374,0.708131,-0.281244
_causal_conv1d_update_kernel,both,7650,7680,25149.819,25667.602,0.407932,0.284502,-0.12343
_compute_slot_mapping_kernel,both,1156,1156,3301.809,3263.385,0.053556,0.036172,-0.017384
_fused_post_conv_kernel,both,1020,990,46105.786,45955.758,0.74784,0.509378,-0.238463
_scatter_jit_function,both,17,17,23.554,23.262,0.000382,0.000258,-0.000124
_silu_and_mul_kernel_kernel_rank_2,both,160,200,291.918,268.063,0.004735,0.002971,-0.001764
add_func_kernel_rank_1,both,578,41038,689.841,270356.302,0.011189,2.996653,2.985464
add_func_tensor_scalar_kernel_rank_1,right_only,0,67048,0.0,75822.185,0.0,0.84042,0.84042
argmax_kernel_inner,both,289,289,19163.823,19066.309,0.310839,0.211333,-0.099506
bitwise_not_func_kernel_rank_1,both,1020,990,1272.119,1237.728,0.020634,0.013719,-0.006915
cat_copy_func_kernel_4,both,1980,13480,30274.66,54852.297,0.491058,0.607988,0.11693
embedding_kernel,both,289,289,801.113,791.122,0.012994,0.008769,-0.004225
exp_func_kernel_rank_1,both,1020,990,1676.099,1651.771,0.027186,0.018308,-0.008878
fill_scalar_kernel,both,770,555,822.134,518.666,0.013335,0.005749,-0.007586
full_func_scalar_kernel_rank_1,both,204,198,197.863,191.464,0.003209,0.002122,-0.001087
fused_moe_kernel,both,23120,23120,1986835.963,1969607.305,32.226669,21.831304,-10.395366
fused_recurrent_gated_delta_rule_packed_decode_kernel,both,7650,7680,328072.502,327641.38,5.321367,3.631606,-1.689761
fused_sigmoid_gating_delta_rule_update_kernel,both,990,960,27037.335,26245.073,0.438548,0.290903,-0.147645
gt_func_scalar_kernel_rank_1,both,102,99,104.74,120.733,0.001699,0.001338,-0.000361
kernel_unified_attention,both,2890,2890,838348.547,841909.135,13.598094,9.331796,-4.266297
masked_fill_kernel_kernel_rank_2,both,289,289,1222.743,1226.593,0.019833,0.013596,-0.006237
masked_fill_kernel_kernel_rank_4,both,1020,990,3154.306,3088.144,0.051163,0.034229,-0.016934
mean_dim_kernel_inner,right_only,0,37859,0.0,219687.999,0.0,2.435041,2.435041
memcpy32_post,left_only,20400,0,24998.681,0.0,0.405481,0.0,-0.405481
mm_kernel_general_host_tma,left_only,31790,0,807045.369,0.0,13.090353,0.0,-13.090353
moe_align_block_size_stage1,both,11400,11360,28295.635,26229.908,0.458958,0.290735,-0.168223
moe_align_block_size_stage2_vec,both,11400,11360,38315.078,35629.75,0.621474,0.394923,-0.226551
moe_align_block_size_stage3,both,11400,11360,16375.343,15173.154,0.26561,0.168181,-0.097429
moe_align_block_size_stage4,both,11400,11360,35739.488,31492.675,0.579698,0.349068,-0.23063
moe_sum_kernel,both,10240,10240,25031.033,24660.929,0.406006,0.273344,-0.132662
