operator_name,presence,left_kernel_type_count,right_kernel_type_count,left_shape_dtype_variant_count,right_shape_dtype_variant_count,left_event_count,right_event_count,left_time_us,right_time_us,left_percent,right_percent,percent_point_delta
SiluAndMul,right_only,0,2,0,37,0,11560,0.0,19364.298,0.0,0.214636,0.214636
_C_custom_ar::all_reduce,both,1,1,35,34,296,20736,2137.417,355256.134,0.034669,3.937691,3.903022
aten::_index_put_impl_,both,1,1,3,3,1020,990,5373.55,5253.681,0.087159,0.058232,-0.028927
aten::add,both,1,2,102,396,578,108086,689.841,346178.487,0.011189,3.837073,3.825884
aten::argmax,both,1,1,64,64,289,289,19163.823,19066.309,0.310839,0.211333,-0.099506
aten::bitwise_not,both,1,1,3,3,1020,990,1272.119,1237.728,0.020634,0.013719,-0.006915
aten::cat,both,1,1,66,212,1980,13480,30274.66,54852.297,0.491058,0.607988,0.11693
aten::copy_,both,5,7,395,981,7774,230868,40051.804,1259051.463,0.649644,13.955439,13.305795
aten::embedding,both,1,1,38,37,289,289,801.113,791.122,0.012994,0.008769,-0.004225
aten::exp,both,1,1,33,33,1020,990,1676.099,1651.771,0.027186,0.018308,-0.008878
aten::fill_,both,1,1,115,64,610,555,562.796,518.666,0.009129,0.005749,-0.00338
aten::full,both,1,1,1,1,204,198,197.863,191.464,0.003209,0.002122,-0.001087
aten::gt,both,1,1,33,33,102,99,104.74,120.733,0.001699,0.001338,-0.000361
aten::index,both,3,3,28,56,1615,4475,5750.803,20016.996,0.093279,0.22187,0.128592
aten::masked_fill_,both,2,2,41,40,1309,1279,4377.049,4314.737,0.070996,0.047825,-0.023171
aten::mean,right_only,0,1,0,148,0,37859,0.0,219687.999,0.0,2.435041,2.435041
aten::mm,both,21,43,96,360,9469,79399,710993.476,1050178.065,11.532382,11.640268,0.107886
aten::mul,both,1,3,4,481,1360,121958,28020.361,598197.815,0.454493,6.630478,6.175985
aten::pow,right_only,0,1,0,148,0,37859,0.0,306012.773,0.0,3.391873,3.391873
aten::rsqrt,right_only,0,1,0,145,0,37859,0.0,41550.106,0.0,0.460545,0.460545
aten::scatter_,both,1,1,17,17,17,17,23.554,23.262,0.000382,0.000258,-0.000124
aten::sigmoid,both,1,1,4,74,1360,14450,1663.899,24559.082,0.026989,0.272215,0.245226
aten::silu,right_only,0,1,0,37,0,8670,0.0,54327.635,0.0,0.602172,0.602172
aten::sub,both,2,2,97,202,2122,7899,2143.034,9717.712,0.03476,0.107712,0.072952
aten::zero_,both,1,1,3,3,1320,1320,13932.882,14002.216,0.225993,0.155202,-0.070791
aten::zeros,both,1,1,1,1,2720,31390,2644.851,40467.082,0.0429,0.448541,0.405641
null,both,46,1,1,1,327506,1156,2817522.531,3263.385,45.700485,0.036172,-45.664313
record_param_comms,both,1,1,64,64,289,289,22872.211,24373.388,0.370989,0.270157,-0.100833
symm_mem::two_shot_all_reduce_,both,1,1,3,3,1353,2673,148706.223,835060.038,2.412029,9.25588,6.843851
triton_per_fused_1,left_only,1,0,4,0,1020,0,35309.736,0.0,0.572727,0.0,-0.572727
triton_poi_fused_0,left_only,1,0,12,0,1360,0,20191.772,0.0,0.327512,0.0,-0.327512
triton_poi_fused_2,left_only,1,0,4,0,34,0,50.655,0.0,0.000822,0.0,-0.000822
triton_poi_fused_3,left_only,1,0,4,0,306,0,423.077,0.0,0.006862,0.0,-0.006862
triton_poi_fused_5,left_only,1,0,8,0,1020,0,7706.56,0.0,0.125001,0.0,-0.125001
triton_poi_fused_7,left_only,1,0,4,0,340,0,10935.072,0.0,0.177368,0.0,-0.177368
triton_poi_fused___and_____or___add_bitwise_not_ge_lt_mul_sub_0,both,1,1,37,36,288,288,336.742,367.259,0.005462,0.004071,-0.001391
triton_poi_fused___and_____or___add_ge_lt_mul_sub_0,both,1,1,1,1,1,1,1.28,1.216,2.1e-05,1.3e-05,-7e-06
triton_poi_fused___and_____or___bitwise_not_ge_lt_1,both,1,1,1,1,1,1,1.056,1.056,1.7e-05,1.2e-05,-5e-06
triton_poi_fused__to_copy__unsafe_view_add_clone_linear_mean_mul_pow_rsqrt_silu_view_2,left_only,1,0,4,0,1020,0,20543.119,0.0,0.333211,0.0,-0.333211
triton_poi_fused_add_2,left_only,1,0,4,0,340,0,10779.004,0.0,0.174836,0.0,-0.174836
triton_poi_fused_add_4,left_only,1,0,4,0,1020,0,32223.12,0.0,0.522662,0.0,-0.522662
triton_poi_fused_mul_sigmoid_view_0,left_only,1,0,4,0,34,0,1017.175,0.0,0.016499,0.0,-0.016499
triton_poi_fused_mul_silu_slice_0,left_only,1,0,4,0,1360,0,12621.59,0.0,0.204723,0.0,-0.204723
triton_red_fused_1,left_only,1,0,4,0,34,0,843.47,0.0,0.013681,0.0,-0.013681
triton_red_fused_6,left_only,1,0,4,0,340,0,5364.108,0.0,0.087006,0.0,-0.087006
triton_red_fused__to_copy_add_copy__fused_add_rms_norm_moe_forward_shared_1,left_only,1,0,4,0,340,0,25932.884,0.0,0.420634,0.0,-0.420634
triton_red_fused__to_copy_add_copy__fused_add_rms_norm_moe_forward_shared_3,left_only,1,0,4,0,1020,0,80326.892,0.0,1.30291,0.0,-1.30291
