operator_name,input_shapes,input_dtypes,presence,left_mapping_statuses,right_mapping_statuses,left_kernel_type_count,right_kernel_type_count,left_event_count,right_event_count,left_time_us,right_time_us,left_percent,right_percent,percent_point_delta
SiluAndMul,"[[1,256],[1,256]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,53.029,0.0,0.000588,0.000588
SiluAndMul,"[[10,256],[10,256]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,53.539,0.0,0.000593,0.000593
SiluAndMul,"[[12,256],[12,256]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,54.015,0.0,0.000599,0.000599
SiluAndMul,"[[14,256],[14,256]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,53.697,0.0,0.000595,0.000595
SiluAndMul,"[[16,256],[16,256]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,53.28,0.0,0.000591,0.000591
SiluAndMul,"[[18,256],[18,256]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,53.733,0.0,0.000596,0.000596
SiluAndMul,"[[2,256],[2,256]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,51.713,0.0,0.000573,0.000573
SiluAndMul,"[[20,256],[20,256]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,53.606,0.0,0.000594,0.000594
SiluAndMul,"[[22,256],[22,256]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,53.283,0.0,0.000591,0.000591
SiluAndMul,"[[24,256],[24,256]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,53.218,0.0,0.00059,0.00059
SiluAndMul,"[[26,256],[26,256]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,53.212,0.0,0.00059,0.00059
SiluAndMul,"[[28,256],[28,256]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,53.507,0.0,0.000593,0.000593
SiluAndMul,"[[30,256],[30,256]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,53.699,0.0,0.000595,0.000595
SiluAndMul,"[[32,256],[32,256]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,53.183,0.0,0.000589,0.000589
SiluAndMul,"[[34,256],[34,256]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,53.024,0.0,0.000588,0.000588
SiluAndMul,"[[36,256],[36,256]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,53.443,0.0,0.000592,0.000592
SiluAndMul,"[[38,256],[38,256]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,53.951,0.0,0.000598,0.000598
SiluAndMul,"[[4,256],[4,256]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,51.807,0.0,0.000574,0.000574
SiluAndMul,"[[40,256],[40,256]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,53.51,0.0,0.000593,0.000593
SiluAndMul,"[[4096,256],[4096,256]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,109.729,0.0,0.001216,0.001216
