kernel_name,presence,left_call_count,right_call_count,left_time_us,right_time_us,left_percent,right_percent,percent_point_delta
_causal_conv1d_fwd_kernel,both,990,990,63887.125,63908.28,0.708131,0.259738,-0.448393
_causal_conv1d_update_kernel,both,7680,7800,25667.602,26074.289,0.284502,0.105972,-0.17853
_compute_slot_mapping_kernel,both,1156,1172,3263.385,3528.632,0.036172,0.014341,-0.02183
_fused_post_conv_kernel,both,990,990,45955.758,46167.481,0.509378,0.187635,-0.321742
_scatter_jit_function,left_only,17,0,23.262,0.0,0.000258,0.0,-0.000258
_silu_and_mul_kernel_kernel_rank_2,left_only,200,0,268.063,0.0,0.002971,0.0,-0.002971
_triton_mrope_forward,right_only,0,2930,0.0,6698.876,0.0,0.027226,0.027226
_zero_kv_blocks_kernel,right_only,0,66,0.0,1068.755,0.0,0.004344,0.004344
add_func_kernel_rank_1,left_only,41038,0,270356.302,0.0,2.996653,0.0,-2.996653
add_func_tensor_scalar_kernel_rank_1,left_only,67048,0,75822.185,0.0,0.84042,0.0,-0.84042
argmax_kernel_inner,left_only,289,0,19066.309,0.0,0.211333,0.0,-0.211333
bitwise_not_func_kernel_rank_1,left_only,990,0,1237.728,0.0,0.013719,0.0,-0.013719
cat_copy_func_kernel_4,left_only,13480,0,54852.297,0.0,0.607988,0.0,-0.607988
embedding_kernel,left_only,289,0,791.122,0.0,0.008769,0.0,-0.008769
exp_func_kernel_rank_1,left_only,990,0,1651.771,0.0,0.018308,0.0,-0.018308
fill_scalar_kernel,left_only,555,0,518.666,0.0,0.005749,0.0,-0.005749
full_func_scalar_kernel_rank_1,left_only,198,0,191.464,0.0,0.002122,0.0,-0.002122
fused_moe_kernel,both,23120,23440,1969607.305,1982069.837,21.831304,8.055589,-13.775715
fused_recurrent_gated_delta_rule_packed_decode_kernel,both,7680,7800,327641.38,329391.0,3.631606,1.338721,-2.292885
fused_sigmoid_gating_delta_rule_update_kernel,both,960,960,26245.073,26395.999,0.290903,0.107279,-0.183623
gt_func_scalar_kernel_rank_1,left_only,99,0,120.733,0.0,0.001338,0.0,-0.001338
kernel_unified_attention,left_only,2890,0,841909.135,0.0,9.331796,0.0,-9.331796
layer_norm_fwd_kernel,right_only,0,8790,0.0,51810.063,0.0,0.210568,0.210568
masked_fill_kernel_kernel_rank_2,left_only,289,0,1226.593,0.0,0.013596,0.0,-0.013596
masked_fill_kernel_kernel_rank_4,left_only,990,0,3088.144,0.0,0.034229,0.0,-0.034229
mean_dim_kernel_inner,left_only,37859,0,219687.999,0.0,2.435041,0.0,-2.435041
moe_align_block_size_stage1,left_only,11360,0,26229.908,0.0,0.290735,0.0,-0.290735
moe_align_block_size_stage2_vec,left_only,11360,0,35629.75,0.0,0.394923,0.0,-0.394923
moe_align_block_size_stage3,left_only,11360,0,15173.154,0.0,0.168181,0.0,-0.168181
moe_align_block_size_stage4,left_only,11360,0,31492.675,0.0,0.349068,0.0,-0.349068
moe_sum_kernel,left_only,10240,0,24660.929,0.0,0.273344,0.0,-0.273344
mul_broadcast_2d_kernel,left_only,75718,0,433173.807,0.0,4.801337,0.0,-4.801337
mul_generic_nd_kernel,left_only,34640,0,74260.415,0.0,0.823109,0.0,-0.823109
mul_kernel,left_only,11600,0,90763.593,0.0,1.006032,0.0,-1.006032
