operator_name,presence,left_kernel_type_count,right_kernel_type_count,left_shape_dtype_variant_count,right_shape_dtype_variant_count,left_event_count,right_event_count,left_time_us,right_time_us,left_percent,right_percent,percent_point_delta
SiluAndMul,left_only,2,0,37,0,11560,0,19364.298,0.0,0.214636,0.0,-0.214636
_C::silu_and_mul,right_only,0,1,0,69,0,23440,0.0,107739.737,0.0,0.437879,0.437879
_C_cache_ops::reshape_and_cache_flash,right_only,0,1,0,37,0,2930,0.0,12955.525,0.0,0.052654,0.052654
_C_custom_ar::all_reduce,both,1,1,34,34,20736,21060,355256.134,17016524.53,3.937691,69.15908,65.22139
_moe_C::moe_align_block_size,right_only,0,2,0,32,0,22720,0.0,94193.761,0.0,0.382825,0.382825
_moe_C::topk_softmax,right_only,0,1,0,37,0,11720,0.0,94327.887,0.0,0.38337,0.38337
_vllm_fa3_C::fwd,right_only,0,3,0,67,0,5530,0.0,335926.353,0.0,1.365282,1.365282
_vllm_fa3_C::get_scheduler_metadata,right_only,0,3,0,64,0,293,0.0,544.85,0.0,0.002214,0.002214
aten::_index_put_impl_,both,1,1,3,3,990,990,5253.681,5208.777,0.058232,0.02117,-0.037063
aten::add,both,2,5,396,288,108086,94932,346178.487,341522.988,3.837073,1.388028,-2.449045
aten::argmax,both,1,1,64,64,289,293,19066.309,9586.604,0.211333,0.038962,-0.172371
aten::bitwise_not,both,1,3,3,3,990,990,1237.728,1510.09,0.013719,0.006137,-0.007582
aten::cat,both,1,2,212,64,13480,1920,54852.297,23233.935,0.607988,0.094428,-0.51356
aten::copy_,both,7,7,981,760,230868,180910,1259051.463,1005060.536,13.955439,4.084798,-9.870641
aten::embedding,left_only,1,0,37,0,289,0,791.122,0.0,0.008769,0.0,-0.008769
aten::exp,both,1,1,33,33,990,990,1651.771,1868.279,0.018308,0.007593,-0.010715
aten::fill_,both,1,4,64,133,555,10045,518.666,21560.628,0.005749,0.087627,0.081878
aten::full,left_only,1,0,1,0,198,0,191.464,0.0,0.002122,0.0,-0.002122
aten::gather,right_only,0,1,0,28,0,280,0.0,871.992,0.0,0.003544,0.003544
aten::gt,both,1,1,33,33,99,99,120.733,139.686,0.001338,0.000568,-0.00077
aten::index,both,3,3,56,56,4475,4523,20016.996,20217.602,0.22187,0.082169,-0.139701
aten::index_select,right_only,0,1,0,9,0,13,0.0,62.431,0.0,0.000254,0.000254
aten::masked_fill_,both,2,2,40,40,1279,1283,4314.737,5610.191,0.047825,0.022801,-0.025024
aten::mean,both,1,1,148,111,37859,29593,219687.999,214472.741,2.435041,0.871667,-1.563375
aten::mm,both,43,43,360,360,79399,80803,1050178.065,1063783.869,11.640268,4.323463,-7.316805
aten::mul,both,3,4,481,296,121958,73836,598197.815,572932.783,6.630478,2.328531,-4.301947
aten::pow,both,1,1,148,111,37859,29593,306012.773,167298.241,3.391873,0.679939,-2.711934
aten::rsqrt,both,1,1,145,111,37859,29593,41550.106,38158.556,0.460545,0.155085,-0.30546
aten::scatter_,both,1,1,17,17,17,17,23.262,31.231,0.000258,0.000127,-0.000131
aten::sigmoid,both,1,1,74,74,14450,14650,24559.082,40536.129,0.272215,0.164748,-0.107467
aten::silu,left_only,1,0,37,0,8670,0,54327.635,0.0,0.602172,0.0,-0.602172
aten::sub,both,2,5,202,128,7899,2147,9717.712,2345.358,0.107712,0.009532,-0.09818
aten::sum,right_only,0,1,0,37,0,11720,0.0,210724.738,0.0,0.856434,0.856434
aten::zero_,left_only,1,0,3,0,1320,0,14002.216,0.0,0.155202,0.0,-0.155202
aten::zeros,left_only,1,0,1,0,31390,0,40467.082,0.0,0.448541,0.0,-0.448541
null,both,1,4,1,1,1156,12958,3263.385,63106.326,0.036172,0.256479,0.220307
record_param_comms,both,1,1,64,64,289,293,24373.388,97458.586,0.270157,0.396094,0.125937
symm_mem::two_shot_all_reduce_,both,1,1,3,3,2673,2673,835060.038,363947.795,9.25588,1.479168,-7.776712
triton_poi_fused___and_____or___add_bitwise_not_ge_lt_mul_sub_0,left_only,1,0,36,0,288,0,367.259,0.0,0.004071,0.0,-0.004071
triton_poi_fused___and_____or___add_ge_lt_mul_sub_0,left_only,1,0,1,0,1,0,1.216,0.0,1.3e-05,0.0,-1.3e-05
triton_poi_fused___and_____or___bitwise_not_ge_lt_1,left_only,1,0,1,0,1,0,1.056,0.0,1.2e-05,0.0,-1.2e-05
triton_poi_fused_add_bitwise_and_bitwise_not_bitwise_or_ge_lt_mul_sub_0,right_only,0,1,0,36,0,288,0.0,338.407,0.0,0.001375,0.001375
triton_poi_fused_add_bitwise_and_bitwise_or_ge_lt_mul_sub_0,right_only,0,1,0,1,0,5,0.0,6.082,0.0,2.5e-05,2.5e-05
triton_poi_fused_bitwise_and_bitwise_not_bitwise_or_ge_lt_1,right_only,0,1,0,1,0,5,0.0,5.346,0.0,2.2e-05,2.2e-05
vllm::moe_forward_shared,both,8,1,37,37,90560,23440,2158897.249,1982069.837,23.92941,8.055589,-15.873821
vllm::qwen_gdn_attention_core,both,6,6,37,37,19290,19530,686079.957,689020.406,7.604572,2.800338,-4.804234
vllm::unified_attention_with_output,left_only,2,0,37,0,5450,0,855917.598,0.0,9.487067,0.0,-9.487067
vllm::unified_kv_cache_update,left_only,1,0,37,0,2890,0,11390.092,0.0,0.126249,0.0,-0.126249
