operator_name,input_shapes,input_dtypes,presence,left_mapping_statuses,right_mapping_statuses,left_kernel_type_count,right_kernel_type_count,left_event_count,right_event_count,left_time_us,right_time_us,left_percent,right_percent,percent_point_delta
SiluAndMul,"[[1,256],[1,256]]","[""c10::BFloat16"",""c10::BFloat16""]",left_only,"[""operator_shape_matched""]",[],1,0,40,0,53.029,0.0,0.000588,0.0,-0.000588
SiluAndMul,"[[10,256],[10,256]]","[""c10::BFloat16"",""c10::BFloat16""]",left_only,"[""operator_shape_matched""]",[],1,0,40,0,53.539,0.0,0.000593,0.0,-0.000593
SiluAndMul,"[[12,256],[12,256]]","[""c10::BFloat16"",""c10::BFloat16""]",left_only,"[""operator_shape_matched""]",[],1,0,40,0,54.015,0.0,0.000599,0.0,-0.000599
SiluAndMul,"[[14,256],[14,256]]","[""c10::BFloat16"",""c10::BFloat16""]",left_only,"[""operator_shape_matched""]",[],1,0,40,0,53.697,0.0,0.000595,0.0,-0.000595
SiluAndMul,"[[16,256],[16,256]]","[""c10::BFloat16"",""c10::BFloat16""]",left_only,"[""operator_shape_matched""]",[],1,0,40,0,53.28,0.0,0.000591,0.0,-0.000591
SiluAndMul,"[[18,256],[18,256]]","[""c10::BFloat16"",""c10::BFloat16""]",left_only,"[""operator_shape_matched""]",[],1,0,40,0,53.733,0.0,0.000596,0.0,-0.000596
SiluAndMul,"[[2,256],[2,256]]","[""c10::BFloat16"",""c10::BFloat16""]",left_only,"[""operator_shape_matched""]",[],1,0,40,0,51.713,0.0,0.000573,0.0,-0.000573
SiluAndMul,"[[20,256],[20,256]]","[""c10::BFloat16"",""c10::BFloat16""]",left_only,"[""operator_shape_matched""]",[],1,0,40,0,53.606,0.0,0.000594,0.0,-0.000594
SiluAndMul,"[[22,256],[22,256]]","[""c10::BFloat16"",""c10::BFloat16""]",left_only,"[""operator_shape_matched""]",[],1,0,40,0,53.283,0.0,0.000591,0.0,-0.000591
SiluAndMul,"[[24,256],[24,256]]","[""c10::BFloat16"",""c10::BFloat16""]",left_only,"[""operator_shape_matched""]",[],1,0,40,0,53.218,0.0,0.00059,0.0,-0.00059
SiluAndMul,"[[26,256],[26,256]]","[""c10::BFloat16"",""c10::BFloat16""]",left_only,"[""operator_shape_matched""]",[],1,0,40,0,53.212,0.0,0.00059,0.0,-0.00059
SiluAndMul,"[[28,256],[28,256]]","[""c10::BFloat16"",""c10::BFloat16""]",left_only,"[""operator_shape_matched""]",[],1,0,40,0,53.507,0.0,0.000593,0.0,-0.000593
SiluAndMul,"[[30,256],[30,256]]","[""c10::BFloat16"",""c10::BFloat16""]",left_only,"[""operator_shape_matched""]",[],1,0,40,0,53.699,0.0,0.000595,0.0,-0.000595
SiluAndMul,"[[32,256],[32,256]]","[""c10::BFloat16"",""c10::BFloat16""]",left_only,"[""operator_shape_matched""]",[],1,0,40,0,53.183,0.0,0.000589,0.0,-0.000589
SiluAndMul,"[[34,256],[34,256]]","[""c10::BFloat16"",""c10::BFloat16""]",left_only,"[""operator_shape_matched""]",[],1,0,40,0,53.024,0.0,0.000588,0.0,-0.000588
SiluAndMul,"[[36,256],[36,256]]","[""c10::BFloat16"",""c10::BFloat16""]",left_only,"[""operator_shape_matched""]",[],1,0,40,0,53.443,0.0,0.000592,0.0,-0.000592
SiluAndMul,"[[38,256],[38,256]]","[""c10::BFloat16"",""c10::BFloat16""]",left_only,"[""operator_shape_matched""]",[],1,0,40,0,53.951,0.0,0.000598,0.0,-0.000598
SiluAndMul,"[[4,256],[4,256]]","[""c10::BFloat16"",""c10::BFloat16""]",left_only,"[""operator_shape_matched""]",[],1,0,40,0,51.807,0.0,0.000574,0.0,-0.000574
SiluAndMul,"[[40,256],[40,256]]","[""c10::BFloat16"",""c10::BFloat16""]",left_only,"[""operator_shape_matched""]",[],1,0,40,0,53.51,0.0,0.000593,0.0,-0.000593
SiluAndMul,"[[4096,256],[4096,256]]","[""c10::BFloat16"",""c10::BFloat16""]",left_only,"[""operator_shape_matched""]",[],1,0,40,0,109.729,0.0,0.001216,0.0,-0.001216
SiluAndMul,"[[42,256],[42,256]]","[""c10::BFloat16"",""c10::BFloat16""]",left_only,"[""operator_shape_matched""]",[],1,0,40,0,54.685,0.0,0.000606,0.0,-0.000606
SiluAndMul,"[[44,256],[44,256]]","[""c10::BFloat16"",""c10::BFloat16""]",left_only,"[""operator_shape_matched""]",[],1,0,40,0,54.944,0.0,0.000609,0.0,-0.000609
SiluAndMul,"[[46,256],[46,256]]","[""c10::BFloat16"",""c10::BFloat16""]",left_only,"[""operator_shape_matched""]",[],1,0,40,0,54.145,0.0,0.0006,0.0,-0.0006
SiluAndMul,"[[48,256],[48,256]]","[""c10::BFloat16"",""c10::BFloat16""]",left_only,"[""operator_shape_matched""]",[],1,0,40,0,54.021,0.0,0.000599,0.0,-0.000599
SiluAndMul,"[[50,256],[50,256]]","[""c10::BFloat16"",""c10::BFloat16""]",left_only,"[""operator_shape_matched""]",[],1,0,40,0,53.764,0.0,0.000596,0.0,-0.000596
SiluAndMul,"[[5089,256],[5089,256]]","[""c10::BFloat16"",""c10::BFloat16""]",left_only,"[""operator_shape_matched""]",[],1,0,40,0,125.954,0.0,0.001396,0.0,-0.001396
SiluAndMul,"[[52,256],[52,256]]","[""c10::BFloat16"",""c10::BFloat16""]",left_only,"[""operator_shape_matched""]",[],1,0,40,0,53.221,0.0,0.00059,0.0,-0.00059
SiluAndMul,"[[54,256],[54,256]]","[""c10::BFloat16"",""c10::BFloat16""]",left_only,"[""operator_shape_matched""]",[],1,0,40,0,54.241,0.0,0.000601,0.0,-0.000601
SiluAndMul,"[[56,256],[56,256]]","[""c10::BFloat16"",""c10::BFloat16""]",left_only,"[""operator_shape_matched""]",[],1,0,40,0,54.111,0.0,0.0006,0.0,-0.0006
SiluAndMul,"[[58,256],[58,256]]","[""c10::BFloat16"",""c10::BFloat16""]",left_only,"[""operator_shape_matched""]",[],1,0,40,0,54.111,0.0,0.0006,0.0,-0.0006
SiluAndMul,"[[6,256],[6,256]]","[""c10::BFloat16"",""c10::BFloat16""]",left_only,"[""operator_shape_matched""]",[],1,0,40,0,53.794,0.0,0.000596,0.0,-0.000596
SiluAndMul,"[[60,256],[60,256]]","[""c10::BFloat16"",""c10::BFloat16""]",left_only,"[""operator_shape_matched""]",[],1,0,40,0,54.563,0.0,0.000605,0.0,-0.000605
SiluAndMul,"[[62,256],[62,256]]","[""c10::BFloat16"",""c10::BFloat16""]",left_only,"[""operator_shape_matched""]",[],1,0,40,0,54.944,0.0,0.000609,0.0,-0.000609
SiluAndMul,"[[63,256],[63,256]]","[""c10::BFloat16"",""c10::BFloat16""]",left_only,"[""operator_shape_matched""]",[],1,0,80,0,108.001,0.0,0.001197,0.0,-0.001197
SiluAndMul,"[[64,256],[64,256]]","[""c10::BFloat16"",""c10::BFloat16""]",left_only,"[""operator_shape_matched""]",[],1,0,8880,0,11987.478,0.0,0.13287,0.0,-0.13287
SiluAndMul,"[[8,256],[8,256]]","[""c10::BFloat16"",""c10::BFloat16""]",left_only,"[""operator_shape_matched""]",[],1,0,40,0,53.663,0.0,0.000595,0.0,-0.000595
SiluAndMul,"[[8192,256],[8192,256]]","[""c10::BFloat16"",""c10::BFloat16""]",left_only,"[""operator_shape_matched""]",[],1,0,1240,0,5316.48,0.0,0.058928,0.0,-0.058928
_C::silu_and_mul,"[[1,256],[1,512]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,200,0.0,366.732,0.0,0.00149,0.00149
_C::silu_and_mul,"[[10,256],[10,512]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,72.195,0.0,0.000293,0.000293
_C::silu_and_mul,"[[112,256],[112,512]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,84.348,0.0,0.000343,0.000343
_C::silu_and_mul,"[[12,256],[12,512]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,74.721,0.0,0.000304,0.000304
