kernel_name,presence,left_call_count,right_call_count,left_time_us,right_time_us,left_percent,right_percent,percent_point_delta
_causal_conv1d_fwd_kernel,both,1020,990,60996.824,60851.246,0.989374,0.880744,-0.108631
_causal_conv1d_update_kernel,both,7650,7680,25149.819,25134.558,0.407932,0.36379,-0.044142
_compute_slot_mapping_kernel,both,1156,1156,3301.809,3476.42,0.053556,0.050317,-0.003239
_fused_post_conv_kernel,both,1020,990,46105.786,46036.949,0.74784,0.666326,-0.081514
_scatter_jit_function,left_only,17,0,23.554,0.0,0.000382,0.0,-0.000382
_silu_and_mul_kernel_kernel_rank_2,left_only,160,0,291.918,0.0,0.004735,0.0,-0.004735
_zero_kv_blocks_kernel,right_only,0,66,0.0,1068.692,0.0,0.015468,0.015468
add_func_kernel_rank_1,left_only,578,0,689.841,0.0,0.011189,0.0,-0.011189
argmax_kernel_inner,left_only,289,0,19163.823,0.0,0.310839,0.0,-0.310839
bitwise_not_func_kernel_rank_1,left_only,1020,0,1272.119,0.0,0.020634,0.0,-0.020634
cat_copy_func_kernel_4,left_only,1980,0,30274.66,0.0,0.491058,0.0,-0.491058
embedding_kernel,left_only,289,0,801.113,0.0,0.012994,0.0,-0.012994
exp_func_kernel_rank_1,left_only,1020,0,1676.099,0.0,0.027186,0.0,-0.027186
fill_scalar_kernel,left_only,770,0,822.134,0.0,0.013335,0.0,-0.013335
full_func_scalar_kernel_rank_1,left_only,204,0,197.863,0.0,0.003209,0.0,-0.003209
fused_moe_kernel,both,23120,23120,1986835.963,2023655.368,32.226669,29.289815,-2.936854
fused_recurrent_gated_delta_rule_packed_decode_kernel,both,7650,7680,328072.502,328606.496,5.321367,4.756157,-0.56521
fused_sigmoid_gating_delta_rule_update_kernel,both,990,960,27037.335,26249.498,0.438548,0.379928,-0.05862
gt_func_scalar_kernel_rank_1,left_only,102,0,104.74,0.0,0.001699,0.0,-0.001699
kernel_unified_attention,left_only,2890,0,838348.547,0.0,13.598094,0.0,-13.598094
masked_fill_kernel_kernel_rank_2,left_only,289,0,1222.743,0.0,0.019833,0.0,-0.019833
masked_fill_kernel_kernel_rank_4,left_only,1020,0,3154.306,0.0,0.051163,0.0,-0.051163
memcpy32_post,both,20400,10240,24998.681,13060.414,0.405481,0.189033,-0.216448
mm_kernel_general_host_tma,left_only,31790,0,807045.369,0.0,13.090353,0.0,-13.090353
moe_align_block_size_stage1,left_only,11400,0,28295.635,0.0,0.458958,0.0,-0.458958
moe_align_block_size_stage2_vec,left_only,11400,0,38315.078,0.0,0.621474,0.0,-0.621474
moe_align_block_size_stage3,left_only,11400,0,16375.343,0.0,0.26561,0.0,-0.26561
moe_align_block_size_stage4,left_only,11400,0,35739.488,0.0,0.579698,0.0,-0.579698
moe_sum_kernel,left_only,10240,0,25031.033,0.0,0.406006,0.0,-0.406006
mul_broadcast_2d_kernel,left_only,11560,0,48162.953,0.0,0.781208,0.0,-0.781208
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>),both,289,289,22872.211,25203.385,0.370989,0.364787,-0.006203
nvjet_tst_128x128_64x6_2x1_v_bz_TNT,both,1320,1280,26528.127,25977.881,0.430289,0.375996,-0.054292
nvjet_tst_128x160_64x5_2x1_v_bz_TNT,right_only,0,40,0.0,781.714,0.0,0.011314,0.011314
nvjet_tst_128x208_64x5_4x2_h_bz_coopA_TNT,left_only,40,0,247.912,0.0,0.004021,0.0,-0.004021
nvjet_tst_128x64_64x8_1x2_h_bz_TNT,both,40,40,514.381,516.392,0.008343,0.007474,-0.000869
nvjet_tst_128x80_64x8_1x2_h_bz_TNT,right_only,0,40,0.0,586.795,0.0,0.008493,0.008493
nvjet_tst_16x64_64x16_2x1_v_bz_TNN,right_only,0,30,0.0,223.845,0.0,0.00324,0.00324
nvjet_tst_192x192_64x4_1x2_h_bz_coopB_TNN,right_only,0,310,0.0,63503.23,0.0,0.919128,0.919128
nvjet_tst_192x192_64x4_2x1_v_bz_coopB_TNN,right_only,0,950,0.0,260854.713,0.0,3.775537,3.775537
nvjet_tst_256x128_64x4_1x2_h_bz_coopA_TNT,both,2520,3830,56452.987,176742.344,0.915673,2.558119,1.642446
nvjet_tst_256x128_64x4_2x1_v_bz_coopA_TNT,left_only,40,0,463.303,0.0,0.007515,0.0,-0.007515
nvjet_tst_256x160_64x4_1x2_h_bz_coopA_TNT,right_only,0,110,0.0,7916.324,0.0,0.114579,0.114579
nvjet_tst_256x16_64x6_2x1_v_bz_TNT,both,8,8,1397.884,1387.323,0.022674,0.02008,-0.002594
nvjet_tst_256x24_64x6_2x1_v_bz_TNT,both,8,8,1413.724,1410.108,0.022931,0.02041,-0.002521
nvjet_tst_256x32_64x5_2x1_v_bz_TNT,both,8,8,1417.086,1413.95,0.022985,0.020465,-0.00252
nvjet_tst_256x40_64x5_2x1_v_bz_TNT,both,8,8,1433.147,1431.485,0.023246,0.020719,-0.002527
nvjet_tst_256x48_64x5_2x1_v_bz_TNT,both,8,8,1438.877,1436.892,0.023339,0.020797,-0.002542
nvjet_tst_256x56_64x5_2x1_v_bz_TNT,both,8,8,1453.662,1443.421,0.023579,0.020892,-0.002687
nvjet_tst_256x8_64x6_2x1_v_bz_TNT,both,9,9,1552.191,1539.135,0.025177,0.022277,-0.0029
nvjet_tst_320x64_64x4_2x1_v_bz_TNT,both,232,232,42474.228,42572.726,0.688936,0.616186,-0.07275
nvjet_tst_32x64_64x16_1x2_h_bz_TNN,right_only,0,930,0.0,15211.886,0.0,0.220173,0.220173
nvjet_tst_32x64_64x16_1x4_h_bz_TNN,right_only,0,30,0.0,254.602,0.0,0.003685,0.003685
nvjet_tst_64x128_64x8_2x1_v_bz_TNN,left_only,40,0,554.378,0.0,0.008992,0.0,-0.008992
nvjet_tst_64x16_64x16_4x1_v_bz_TNT,right_only,0,160,0.0,1738.624,0.0,0.025164,0.025164
nvjet_tst_64x16_64x16_4x2_h_bz_TNT,both,320,640,1171.283,3179.306,0.018998,0.046016,0.027018
nvjet_tst_64x32_64x16_4x1_v_bz_TNT,right_only,0,320,0.0,3560.637,0.0,0.051536,0.051536
nvjet_tst_64x32_64x16_4x2_h_bz_TNT,both,9560,19120,35608.77,100520.54,0.577578,1.454906,0.877328
nvjet_tst_64x48_64x15_2x4_h_bz_TNT,left_only,40,0,267.305,0.0,0.004336,0.0,-0.004336
nvjet_tst_64x64_64x13_4x1_v_bz_TNT,right_only,0,2390,0.0,22033.735,0.0,0.31891,0.31891
nvjet_tst_64x8_64x16_1x1_h_bz_TNT,both,10120,10270,70689.459,52912.533,1.14659,0.765841,-0.380749
nvjet_tst_64x8_64x16_1x2_h_bz_TNT,right_only,0,120,0.0,599.791,0.0,0.008681,0.008681
nvjet_tst_64x8_64x16_1x4_h_bz_TNT,right_only,0,240,0.0,1269.909,0.0,0.01838,0.01838
nvjet_tst_64x8_64x16_2x1_v_bz_TNT,both,1240,1240,22646.96,22647.677,0.367336,0.327796,-0.03954
nvjet_tst_64x8_64x16_2x4_h_bz_TNT,both,19760,19760,119888.094,119994.949,1.944596,1.736773,-0.207823
nvjet_tst_64x8_64x16_4x1_v_bz_TNT,both,280,720,1622.417,4772.79,0.026316,0.06908,0.042764
nvjet_tst_64x8_64x16_4x2_h_bz_TNT,both,480,640,2245.962,3209.819,0.03643,0.046458,0.010028
nvjet_tst_64x96_64x10_4x2_h_bz_TNT,left_only,40,0,304.165,0.0,0.004934,0.0,-0.004934
nvjet_tst_72x64_64x12_4x1_v_bz_TNN,right_only,0,7170,0.0,84894.4,0.0,1.228738,1.228738
nvjet_tst_8x64_64x16_4x1_v_bz_TNN,both,240,7490,1332.674,39356.822,0.021616,0.56964,0.548023
reduce_segments,left_only,2550,0,13485.382,0.0,0.218734,0.0,-0.218734
reshape_and_cache_kernel_flash,left_only,2890,0,11349.476,0.0,0.18409,0.0,-0.18409
sigmoid_forward_kernel_rank_1,left_only,11560,0,19191.01,0.0,0.31128,0.0,-0.31128
"std::enable_if<!(false), void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, false, true, true, false, 7, false, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<__nv_bfloat16 const>, cublasGemvTensorStridedBatched<__nv_bfloat16 const>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float> >(cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<__nv_bfloat16 const>, cublasGemvTensorStridedBatched<__nv_bfloat16 const>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>)",left_only,40,0,156.101,0.0,0.002532,0.0,-0.002532
sub_func_kernel_rank_1,left_only,1734,0,1744.523,0.0,0.028296,0.0,-0.028296
sub_func_tensor_scalar_kernel_rank_1,left_only,388,0,398.511,0.0,0.006464,0.0,-0.006464
topk_gating_softmax_kernel,left_only,11560,0,64433.132,0.0,1.045112,0.0,-1.045112
triton_per_fused_1,both,8670,8670,54734.574,54490.079,0.8878,0.788674,-0.099126
triton_poi_fused_0,both,11560,11560,37546.478,38116.269,0.609007,0.551684,-0.057323
triton_poi_fused_2,both,289,289,376.16,310.693,0.006101,0.004497,-0.001604
triton_poi_fused_3,both,2601,2601,2780.678,2774.344,0.045103,0.040155,-0.004948
triton_poi_fused_5,both,8670,8670,16375.261,16547.004,0.265608,0.239497,-0.026112
triton_poi_fused_7,both,2890,2890,16538.899,16589.852,0.268263,0.240117,-0.028146
