operator_name,presence,left_kernel_type_count,right_kernel_type_count,left_shape_dtype_variant_count,right_shape_dtype_variant_count,left_event_count,right_event_count,left_time_us,right_time_us,left_percent,right_percent,percent_point_delta
_C::silu_and_mul,right_only,0,1,0,3,0,1320,0.0,54032.894,0.0,0.782057,0.782057
_C_cache_ops::reshape_and_cache_flash,right_only,0,1,0,3,0,330,0.0,6802.624,0.0,0.098459,0.098459
_C_custom_ar::all_reduce,both,1,1,35,34,296,256,2137.417,17884.618,0.034669,0.258857,0.224188
_moe_C::moe_align_block_size,right_only,0,2,0,3,0,2640,0.0,44848.72,0.0,0.649128,0.649128
_moe_C::topk_softmax,right_only,0,1,0,3,0,1320,0.0,32528.003,0.0,0.470801,0.470801
_vllm_fa3_C::fwd,right_only,0,1,0,33,0,330,0.0,74055.926,0.0,1.071865,1.071865
_vllm_fa3_C::get_scheduler_metadata,right_only,0,3,0,38,0,289,0.0,532.476,0.0,0.007707,0.007707
aten::_index_put_impl_,both,1,1,3,3,1020,990,5373.55,5204.574,0.087159,0.07533,-0.01183
aten::add,both,1,2,102,101,578,578,689.841,792.095,0.011189,0.011465,0.000275
aten::argmax,both,1,1,64,64,289,289,19163.823,9636.497,0.310839,0.139476,-0.171363
aten::bitwise_not,both,1,3,3,3,1020,990,1272.119,1573.476,0.020634,0.022774,0.00214
aten::cat,both,1,2,66,64,1980,1920,30274.66,23196.399,0.491058,0.335738,-0.15532
aten::copy_,both,5,5,395,390,7774,7591,40051.804,39939.723,0.649644,0.578076,-0.071568
aten::embedding,left_only,1,0,38,0,289,0,801.113,0.0,0.012994,0.0,-0.012994
aten::exp,both,1,1,33,33,1020,990,1676.099,1872.294,0.027186,0.027099,-8.7e-05
aten::fill_,both,1,5,115,160,610,1396,562.796,1373.05,0.009129,0.019873,0.010745
aten::full,left_only,1,0,1,0,204,0,197.863,0.0,0.003209,0.0,-0.003209
aten::gather,right_only,0,1,0,28,0,280,0.0,876.078,0.0,0.01268,0.01268
aten::gt,both,1,1,33,33,102,99,104.74,134.716,0.001699,0.00195,0.000251
aten::index,both,3,3,28,28,1615,1585,5750.803,5568.428,0.093279,0.080596,-0.012683
aten::index_select,right_only,0,1,0,9,0,9,0.0,51.521,0.0,0.000746,0.000746
aten::masked_fill_,both,2,2,41,40,1309,1279,4377.049,5620.631,0.070996,0.081351,0.010355
aten::mm,both,21,22,96,88,9469,9199,710993.476,628888.21,11.532382,9.10235,-2.430032
aten::mul,both,1,1,4,3,1360,1320,28020.361,58312.49,0.454493,0.843998,0.389506
aten::scatter_,both,1,1,17,17,17,17,23.554,31.84,0.000382,0.000461,7.9e-05
aten::sigmoid,both,1,1,4,3,1360,1320,1663.899,2409.76,0.026989,0.034878,0.00789
aten::sub,both,2,5,97,102,2122,2119,2143.034,2330.087,0.03476,0.033725,-0.001035
aten::sum,right_only,0,1,0,3,0,1320,0.0,150256.013,0.0,2.174763,2.174763
aten::zero_,left_only,1,0,3,0,1320,0,13932.882,0.0,0.225993,0.0,-0.225993
aten::zeros,left_only,1,0,1,0,2720,0,2644.851,0.0,0.0429,0.0,-0.0429
null,both,46,49,1,1,327506,288374,2817522.531,2867333.024,45.700485,41.500967,-4.199518
record_param_comms,both,1,1,64,64,289,289,22872.211,25203.385,0.370989,0.364787,-0.006203
symm_mem::two_shot_all_reduce_,both,1,1,3,3,1353,1353,148706.223,701988.765,2.412029,10.160387,7.748358
triton_per_fused_1,both,1,1,4,3,1020,990,35309.736,35240.287,0.572727,0.510058,-0.062669
triton_poi_fused_0,both,1,1,12,9,1360,1320,20191.772,20716.555,0.327512,0.299846,-0.027667
triton_poi_fused_2,both,1,1,4,3,34,33,50.655,45.405,0.000822,0.000657,-0.000164
triton_poi_fused_3,both,1,1,4,3,306,297,423.077,411.248,0.006862,0.005952,-0.00091
triton_poi_fused_5,both,1,1,8,6,1020,990,7706.56,7655.277,0.125001,0.1108,-0.014201
triton_poi_fused_7,both,1,1,4,3,340,330,10935.072,10930.855,0.177368,0.15821,-0.019158
triton_poi_fused___and_____or___add_bitwise_not_ge_lt_mul_sub_0,left_only,1,0,37,0,288,0,336.742,0.0,0.005462,0.0,-0.005462
triton_poi_fused___and_____or___add_ge_lt_mul_sub_0,left_only,1,0,1,0,1,0,1.28,0.0,2.1e-05,0.0,-2.1e-05
triton_poi_fused___and_____or___bitwise_not_ge_lt_1,left_only,1,0,1,0,1,0,1.056,0.0,1.7e-05,0.0,-1.7e-05
triton_poi_fused__to_copy__unsafe_view_add_clone_linear_mean_mul_pow_rsqrt_silu_view_2,left_only,1,0,4,0,1020,0,20543.119,0.0,0.333211,0.0,-0.333211
triton_poi_fused__to_copy__unsafe_view_add_clone_mean_mm_mul_pow_rsqrt_silu_t_view_2,right_only,0,1,0,3,0,990,0.0,20647.111,0.0,0.29884,0.29884
triton_poi_fused_add_2,both,1,1,4,3,340,330,10779.004,11058.323,0.174836,0.160055,-0.014781
triton_poi_fused_add_4,both,1,1,4,3,1020,990,32223.12,32812.665,0.522662,0.474921,-0.047741
triton_poi_fused_add_bitwise_and_bitwise_not_bitwise_or_ge_lt_mul_sub_0,right_only,0,1,0,36,0,288,0.0,327.626,0.0,0.004742,0.004742
triton_poi_fused_add_bitwise_and_bitwise_or_ge_lt_mul_sub_0,right_only,0,1,0,1,0,1,0.0,1.216,0.0,1.8e-05,1.8e-05
triton_poi_fused_bitwise_and_bitwise_not_bitwise_or_ge_lt_1,right_only,0,1,0,1,0,1,0.0,1.088,0.0,1.6e-05,1.6e-05
triton_poi_fused_mul_sigmoid_view_0,both,1,1,4,3,34,33,1017.175,1070.291,0.016499,0.015491,-0.001008
triton_poi_fused_mul_silu_slice_0,both,1,1,4,3,1360,1320,12621.59,11823.052,0.204723,0.171124,-0.0336
triton_red_fused_1,both,1,1,4,3,34,33,843.47,848.245,0.013681,0.012277,-0.001404
triton_red_fused_6,both,1,1,4,3,340,330,5364.108,5364.231,0.087006,0.07764,-0.009366
triton_red_fused__to_copy_add_copy__fused_add_rms_norm_moe_forward_shared_1,both,1,1,4,3,340,330,25932.884,25873.588,0.420634,0.374487,-0.046147
triton_red_fused__to_copy_add_copy__fused_add_rms_norm_moe_forward_shared_3,both,1,1,4,3,1020,990,80326.892,80461.242,1.30291,1.164573,-0.138337
vllm::flashinfer_trtllm_fused_allreduce_norm,both,1,1,4,3,1360,1320,267044.525,715125.307,4.331488,10.350521,6.019034
vllm::moe_forward_shared,both,7,1,4,3,9560,2640,847654.443,835033.657,13.749036,12.086041,-1.662995
vllm::qwen_gdn_attention_core,both,4,4,4,3,4050,3930,332231.749,330349.664,5.388831,4.781388,-0.607443
vllm::unified_attention_with_output,left_only,1,0,4,0,340,0,585527.395,0.0,9.49731,0.0,-9.49731
vllm::unified_kv_cache_update,left_only,1,0,4,0,340,0,7169.657,0.0,0.116293,0.0,-0.116293
