kernel_name,presence,left_call_count,right_call_count,left_time_us,right_time_us,left_percent,right_percent,percent_point_delta
_causal_conv1d_fwd_kernel,both,1020,990,64005.949,63865.549,0.306414,0.774884,0.468469
_causal_conv1d_update_kernel,both,30690,7680,104565.013,25793.088,0.500582,0.312949,-0.187633
_compute_slot_mapping_kernel,both,4228,1156,10657.967,3266.78,0.051023,0.039636,-0.011387
_fused_post_conv_kernel,both,1020,990,46490.011,46066.069,0.222561,0.558922,0.336361
_scatter_jit_function,both,17,17,23.743,22.913,0.000114,0.000278,0.000164
_silu_and_mul_kernel_kernel_rank_2,both,160,200,210.921,267.009,0.00101,0.00324,0.00223
add_func_kernel_rank_1,both,150094,41038,409646.066,269604.891,1.96109,3.271128,1.310038
add_func_tensor_scalar_kernel_rank_1,both,245224,67048,267231.466,75935.687,1.279312,0.921331,-0.357981
argmax_kernel_inner,both,1057,289,71710.545,19046.354,0.343298,0.23109,-0.112208
bitwise_not_func_kernel_rank_1,both,1020,990,1267.354,1232.278,0.006067,0.014951,0.008884
cat_copy_func_kernel_4,both,44260,13480,94598.992,54591.891,0.452872,0.662366,0.209494
embedding_kernel,both,1057,289,2165.973,789.998,0.010369,0.009585,-0.000784
exp_func_kernel_rank_1,both,1020,990,1709.827,1610.817,0.008185,0.019544,0.011359
fill_scalar_kernel,both,2544,555,2327.38,513.728,0.011142,0.006233,-0.004909
full_func_scalar_kernel_rank_1,both,204,198,198.277,191.686,0.000949,0.002326,0.001377
fused_moe_kernel,both,84560,23120,6056174.999,1987823.191,28.992602,24.118347,-4.874255
fused_recurrent_gated_delta_rule_packed_decode_kernel,both,30690,7680,1373882.595,327886.877,6.57716,3.978266,-2.598894
fused_sigmoid_gating_delta_rule_update_kernel,both,990,960,27123.276,26177.334,0.129847,0.317611,0.187764
gt_func_scalar_kernel_rank_1,both,102,99,118.595,120.611,0.000568,0.001463,0.000896
kernel_unified_attention,both,10570,2890,1735419.728,840150.349,8.307939,10.193581,1.885642
masked_fill_kernel_kernel_rank_2,both,1057,289,2411.071,1222.862,0.011542,0.014837,0.003295
masked_fill_kernel_kernel_rank_4,both,1020,990,3142.473,3084.462,0.015044,0.037424,0.02238
mean_dim_kernel_inner,both,138467,37859,373761.793,219440.007,1.789302,2.662475,0.873173
moe_align_block_size_stage1,both,42120,11360,91855.64,26218.882,0.439739,0.318115,-0.121624
moe_align_block_size_stage2_vec,both,42120,11360,126300.166,35395.008,0.604634,0.429449,-0.175185
moe_align_block_size_stage3,both,42120,11360,56695.186,15948.734,0.271416,0.193507,-0.077909
moe_align_block_size_stage4,both,42120,11360,109342.483,31540.445,0.523453,0.382682,-0.140771
moe_sum_kernel,both,40960,10240,100546.481,24706.702,0.481344,0.299768,-0.181577
mul_broadcast_2d_kernel,both,331338,75718,825453.68,433146.492,3.951677,5.255386,1.303708
mul_generic_nd_kernel,both,188192,34640,266487.406,74376.483,1.27575,0.902413,-0.373336
