operator_name,presence,left_kernel_type_count,right_kernel_type_count,left_shape_dtype_variant_count,right_shape_dtype_variant_count,left_event_count,right_event_count,left_time_us,right_time_us,left_percent,right_percent,percent_point_delta
SiluAndMul,both,2,2,38,37,42280,11560,72009.332,19364.834,0.344729,0.234954,-0.109774
_C_custom_ar::all_reduce,both,1,1,35,34,82942,20736,1325811.176,104118.995,6.347029,1.26328,-5.083748
aten::_index_put_impl_,both,1,1,3,3,1020,990,5380.153,5210.754,0.025756,0.063222,0.037466
aten::add,both,2,2,408,396,395311,108086,676868.638,345540.578,3.240359,4.192459,0.9521
aten::argmax,both,1,1,64,64,1057,289,71710.545,19046.354,0.343298,0.23109,-0.112208
aten::bitwise_not,both,1,1,3,3,1020,990,1267.354,1232.278,0.006067,0.014951,0.008884
aten::cat,both,1,1,218,212,44259,13480,94597.744,54591.891,0.452866,0.662366,0.2095
aten::copy_,both,7,7,1002,981,829307,230868,2778838.525,1259321.721,13.303076,15.279406,1.97633
aten::embedding,both,1,1,38,37,1057,289,2165.973,789.998,0.010369,0.009585,-0.000784
aten::exp,both,1,1,33,33,1020,990,1709.827,1610.817,0.008185,0.019544,0.011359
aten::fill_,both,1,1,65,64,2544,555,2327.38,513.728,0.011142,0.006233,-0.004909
aten::full,both,1,1,1,1,204,198,198.277,191.686,0.000949,0.002326,0.001377
aten::gt,both,1,1,33,33,102,99,118.595,120.611,0.000568,0.001463,0.000896
aten::index,both,3,3,57,56,13721,4475,54682.16,20030.006,0.261779,0.243025,-0.018754
aten::masked_fill_,both,2,2,41,40,2077,1279,5553.544,4307.324,0.026586,0.052261,0.025675
aten::mean,both,1,1,152,148,138465,37859,373759.009,219440.007,1.789289,2.662475,0.873187
aten::mm,both,49,43,368,360,287759,79399,2451194.933,1048475.525,11.734555,12.7212,0.986645
aten::mul,both,3,3,494,481,561762,121958,1226821.499,598237.148,5.873137,7.258438,1.385301
aten::pow,both,1,1,152,148,138464,37859,506580.695,305900.597,2.425143,3.711506,1.286362
aten::rsqrt,both,1,1,152,145,138467,37859,149996.777,41580.798,0.718076,0.504502,-0.213575
aten::scatter_,both,1,1,17,17,17,17,23.743,22.913,0.000114,0.000278,0.000164
aten::sigmoid,both,1,1,76,74,52850,14450,70255.153,24440.417,0.336331,0.296537,-0.039794
aten::silu,both,1,1,38,37,31710,8670,86144.392,54370.589,0.412397,0.659681,0.247283
aten::sub,both,2,2,204,202,28637,7899,33139.392,9724.967,0.158648,0.117993,-0.040654
aten::zero_,both,1,1,3,3,1320,1320,13953.516,14006.862,0.066799,0.169946,0.103146
aten::zeros,both,1,1,1,1,115948,31390,124588.152,40496.86,0.596438,0.49135,-0.105088
null,both,22,1,1,1,4363,1156,10883.531,3266.78,0.052103,0.039636,-0.012467
record_param_comms,both,1,1,64,64,1057,289,88637.958,22307.857,0.424335,0.270662,-0.153672
symm_mem::two_shot_all_reduce_,both,1,1,3,3,2673,2673,325831.507,294213.831,1.559846,3.569709,2.009863
triton_poi_fused___and_____or___add_bitwise_not_ge_lt_mul_sub_0,both,1,1,37,36,1056,288,1307.383,366.512,0.006259,0.004447,-0.001812
triton_poi_fused___and_____or___add_ge_lt_mul_sub_0,both,1,1,1,1,1,1,1.185,1.216,6e-06,1.5e-05,9e-06
triton_poi_fused___and_____or___bitwise_not_ge_lt_1,both,1,1,1,1,1,1,1.056,1.056,5e-06,1.3e-05,8e-06
vllm::moe_forward_shared,both,8,8,38,37,336435,90560,6701259.194,2177742.535,32.0808,26.422647,-5.658153
vllm::qwen_gdn_attention_core,both,6,6,38,37,65430,19290,1814348.393,685838.164,8.685793,8.321305,-0.364488
vllm::unified_attention_with_output,both,2,2,38,37,20800,5450,1792531.217,854159.075,8.581348,10.36355,1.782202
vllm::unified_kv_cache_update,both,1,1,38,37,10570,2890,24193.141,11369.216,0.115819,0.137943,0.022124
