operator_name,input_shapes,input_dtypes,presence,left_mapping_statuses,right_mapping_statuses,left_kernel_type_count,right_kernel_type_count,left_event_count,right_event_count,left_time_us,right_time_us,left_percent,right_percent,percent_point_delta
SiluAndMul,"[[1,256],[1,256]]","[""c10::BFloat16"",""c10::BFloat16""]",both,"[""operator_shape_matched""]","[""operator_shape_matched""]",1,1,40,40,43.683,43.745,0.000209,0.000531,0.000322
SiluAndMul,"[[10,256],[10,256]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,53.283,0.0,0.000646,0.000646
SiluAndMul,"[[1025,256],[1025,256]]","[""c10::BFloat16"",""c10::BFloat16""]",left_only,"[""operator_shape_matched""]",[],1,0,40,0,67.579,0.0,0.000324,0.0,-0.000324
SiluAndMul,"[[11,256],[11,256]]","[""c10::BFloat16"",""c10::BFloat16""]",left_only,"[""operator_shape_matched""]",[],1,0,40,0,53.056,0.0,0.000254,0.0,-0.000254
SiluAndMul,"[[12,256],[12,256]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,53.537,0.0,0.00065,0.00065
SiluAndMul,"[[13,256],[13,256]]","[""c10::BFloat16"",""c10::BFloat16""]",left_only,"[""operator_shape_matched""]",[],1,0,40,0,54.629,0.0,0.000262,0.0,-0.000262
SiluAndMul,"[[14,256],[14,256]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,53.187,0.0,0.000645,0.000645
SiluAndMul,"[[15,256],[15,256]]","[""c10::BFloat16"",""c10::BFloat16""]",left_only,"[""operator_shape_matched""]",[],1,0,40,0,53.501,0.0,0.000256,0.0,-0.000256
SiluAndMul,"[[16,256],[16,256]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,53.505,0.0,0.000649,0.000649
SiluAndMul,"[[17,256],[17,256]]","[""c10::BFloat16"",""c10::BFloat16""]",left_only,"[""operator_shape_matched""]",[],1,0,40,0,56.669,0.0,0.000271,0.0,-0.000271
SiluAndMul,"[[18,256],[18,256]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,53.755,0.0,0.000652,0.000652
