kernel_name,presence,left_call_count,right_call_count,left_time_us,right_time_us,left_percent,right_percent,percent_point_delta
_causal_conv1d_fwd_kernel,both,990,990,60891.638,60882.962,0.36903,0.659703,0.290673
_causal_conv1d_update_kernel,both,30720,15360,102345.863,50972.917,0.620261,0.552322,-0.06794
_compute_slot_mapping_kernel,both,4228,2180,10785.493,5796.188,0.065365,0.062805,-0.00256
_fused_post_conv_kernel,both,990,990,46112.178,46106.644,0.27946,0.499593,0.220133
_scatter_jit_function,both,17,17,24.32,24.097,0.000147,0.000261,0.000114
_silu_and_mul_kernel_kernel_rank_2,both,200,200,369.194,366.303,0.002237,0.003969,0.001732
add_func_kernel_rank_1,both,2114,1090,2418.267,1263.792,0.014656,0.013694,-0.000962
argmax_kernel_inner,both,1057,545,72273.97,36883.202,0.438012,0.399651,-0.038361
bitwise_not_func_kernel_rank_1,both,990,990,1235.61,1238.272,0.007488,0.013417,0.005929
cat_copy_func_kernel_4,both,1920,1920,30272.718,30255.495,0.183466,0.327836,0.14437
embedding_kernel,both,1057,545,2217.068,1274.422,0.013436,0.013809,0.000373
exp_func_kernel_rank_1,both,990,990,1656.677,1655.516,0.01004,0.017938,0.007898
fill_scalar_kernel,both,1547,1035,1558.307,1093.749,0.009444,0.011851,0.002407
full_func_scalar_kernel_rank_1,both,198,198,192.328,191.812,0.001166,0.002078,0.000913
fused_moe_kernel,both,84560,43600,6047886.273,3238596.69,36.652866,35.092109,-1.560757
fused_recurrent_gated_delta_rule_packed_decode_kernel,both,30720,15360,1379740.695,679060.892,8.361839,7.358026,-1.003813
fused_sigmoid_gating_delta_rule_update_kernel,both,960,960,26311.806,26301.182,0.159461,0.284989,0.125528
gt_func_scalar_kernel_rank_1,both,99,99,102.18,102.686,0.000619,0.001113,0.000493
kernel_unified_attention,both,10570,5450,1720590.598,1117345.75,10.42754,12.107101,1.679561
masked_fill_kernel_kernel_rank_2,both,1057,545,2389.778,1609.027,0.014483,0.017435,0.002952
masked_fill_kernel_kernel_rank_4,both,990,990,3085.135,3081.115,0.018697,0.033386,0.014688
memcpy32_post,both,81920,40960,100772.961,50307.76,0.610729,0.545114,-0.065614
mm_kernel_general_host_tma,both,116270,59950,1580234.494,1065035.384,9.57692,11.540288,1.963368
moe_align_block_size_stage1,both,42080,21600,98896.383,51618.848,0.599356,0.559321,-0.040035
moe_align_block_size_stage2_vec,both,42080,21600,142219.88,72867.916,0.861915,0.789567,-0.072348
moe_align_block_size_stage3,both,42080,21600,59775.198,30637.654,0.362264,0.331977,-0.030287
moe_align_block_size_stage4,both,42080,21600,127482.284,66422.819,0.772599,0.71973,-0.052869
moe_sum_kernel,both,40960,20480,98079.018,48684.702,0.594402,0.527528,-0.066875
mul_broadcast_2d_kernel,both,42280,21800,108629.14,68288.232,0.658341,0.739943,0.081603
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>),both,1057,545,89358.334,44896.477,0.541551,0.48648,-0.055071
nvjet_tst_128x128_64x6_2x1_v_bz_TNT,both,1280,1280,25852.744,25927.399,0.156679,0.280939,0.12426
nvjet_tst_128x160_64x5_2x1_v_bz_TNT,both,40,40,782.066,787.89,0.00474,0.008537,0.003798
nvjet_tst_128x64_64x8_1x2_h_bz_TNT,both,40,40,517.518,516.013,0.003136,0.005591,0.002455
nvjet_tst_128x80_64x8_1x2_h_bz_TNT,both,40,40,585.45,586.256,0.003548,0.006352,0.002804
nvjet_tst_256x128_64x4_1x2_h_bz_coopA_TNT,both,2520,2520,56402.298,56443.457,0.341823,0.611598,0.269775
nvjet_tst_256x160_64x4_1x2_h_bz_coopA_TNT,both,40,40,556.392,556.843,0.003372,0.006034,0.002662
nvjet_tst_256x16_64x6_2x1_v_bz_TNT,both,8,8,1395.743,1398.558,0.008459,0.015154,0.006695
nvjet_tst_256x24_64x6_2x1_v_bz_TNT,both,8,8,1414.366,1410.271,0.008572,0.015281,0.006709
nvjet_tst_256x32_64x5_2x1_v_bz_TNT,both,8,8,1416.988,1417.15,0.008588,0.015356,0.006768
nvjet_tst_256x40_64x5_2x1_v_bz_TNT,both,8,8,1431.359,1436.094,0.008675,0.015561,0.006886
nvjet_tst_256x48_64x5_2x1_v_bz_TNT,both,8,8,1442.625,1440.895,0.008743,0.015613,0.00687
nvjet_tst_256x56_64x5_2x1_v_bz_TNT,both,8,8,1450.719,1452.992,0.008792,0.015744,0.006952
nvjet_tst_256x8_64x6_2x1_v_bz_TNT,both,9,9,1546.561,1543.937,0.009373,0.016729,0.007357
nvjet_tst_320x64_64x4_2x1_v_bz_TNT,both,1000,488,182960.32,89293.853,1.10882,0.967552,-0.141269
nvjet_tst_64x16_64x16_4x2_h_bz_TNT,both,320,320,1150.108,1155.12,0.00697,0.012516,0.005546
nvjet_tst_64x32_64x16_4x2_h_bz_TNT,both,40280,19800,150935.374,74267.64,0.914735,0.804734,-0.110001
nvjet_tst_64x8_64x16_1x1_h_bz_TNT,both,40840,20360,282308.055,141236.369,1.710912,1.53038,-0.180532
nvjet_tst_64x8_64x16_2x1_v_bz_TNT,both,1240,1240,22642.538,22659.861,0.137224,0.245533,0.108309
nvjet_tst_64x8_64x16_2x4_h_bz_TNT,both,81200,40240,493726.333,244507.822,2.9922,2.649387,-0.342813
nvjet_tst_64x8_64x16_4x1_v_bz_TNT,both,320,320,1853.762,1735.4,0.011235,0.018804,0.007569
nvjet_tst_64x8_64x16_4x2_h_bz_TNT,both,480,480,2243.271,2238.679,0.013595,0.024257,0.010662
nvjet_tst_8x64_64x16_4x1_v_bz_TNN,both,320,320,1799.9,1796.647,0.010908,0.019468,0.00856
reduce_segments,both,10240,5120,55476.385,27499.603,0.336211,0.297974,-0.038237
reshape_and_cache_kernel_flash,both,10570,5450,24045.256,15581.851,0.145725,0.168839,0.023114
sigmoid_forward_kernel_rank_1,both,42280,21800,73035.892,37320.029,0.44263,0.404385,-0.038245
sub_func_kernel_rank_1,both,6342,3270,6388.318,3290.999,0.038716,0.03566,-0.003056
sub_func_tensor_scalar_kernel_rank_1,both,1153,641,1190.443,658.923,0.007215,0.00714,-7.5e-05
topk_gating_softmax_kernel,both,42280,21800,193652.215,107450.233,1.173618,1.164287,-0.009331
triton_per_fused_1,both,31710,16350,115385.362,75037.246,0.699286,0.813073,0.113787
triton_poi_fused_0,both,42280,21800,90133.886,55066.948,0.546251,0.596683,0.050432
triton_poi_fused_2,both,1057,545,1385.817,713.521,0.008399,0.007731,-0.000667
triton_poi_fused_3,both,9513,4905,9904.2,5153.403,0.060024,0.05584,-0.004184
triton_poi_fused_5,both,31710,16350,43877.829,25734.328,0.265919,0.278847,0.012928
triton_poi_fused_7,both,10570,5450,33648.911,22297.882,0.203927,0.241611,0.037683
triton_poi_fused___and_____or___add_bitwise_not_ge_lt_mul_sub_0,both,1056,544,1174.781,614.39,0.00712,0.006657,-0.000462
triton_poi_fused___and_____or___add_ge_lt_mul_sub_0,both,1,1,1.215,1.216,7e-06,1.3e-05,6e-06
triton_poi_fused___and_____or___bitwise_not_ge_lt_1,both,1,1,1.056,1.055,6e-06,1.1e-05,5e-06
triton_poi_fused__to_copy__unsafe_view_add_clone_linear_mean_mul_pow_rsqrt_silu_view_2,both,31710,16350,62273.255,41350.26,0.377403,0.448055,0.070651
triton_poi_fused_add_2,both,10570,5450,27118.626,18865.205,0.164351,0.204416,0.040065
triton_poi_fused_add_4,both,31710,16350,81033.242,56497.215,0.491097,0.612181,0.121083
triton_poi_fused_mul_sigmoid_view_0,both,1057,545,2699.124,1863.898,0.016358,0.020196,0.003839
triton_poi_fused_mul_silu_slice_0,both,42280,21800,114890.372,63683.915,0.696286,0.690053,-0.006234
triton_red_fused_1,both,1057,545,2829.455,1836.649,0.017148,0.019901,0.002753
triton_red_fused_6,both,10570,5450,21034.112,13202.803,0.127476,0.14306,0.015584
triton_red_fused__to_copy_add_copy__fused_add_rms_norm_moe_forward_shared_1,both,10570,5450,52050.316,38942.802,0.315448,0.421968,0.10652
triton_red_fused__to_copy_add_copy__fused_add_rms_norm_moe_forward_shared_3,both,31710,16350,160548.345,120206.884,0.972994,1.302513,0.329519
"void (anonymous namespace)::two_shot_all_reduce_kernel_inplace<c10::BFloat16, 16, 2>(c10::BFloat16**, unsigned long, unsigned long, unsigned int**, unsigned long, unsigned long)",both,1353,1353,552068.1,149438.333,3.345777,1.619253,-1.726524
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1} const&)::{lambda(int)#1})",both,1057,545,1782.742,924.866,0.010804,0.010021,-0.000783
