operator_name,presence,left_kernel_type_count,right_kernel_type_count,left_shape_dtype_variant_count,right_shape_dtype_variant_count,left_event_count,right_event_count,left_time_us,right_time_us,left_percent,right_percent,percent_point_delta
_C_custom_ar::all_reduce,both,1,1,34,34,1024,512,11239.094,3509.797,0.068114,0.038031,-0.030083
aten::_index_put_impl_,both,1,1,3,3,990,990,5263.855,5258.961,0.031901,0.056984,0.025083
aten::add,both,1,1,101,101,2114,1090,2418.267,1263.792,0.014656,0.013694,-0.000962
aten::argmax,both,1,1,64,64,1057,545,72273.97,36883.202,0.438012,0.399651,-0.038361
aten::bitwise_not,both,1,1,3,3,990,990,1235.61,1238.272,0.007488,0.013417,0.005929
aten::cat,both,1,1,64,64,1920,1920,30272.718,30255.495,0.183466,0.327836,0.14437
aten::copy_,both,5,5,390,390,12199,9127,116297.708,65280.197,0.704816,0.70735,0.002534
aten::embedding,both,1,1,37,37,1057,545,2217.068,1274.422,0.013436,0.013809,0.000373
aten::exp,both,1,1,33,33,990,990,1656.677,1655.516,0.01004,0.017938,0.007898
aten::fill_,both,1,1,112,112,1347,835,1236.77,769.354,0.007495,0.008336,0.000841
aten::full,both,1,1,1,1,198,198,192.328,191.812,0.001166,0.002078,0.000913
aten::gt,both,1,1,33,33,99,99,102.18,102.686,0.000619,0.001113,0.000493
aten::index,both,3,3,28,28,3121,2097,8178.943,6419.14,0.049568,0.069555,0.019987
aten::masked_fill_,both,2,2,40,40,2047,1535,5474.913,4690.142,0.03318,0.05082,0.01764
aten::mm,both,18,18,88,88,9967,9455,849509.524,756148.607,5.148403,8.193317,3.044914
aten::mul,both,1,1,3,3,1320,1320,27855.17,27885.478,0.168815,0.302156,0.133341
aten::scatter_,both,1,1,17,17,17,17,24.32,24.097,0.000147,0.000261,0.000114
aten::sigmoid,both,1,1,3,3,1320,1320,1633.683,1630.735,0.009901,0.01767,0.007769
aten::sub,both,2,2,102,102,7495,3911,7578.761,3949.922,0.045931,0.0428,-0.003131
aten::zero_,both,1,1,3,3,1320,1320,13985.692,13984.419,0.084759,0.151529,0.06677
aten::zeros,both,1,1,1,1,2640,2640,2571.483,2566.038,0.015584,0.027805,0.01222
null,both,46,46,1,1,1316316,657884,12027206.876,5779534.069,72.890193,62.624667,-10.265526
record_param_comms,both,1,1,64,64,1057,545,89358.334,44896.477,0.541551,0.48648,-0.055071
symm_mem::two_shot_all_reduce_,both,1,1,3,3,1353,1353,552068.1,149438.333,3.345777,1.619253,-1.726524
triton_per_fused_1,both,1,1,3,3,990,990,35438.613,35399.228,0.214774,0.383572,0.168798
triton_poi_fused_0,both,1,1,9,9,1320,1320,20184.784,20172.979,0.122329,0.218586,0.096257
triton_poi_fused_2,both,1,1,3,3,33,33,48.9,49.281,0.000296,0.000534,0.000238
triton_poi_fused_3,both,1,1,3,3,297,297,411.916,412.485,0.002496,0.00447,0.001973
triton_poi_fused_5,both,1,1,6,6,990,990,7651.268,7654.262,0.04637,0.082938,0.036568
triton_poi_fused_7,both,1,1,3,3,330,330,11000.907,10998.93,0.06667,0.11918,0.05251
triton_poi_fused___and_____or___add_bitwise_not_ge_lt_mul_sub_0,both,1,1,36,36,1056,544,1174.781,614.39,0.00712,0.006657,-0.000462
triton_poi_fused___and_____or___add_ge_lt_mul_sub_0,both,1,1,1,1,1,1,1.215,1.216,7e-06,1.3e-05,6e-06
triton_poi_fused___and_____or___bitwise_not_ge_lt_1,both,1,1,1,1,1,1,1.056,1.055,6e-06,1.1e-05,5e-06
triton_poi_fused__to_copy__unsafe_view_add_clone_linear_mean_mul_pow_rsqrt_silu_view_2,both,1,1,3,3,990,990,20405.097,20426.213,0.123664,0.22133,0.097666
triton_poi_fused_add_2,both,1,1,3,3,330,330,10729.547,10698.14,0.065026,0.115921,0.050895
triton_poi_fused_add_4,both,1,1,3,3,990,990,32080.66,32048.731,0.194423,0.347267,0.152844
triton_poi_fused_mul_sigmoid_view_0,both,1,1,3,3,33,33,1025.011,1024.697,0.006212,0.011103,0.004891
triton_poi_fused_mul_silu_slice_0,both,1,1,3,3,1320,1320,12522.025,12526.618,0.075889,0.135733,0.059844
triton_red_fused_1,both,1,1,3,3,33,33,850.0,845.361,0.005151,0.00916,0.004009
triton_red_fused_6,both,1,1,3,3,330,330,5360.391,5358.282,0.032486,0.05806,0.025574
triton_red_fused__to_copy_add_copy__fused_add_rms_norm_moe_forward_shared_1,both,1,1,3,3,330,330,25932.411,25921.753,0.157162,0.280878,0.123716
triton_red_fused__to_copy_add_copy__fused_add_rms_norm_moe_forward_shared_3,both,1,1,3,3,990,990,80337.52,80269.068,0.486881,0.869763,0.382882
vllm::flashinfer_trtllm_fused_allreduce_norm,both,1,1,3,3,1320,1320,646559.098,267025.282,3.918434,2.893377,-1.025057
vllm::moe_forward_shared,both,6,6,3,3,9240,9240,839426.242,839032.761,5.087294,9.091416,4.004121
vllm::qwen_gdn_attention_core,both,4,4,3,3,3930,3930,329252.308,329209.149,1.995415,3.567176,1.571761
vllm::unified_attention_with_output,both,1,1,3,3,330,330,583046.643,583151.183,3.533521,6.318788,2.785267
vllm::unified_kv_cache_update,both,1,1,3,3,330,330,7153.396,7153.954,0.043353,0.077517,0.034165
