operator,input_shapes,input_dtypes,call_count
aten::empty,"[[],[],[],[],[],[]]","[""ScalarList"",""Scalar"","""","""",""Scalar"",""""]",17034
aten::empty,"[[],[],[],[],[],[]]","[""ScalarList"",""Scalar"",""Scalar"","""","""",""""]",11043
aten::empty,"[[],[],[],[],[],[]]","[""ScalarList"",""Scalar"",""Scalar"","""",""Scalar"",""""]",5434
aten::empty_strided,"[[],[],[],[],[],[]]","[""ScalarList"",""ScalarList"",""Scalar"",""Scalar"","""",""Scalar""]",4397
aten::_local_scalar_dense,[[]],"[""double""]",2365
aten::item,[[]],"[""double""]",2365
aten::lift_fresh,[[]],"[""double""]",2365
aten::to,"[[],[],[],[],[],[]]","[""double"","""",""Scalar"",""Scalar"",""Scalar"",""""]",2365
aten::as_strided,"[[805306368],[],[],[]]","[""unsigned char"",""ScalarList"",""ScalarList"",""Scalar""]",1942
aten::slice,"[[805306368],[],[],[],[]]","[""unsigned char"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",1942
aten::view,"[[1,4096],[]]","[""c10::BFloat16"",""ScalarList""]",1482
aten::view,"[[32,4096],[]]","[""c10::BFloat16"",""ScalarList""]",1162
aten::view,"[[64,4096],[]]","[""c10::BFloat16"",""ScalarList""]",1162
aten::new_empty,"[[1,4096],[],[],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""Scalar"","""","""",""""]",1161
aten::new_empty,"[[6,256],[],[],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""Scalar"","""","""",""""]",1161
aten::as_strided,"[[33554432],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""Scalar""]",1044
aten::slice,"[[33554432],[],[],[],[]]","[""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",1044
aten::new_empty,"[[192,256],[],[],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""Scalar"","""","""",""""]",774
aten::new_empty,"[[32,4096],[],[],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""Scalar"","""","""",""""]",774
aten::new_empty,"[[384,256],[],[],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""Scalar"","""","""",""""]",774
aten::new_empty,"[[64,4096],[],[],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""Scalar"","""","""",""""]",774
aten::as_strided,"[[24576],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""Scalar""]",645
aten::slice,"[[24576],[],[],[],[]]","[""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",645
aten::view,"[[24576],[]]","[""c10::BFloat16"",""ScalarList""]",602
aten::view,"[[24,16384],[]]","[""float"",""ScalarList""]",595
aten::view,"[[1,4,4096],[]]","[""c10::BFloat16"",""ScalarList""]",519
aten::flatten,"[[24576],[],[]]","[""c10::BFloat16"",""Scalar"",""Scalar""]",516
aten::view,"[[32,4,4096],[]]","[""c10::BFloat16"",""ScalarList""]",516
aten::view,"[[64,4,4096],[]]","[""c10::BFloat16"",""ScalarList""]",516
aten::view,"[[16,4096],[]]","[""c10::BFloat16"",""ScalarList""]",494
aten::view,"[[2,4096],[]]","[""c10::BFloat16"",""ScalarList""]",494
aten::view,"[[4,4096],[]]","[""c10::BFloat16"",""ScalarList""]",494
aten::view,"[[8,4096],[]]","[""c10::BFloat16"",""ScalarList""]",494
aten::as_strided,"[[256,4096],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""""]",473
aten::numpy_T,"[[256,4096]]","[""c10::BFloat16""]",473
aten::permute,"[[256,4096],[]]","[""c10::BFloat16"",""ScalarList""]",473
aten::zeros,"[[],[],[],[],[]]","[""ScalarList"",""Scalar"","""","""",""Scalar""]",473
aten::as_strided,"[[1572864],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""Scalar""]",430
aten::as_strided,"[[786432],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""Scalar""]",430
aten::slice,"[[1572864],[],[],[],[]]","[""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",430
aten::slice,"[[786432],[],[],[],[]]","[""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",430
aten::to,"[[1,4096],[],[],[],[]]","[""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar"",""""]",393
aten::empty_like,"[[1,4096],[],[],[],[],[]]","[""c10::BFloat16"","""","""","""",""Scalar"",""""]",390
aten::new_empty,"[[12,256],[],[],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""Scalar"","""","""",""""]",387
aten::new_empty,"[[16,4096],[],[],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""Scalar"","""","""",""""]",387
