kernel_name,presence,left_call_count,right_call_count,left_time_us,right_time_us,left_percent,right_percent,percent_point_delta
_build_c128a_topk_metadata_kernel,both,288,288,805.312,787.947,0.006216,0.002643,-0.003572
_build_prefill_chunk_metadata_kernel,both,33,33,71.679,71.459,0.000553,0.00024,-0.000314
_combine_topk_swa_indices_kernel,both,1419,1419,24167.454,24249.887,0.186533,0.081348,-0.105185
_compressed_slot_mapping_kernel,both,864,864,1639.872,1634.137,0.012657,0.005482,-0.007175
_compute_global_topk_indices_and_lens_kernel,both,6027,6027,14428.448,14722.579,0.111364,0.049388,-0.061976
_compute_prefill_metadata_kernel,both,66,66,68.192,68.517,0.000526,0.00023,-0.000296
_compute_slot_mapping_kernel,both,1440,1440,5016.057,5007.222,0.038716,0.016797,-0.021919
_compute_swa_indices_and_lens_kernel,both,640,640,1972.838,1949.731,0.015227,0.006541,-0.008687
_fused_inv_rope_fp8_quant_per_head,both,12384,12384,142727.125,138179.924,1.101621,0.463535,-0.638086
_fused_kv_compress_norm_rope_insert_indexer_attn,both,6048,6048,73176.214,53175.864,0.564801,0.178382,-0.386419
_fused_q_kv_rmsnorm_kernel,both,12384,12384,48826.246,45555.051,0.376859,0.152818,-0.224041
_save_partial_states_kernel,both,17856,17856,105846.555,110169.571,0.816963,0.369572,-0.447391
hc_head_fuse_tilelang_kernel,both,288,288,8717.025,8763.89,0.067281,0.029399,-0.037882
kernel_cutlass_kernel_vllmmodelsdeepseek_v4nvidiaopsdequant_gather_k_cutedslDequantGatherKCacheKernel_object_at__tensorptrbf16gmemalign32o512i64div16i64div161_tensorptri8gmemalign32o2576i_0,both,660,660,2140.339,2135.303,0.01652,0.007163,-0.009357
kernel_cutlass_kernel_vllmmodelsdeepseek_v4nvidiaopsdequant_gather_k_cutedslDequantGatherKCacheKernel_object_at__tensorptrbf16gmemalign32o512i64div16i64div161_tensorptri8gmemalign32o64576_0,both,2112,2112,12304.121,12279.585,0.094968,0.041193,-0.053775
kernel_cutlass_kernel_vllmmodelsdeepseek_v4nvidiaopsfused_indexer_q_cutedslIndexerQFp8Kernel_object_at__tensorptri64gmemo1_tensorptrbf16gmemalign32o64128i64div16i64div161_tensorptrf32gmem_0,both,6048,6048,79606.717,70243.105,0.614434,0.235636,-0.378798
kernel_cutlass_kernel_vllmmodelsdeepseek_v4nvidiaopssparse_attn_compress_cutedslSparseAttnCompressC128Block8Kernel_object_at__tensorptrf32gmemalign16o1024i64div16i64div161_tensorptri32gme_0,both,5760,5760,120831.231,108312.908,0.93262,0.363344,-0.569276
kernel_cutlass_kernel_vllmmodelsdeepseek_v4nvidiaopssparse_attn_compress_cutedslSparseAttnCompressNormRopeStoreC4Kernel_object_at__tensorptrf32gmemalign16o2048i64div16i64div161_tensorptri_0,both,6048,6048,141061.004,95156.866,1.088761,0.319211,-0.76955
kernel_cutlass_kernel_vllmmodelsdeepseek_v4nvidiaopssparse_attn_compress_cutedslSparseAttnNormRopeStoreKernel_object_at__tensorptrf32gmemo5125121_tensorptri64gmemalign64o1_tensorptri64gme_0,both,5760,5760,25408.307,20386.26,0.196111,0.068387,-0.127723
memcpy128,left_only,247,0,435.107,0.0,0.003358,0.0,-0.003358
memcpy32_post,left_only,53951,0,71999.638,0.0,0.55572,0.0,-0.55572
mhc_fused_tilelang_kernel,both,680,680,3538.126,3443.31,0.027309,0.011551,-0.015758
mhc_post_tilelang_kernel,both,24088,24088,657791.701,659157.819,5.07708,2.211195,-2.865884
mhc_pre_big_fuse_with_norm_tilelang_kernel,both,24768,24768,459993.086,459214.13,3.550397,1.540469,-2.009928
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>),both,288,288,17831.327,97528.796,0.137629,0.327168,0.189539
nvjet_tss_128x128_64x6_2x1_v_bz_TNT,both,1354,1354,41727.721,41711.179,0.32207,0.139923,-0.182147
nvjet_tss_128x160_64x5_2x1_v_bz_TNT,both,21,21,685.484,689.357,0.005291,0.002313,-0.002978
nvjet_tss_128x64_64x8_1x2_h_bz_TNT,both,43,43,834.002,831.478,0.006437,0.002789,-0.003648
nvjet_tss_128x80_64x8_1x2_h_bz_TNT,both,43,43,952.984,952.955,0.007355,0.003197,-0.004159
nvjet_tss_16x64_64x16_2x1_v_bz_TNN,right_only,0,84,0.0,1060.98,0.0,0.003559,0.003559
nvjet_tss_256x128_64x4_1x2_h_bz_coopA_TNT,both,1963,1963,208247.192,208621.729,1.607329,0.699838,-0.907491
nvjet_tss_256x160_64x4_1x2_h_bz_coopA_TNT,both,41,41,3528.434,3563.274,0.027234,0.011953,-0.01528
nvjet_tss_64x16_64x16_2x4_h_bz_splitK_TNT,right_only,0,383,0.0,2366.645,0.0,0.007939,0.007939
nvjet_tss_64x16_64x16_4x1_v_bz_splitK_TNT,both,420,188,2913.138,1375.41,0.022485,0.004614,-0.017871
nvjet_tss_64x16_64x16_4x2_h_bz_splitK_TNT,right_only,0,123,0.0,838.41,0.0,0.002813,0.002813
nvjet_tss_64x24_64x16_4x1_v_bz_splitK_TNT,right_only,0,164,0.0,1311.192,0.0,0.004398,0.004398
nvjet_tss_64x24_64x16_4x2_h_bz_TNT,right_only,0,63,0.0,717.653,0.0,0.002407,0.002407
nvjet_tss_64x24_64x16_4x2_h_bz_splitK_TNT,right_only,0,140,0.0,1024.024,0.0,0.003435,0.003435
nvjet_tss_64x32_64x16_4x1_v_bz_splitK_TNT,both,840,168,6037.919,1298.265,0.046603,0.004355,-0.042248
nvjet_tss_64x32_64x16_4x2_h_bz_splitK_TNT,both,20076,18976,130080.161,113173.162,1.004007,0.379648,-0.624359
nvjet_tss_64x40_64x16_4x1_v_bz_splitK_TNT,right_only,0,84,0.0,824.49,0.0,0.002766,0.002766
nvjet_tss_64x48_64x15_4x1_v_bz_splitK_TNT,right_only,0,21,0.0,214.058,0.0,0.000718,0.000718
nvjet_tss_64x56_64x14_4x1_v_bz_splitK_TNT,right_only,0,84,0.0,876.368,0.0,0.00294,0.00294
nvjet_tss_64x64_64x13_4x1_v_bz_splitK_TNT,both,5019,4683,54095.425,46829.912,0.417528,0.157095,-0.260434
nvjet_tss_64x8_64x16_2x4_h_bz_splitK_TNT,right_only,0,858,0.0,4595.191,0.0,0.015415,0.015415
nvjet_tss_64x8_64x16_4x1_v_bz_splitK_TNT,both,420,420,2830.238,2620.367,0.021845,0.00879,-0.013055
nvjet_tss_64x8_64x16_4x2_h_bz_splitK_TNT,right_only,0,336,0.0,2067.11,0.0,0.006934,0.006934
nvjet_tst_128x16_64x11_2x1_v_bz_TNT,both,8,8,412.362,422.216,0.003183,0.001416,-0.001766
nvjet_tst_128x24_64x11_2x1_v_bz_TNT,both,8,8,422.761,427.624,0.003263,0.001434,-0.001829
nvjet_tst_128x32_64x10_2x1_v_bz_TNT,both,8,8,422.313,427.432,0.00326,0.001434,-0.001826
nvjet_tst_128x40_64x10_2x1_v_bz_TNT,both,8,8,433.545,425.033,0.003346,0.001426,-0.00192
nvjet_tst_128x48_64x9_2x1_v_bz_TNT,both,8,8,434.697,428.776,0.003355,0.001438,-0.001917
nvjet_tst_128x56_64x9_2x1_v_bz_TNT,both,8,8,430.825,437.355,0.003325,0.001467,-0.001858
nvjet_tst_128x64_64x8_2x1_v_bz_TNT,both,8,8,432.809,447.591,0.003341,0.001501,-0.001839
nvjet_tst_128x8_64x12_2x1_v_bz_TNT,both,8,8,405.447,411.049,0.003129,0.001379,-0.00175
nvjet_tst_144x64_64x8_4x1_v_bz_TNN,both,224,224,12336.97,12370.397,0.095221,0.041497,-0.053724
nvjet_tst_32x64_64x16_2x1_v_bz_TNN,both,21,21,361.257,360.712,0.002788,0.00121,-0.001578
nvjet_tst_32x64_64x16_2x1_v_bz_splitK_TNN,both,168,21,1562.532,133.794,0.01206,0.000449,-0.011611
nvjet_tst_64x16_64x16_1x1_h_bz_splitK_TNT,both,84,21,777.529,147.456,0.006001,0.000495,-0.005507
nvjet_tst_64x16_64x16_1x4_h_bz_splitK_TNT,right_only,0,21,0.0,140.225,0.0,0.00047,0.00047
nvjet_tst_64x32_64x16_1x2_h_bz_splitK_TNT,both,5019,4683,42838.387,30397.014,0.330643,0.101969,-0.228673
nvjet_tst_64x64_64x13_1x2_h_bz_TNT,both,651,651,19594.693,19612.729,0.151239,0.065792,-0.085447
nvjet_tst_64x64_64x13_1x4_h_bz_TNT,both,21,21,431.817,429.866,0.003333,0.001442,-0.001891
nvjet_tst_64x8_64x16_1x1_h_bz_splitK_TNT,both,84,84,757.014,558.957,0.005843,0.001875,-0.003968
nvjet_tst_64x8_64x16_1x2_h_bz_splitK_TNT,right_only,0,63,0.0,370.888,0.0,0.001244,0.001244
nvjet_tst_64x8_64x16_1x4_h_bz_splitK_TNT,right_only,0,462,0.0,2972.753,0.0,0.009972,0.009972
smxx::decode::get_mla_metadata_kernel(GetDecodeSchedMetaParams),both,1148,1148,35742.498,35206.639,0.275874,0.118103,-0.15777
triton_poi_fused_add_bitwise_and_bitwise_not_bitwise_or_ge_lt_mul_sub_0,both,288,288,408.294,368.402,0.003151,0.001236,-0.001916
triton_poi_fused_clamp_mul_sigmoid_slice_0,left_only,12384,0,35909.525,0.0,0.277163,0.0,-0.277163
"void (anonymous namespace)::multimem_all_reduce_kernel<c10::BFloat16, 16>(c10::BFloat16*, unsigned long, unsigned int**, unsigned long, unsigned long)",both,24360,23751,1773710.154,17842034.081,13.690151,59.852465,46.162314
"void at::native::(anonymous namespace)::indexSelectSmallIndex<c10::BFloat16, long, unsigned int, 2, 2, -2>(at::cuda::detail::TensorInfo<c10::BFloat16, unsigned int>, at::cuda::detail::TensorInfo<c10::BFloat16 const, unsigned int>, at::cuda::detail::TensorInfo<long const, unsigned int>, int, int, unsigned int, long)",both,8,8,45.409,41.793,0.00035,0.00014,-0.00021
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1})",left_only,288,0,4101.335,0.0,0.031656,0.0,-0.031656
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<int> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<int> const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<int> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<int> const&)::{lambda(int)#1})",both,33,33,40.832,41.889,0.000315,0.000141,-0.000175
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1})",both,236,2360,719.056,4345.846,0.00555,0.014578,0.009029
"void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::native::(anonymous namespace)::masked_fill_kernel(at::TensorIterator&, c10::Scalar const&)::{lambda()#1}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16, bool)#1}>(at::TensorIteratorBase&, at::native::(anonymous namespace)::masked_fill_kernel(at::TensorIterator&, c10::Scalar const&)::{lambda()#1}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16, bool)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::(anonymous namespace)::masked_fill_kernel(at::TensorIterator&, c10::Scalar const&)::{lambda()#1}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16, bool)#1}>(at::TensorIteratorBase&, at::native::(anonymous namespace)::masked_fill_kernel(at::TensorIterator&, c10::Scalar const&)::{lambda()#1}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16, bool)#1} const&)::{lambda(int)#1})",both,288,288,3721.813,3809.483,0.028726,0.012779,-0.015947
"void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1})",left_only,288,0,3742.467,0.0,0.028886,0.0,-0.028886
"void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16)#1} const&)::{lambda(int)#1})",both,575,575,16704.265,16683.34,0.12893,0.055966,-0.072964
"void at::native::index_elementwise_kernel<128, 4, at::native::gpu_index_kernel<at::native::index_kernel_impl<at::native::OpaqueType<2> >(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1}>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>, at::native::index_kernel_impl<at::native::OpaqueType<2> >(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1} const&, bool)::{lambda(int)#1}>(long, at::native::gpu_index_kernel<at::native::index_kernel_impl<at::native::OpaqueType<2> >(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1}>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>, at::native::index_kernel_impl<at::native::OpaqueType<2> >(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1} const&, bool)::{lambda(int)#1})",both,1,1,3.36,3.648,2.6e-05,1.2e-05,-1.4e-05
