operator_name,presence,left_kernel_type_count,right_kernel_type_count,left_shape_dtype_variant_count,right_shape_dtype_variant_count,left_event_count,right_event_count,left_time_us,right_time_us,left_percent,right_percent,percent_point_delta
_C::cooperative_topk,both,2,2,17,18,357,693,1814.597,3571.732,0.014006,0.011982,-0.002024
_C::fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,both,1,2,3,36,1419,12384,326832.7,380184.068,2.522616,1.275356,-1.247259
_C::per_token_group_fp8_quant,both,1,1,9,63,7788,64428,300119.878,461270.003,2.316436,1.547365,-0.769071
_C::persistent_topk,both,1,1,15,17,315,5334,1671.88,28016.81,0.012904,0.093985,0.08108
_C::rms_norm,right_only,0,1,0,36,0,288,0.0,2001.462,0.0,0.006714,0.006714
_C::silu_and_mul_with_clamp,both,1,1,3,67,1419,24768,43742.289,96613.227,0.337619,0.324096,-0.013523
_C::top_k_per_row_prefill,both,1,1,33,33,693,693,45208.384,44987.511,0.348935,0.150914,-0.198021
_C_cache_ops::cp_gather_indexer_k_quant_cache,both,1,1,32,32,693,693,2462.261,2464.472,0.019005,0.008267,-0.010737
_C_custom_ar::all_reduce,right_only,0,1,0,15,0,1305,0.0,1042320.849,0.0,3.496545,3.496545
_flashmla_C::sparse_decode_fwd,both,3,3,160,175,2880,25830,47191.888,486809.667,0.364244,1.63304,1.268796
_flashmla_C::sparse_prefill_fwd,both,1,1,99,99,1419,1419,1270692.204,1278188.586,9.807672,4.287781,-5.519891
_moe_C::moe_align_block_size,both,2,2,3,36,2838,24768,35077.979,90329.778,0.270745,0.303018,0.032273
_moe_C::moe_wna16_marlin_gemm,both,1,3,6,72,2838,24768,2476774.557,3451011.342,19.116662,11.576681,-7.539981
_moe_C::topk_softplus_sqrt,both,2,2,6,72,1419,12384,24090.457,78572.696,0.185939,0.263578,0.077639
aten::add,both,4,3,106,136,2028,12960,94954.666,112489.494,0.732895,0.377355,-0.355541
aten::argmax,both,1,1,64,64,288,288,11178.302,11137.165,0.086278,0.03736,-0.048918
aten::clamp,both,1,1,38,64,576,576,755.173,761.932,0.005829,0.002556,-0.003273
aten::clamp_,both,1,1,76,128,864,864,1716.995,1708.324,0.013252,0.005731,-0.007522
aten::copy_,both,6,5,337,391,3502,5815,31691.727,30851.324,0.244608,0.103493,-0.141115
aten::cumsum,both,2,2,3,3,66,66,90.398,88.068,0.000698,0.000295,-0.000402
aten::fill_,both,5,4,284,238,6227,22250,17159.623,34750.398,0.132444,0.116573,-0.015871
aten::floor_divide,both,3,3,64,64,1928,1928,3070.505,3106.573,0.023699,0.010421,-0.013278
aten::gather,both,1,1,3,28,33,280,724.302,1226.298,0.00559,0.004114,-0.001477
aten::ge,both,1,1,9,36,576,576,746.913,747.673,0.005765,0.002508,-0.003257
aten::index,both,3,3,10,37,576,576,1082.91,1073.311,0.008358,0.003601,-0.004758
aten::index_select,right_only,0,1,0,8,0,8,0.0,41.793,0.0,0.00014,0.00014
aten::masked_fill_,both,1,1,3,36,33,288,3034.43,3809.483,0.023421,0.012779,-0.010642
aten::mean,left_only,1,0,3,0,33,0,1712.549,0.0,0.013218,0.0,-0.013218
aten::mm,both,18,43,79,244,4446,68559,292095.313,579095.666,2.2545,1.942621,-0.311879
aten::mul,left_only,2,0,6,0,66,0,6468.362,0.0,0.049925,0.0,-0.049925
aten::pow,left_only,1,0,3,0,33,0,2893.503,0.0,0.022333,0.0,-0.022333
aten::rsqrt,left_only,1,0,3,0,33,0,43.075,0.0,0.000332,0.0,-0.000332
aten::sub,both,3,3,101,102,608,608,654.742,652.411,0.005054,0.002189,-0.002865
aten::sum,both,1,1,3,36,1419,12384,321497.03,385914.3,2.481433,1.294579,-1.186854
null,both,96,31,1,1,594694,160036,5460165.762,2218381.702,42.143578,7.441731,-34.701848
record_param_comms,both,1,1,64,64,288,288,17831.327,97528.796,0.137629,0.327168,0.189539
symm_mem::multimem_all_reduce_,both,1,1,3,21,2871,23751,1482365.928,17842034.081,11.441448,59.852465,48.411016
triton_poi_fused_add_bitwise_and_bitwise_not_bitwise_or_ge_lt_mul_sub_0,both,1,1,3,36,33,288,51.969,368.402,0.000401,0.001236,0.000835
triton_poi_fused_clamp_mul_sigmoid_slice_0,left_only,1,0,3,0,1419,0,12939.503,0.0,0.099872,0.0,-0.099872
vllm::dynamic_flashinfer_deepgemm_blockscale_gemm,both,8,24,15,180,7788,71508,441381.121,794938.29,3.406743,2.666681,-0.740062
vllm::fused_inv_rope_fp8_quant_kernel,both,1,1,3,36,1419,12384,110903.219,138179.924,0.855992,0.463535,-0.392457
vllm::sparse_attn_indexer,both,2,2,3,36,1365,6720,63215.408,104796.334,0.48792,0.351547,-0.136373
