operator_name,presence
AOTDispatcher Runtime Wrapper Prologue,both
Pregraph bytecode,both
RmsNorm,right_only
Torch-Compiled Region: 0/1,both
Torch-Compiled Region: 1/0,left_only
TorchDynamo Cache Lookup,both
_C::cooperative_topk,both
_C::fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,both
_C::per_token_group_fp8_quant,both
_C::persistent_topk,both
_C::silu_and_mul_with_clamp,both
_C::top_k_per_row_prefill,both
_C_cache_ops::cp_gather_indexer_k_quant_cache,both
_C_custom_ar::all_reduce,right_only
_flashmla_C::sparse_decode_fwd,both
_flashmla_C::sparse_prefill_fwd,both
_moe_C::moe_align_block_size,both
_moe_C::moe_wna16_marlin_gemm,both
_moe_C::topk_softplus_sqrt,both
aten::__or__,both
aten::_local_scalar_dense,both
aten::_pin_memory,both
aten::_reshape_alias,both
aten::_to_copy,both
aten::_unsafe_view,both
aten::add,both
aten::alias,both
aten::all,both
aten::any,both
aten::arange,both
aten::argmax,both
aten::as_strided,both
aten::bitwise_or,both
aten::clamp,both
aten::clamp_,both
aten::clone,both
aten::copy_,both
aten::cumsum,both
aten::detach,both
aten::diff,both
aten::div,both
aten::embedding,both
aten::empty,both
aten::empty_like,both
aten::empty_strided,both
aten::eq,both
aten::expand,both
aten::expand_as,both
aten::fill_,both
aten::flatten,both
aten::floor_divide,both
aten::full,both
aten::ge,both
aten::gt,both
aten::index,both
aten::index_select,both
aten::is_nonzero,both
aten::is_pinned,both
aten::item,both
aten::lift_fresh,both
aten::linear,both
aten::lt,both
aten::masked_fill_,both
aten::matmul,both
aten::max,both
aten::mean,left_only
aten::min,both
aten::mm,both
aten::movedim,both
aten::mul,both
aten::mul_,both
aten::narrow,both
aten::ne,both
aten::new_empty,both
aten::numpy_T,both
aten::permute,both
aten::pin_memory,both
aten::pow,left_only
aten::record_stream,right_only
aten::repeat,both
aten::repeat_interleave,both
aten::reshape,both
aten::resize_,both
aten::resolve_conj,both
aten::resolve_neg,both
aten::result_type,both
aten::rsqrt,left_only
aten::select,both
aten::set_,both
aten::sigmoid,right_only
aten::slice,both
aten::split_with_sizes,both
aten::squeeze,both
aten::sub,both
aten::sum,both
aten::t,both
aten::to,both
aten::transpose,both
aten::unsqueeze,both
aten::view,both
aten::view_as,both
aten::zero_,both
aten::zeros,both
aten::zeros_like,both
c10d::_allgather_base_,both
record_param_comms,both
symm_mem::multimem_all_reduce_,both
triton_poi_fused___and_____or___add_bitwise_not_ge_lt_mul_sub_0,both
triton_poi_fused_clamp_mul_sigmoid_slice_0,left_only
vllm::all_gather,both
vllm::all_reduce,both
vllm::dynamic_flashinfer_deepgemm_blockscale_gemm,both
vllm::fused_inv_rope_fp8_quant_kernel,both
vllm::moe_forward_shared,both
vllm::sparse_attn_indexer,both
vllm_ir::rms_norm,left_only
