kernel_name,presence,left_call_count,right_call_count,left_time_us,right_time_us,left_percent,right_percent,percent_point_delta
_build_c128a_topk_metadata_kernel,both,288,288,810.867,795.362,0.006282,0.006629,0.000347
_build_prefill_chunk_metadata_kernel,both,33,33,71.97,71.779,0.000558,0.000598,4.1e-05
_combine_topk_swa_indices_kernel,both,1419,1419,24220.164,24199.531,0.187629,0.201689,0.01406
_compressed_slot_mapping_kernel,both,864,864,1627.01,1615.702,0.012604,0.013466,0.000862
_compute_global_topk_indices_and_lens_kernel,both,6027,6027,14418.638,14479.61,0.111699,0.120679,0.008981
_compute_prefill_metadata_kernel,both,66,66,67.552,67.809,0.000523,0.000565,4.2e-05
_compute_slot_mapping_kernel,both,1440,1440,5004.148,5026.093,0.038766,0.04189,0.003123
_compute_swa_indices_and_lens_kernel,both,640,640,1950.06,1961.595,0.015107,0.016349,0.001242
_fused_inv_rope_fp8_quant_per_head,both,12384,12384,142439.782,135120.575,1.103455,1.126154,0.022699
_fused_kv_compress_norm_rope_insert_indexer_attn,both,6048,6048,72326.015,46607.093,0.560297,0.388444,-0.171853
_fused_q_kv_rmsnorm_kernel,both,12384,12384,48807.188,45452.066,0.378101,0.378817,0.000717
_repeat_flaggems_jit_function,both,288,288,52117.166,52094.517,0.403742,0.434179,0.030436
_save_partial_states_kernel,both,17856,17856,106454.907,103661.009,0.824687,0.863956,0.039269
add_func_kernel_rank_1,both,12960,12960,112516.512,110642.999,0.871645,0.922147,0.050502
add_func_tensor_scalar_kernel_rank_1,both,288,12384,292.074,17310.171,0.002263,0.144271,0.142008
argmax_kernel_inner,both,288,288,9359.022,9288.378,0.072503,0.077413,0.004911
clamp_func_kernel_rank_2,right_only,0,12384,0.0,19495.88,0.0,0.162487,0.162487
clamp_func_max_kernel_rank_2,right_only,0,12384,0.0,19338.104,0.0,0.161172,0.161172
clamp_func_min_kernel_rank_1,both,1440,1440,2493.256,2451.985,0.019315,0.020436,0.001121
embedding_kernel,both,288,288,1146.261,1157.254,0.00888,0.009645,0.000765
fill_scalar_kernel,both,8717,8447,20282.374,14902.636,0.157124,0.124205,-0.032919
floor_div_func_tensor_scalar_kernel_rank_1,both,1928,1928,2315.11,2297.737,0.017935,0.01915,0.001216
