operator_name,presence,left_kernel_type_count,right_kernel_type_count,left_shape_dtype_variant_count,right_shape_dtype_variant_count,left_event_count,right_event_count,left_time_us,right_time_us,left_percent,right_percent,percent_point_delta
RmsNorm,right_only,0,1,0,36,0,288,0.0,1822.661,0.0,0.015191,0.015191
_C::cooperative_topk,both,2,2,17,18,357,693,1838.826,3571.31,0.014245,0.029765,0.01552
_C::fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,both,1,2,3,36,1419,12384,326035.685,374614.855,2.52574,3.122204,0.596464
_C::per_token_group_fp8_quant,both,1,1,9,63,7788,64428,299354.689,446669.347,2.319047,3.722738,1.403691
_C::persistent_topk,both,1,1,15,17,315,5334,1682.078,27777.357,0.013031,0.231509,0.218478
_C::silu_and_mul_with_clamp,both,1,1,3,36,1419,12384,43621.75,66758.88,0.33793,0.556398,0.218468
_C::top_k_per_row_prefill,both,1,1,33,33,693,693,45143.408,45017.477,0.349718,0.375195,0.025477
_C_cache_ops::cp_gather_indexer_k_quant_cache,both,1,1,32,32,693,693,2468.999,2464.248,0.019127,0.020538,0.001411
_C_custom_ar::all_reduce,right_only,0,1,0,15,0,1305,0.0,24159.182,0.0,0.201353,0.201353
_flashmla_C::sparse_decode_fwd,both,3,3,160,175,2880,25830,47366.633,485878.987,0.366941,4.049528,3.682587
_flashmla_C::sparse_prefill_fwd,both,1,1,99,99,1419,1419,1277267.339,1275718.173,9.894761,10.632394,0.737632
_moe_C::moe_align_block_size,both,2,2,3,36,2838,24768,35273.3,86909.011,0.273256,0.724338,0.451082
_moe_C::moe_wna16_marlin_gemm,both,1,3,6,72,2838,24768,2494194.387,3452684.698,19.322077,28.776185,9.454108
_moe_C::topk_softplus_sqrt,both,1,1,6,72,1419,12384,24482.215,75307.91,0.189659,0.627649,0.43799
aten::add,both,2,2,106,172,2028,25344,94756.108,127953.17,0.734059,1.066418,0.332359
aten::argmax,both,1,1,64,64,288,288,9359.022,9288.378,0.072503,0.077413,0.004911
aten::clamp,both,1,3,38,136,576,25344,726.392,39555.295,0.005627,0.329671,0.324044
aten::clamp_,both,1,1,76,128,864,864,1766.864,1730.674,0.013688,0.014424,0.000737
aten::copy_,both,6,5,334,355,3469,5527,21426.178,19132.001,0.165985,0.159454,-0.00653
aten::cumsum,both,1,1,3,3,33,33,36.061,34.851,0.000279,0.00029,1.1e-05
aten::embedding,both,1,1,3,36,33,288,711.949,1157.254,0.005515,0.009645,0.00413
aten::fill_,both,1,1,184,138,3362,8447,8318.696,14902.636,0.064443,0.124205,0.059762
aten::floor_divide,both,1,1,64,64,1928,1928,2315.11,2297.737,0.017935,0.01915,0.001216
aten::full,both,1,1,1,1,1419,1419,8100.704,8113.166,0.062755,0.067619,0.004864
aten::ge,both,1,1,9,36,576,576,627.482,626.44,0.004861,0.005221,0.00036
aten::index,both,3,3,10,37,576,576,1089.422,1096.55,0.00844,0.009139,0.0007
aten::masked_fill_,both,1,1,3,36,33,288,1697.159,2110.534,0.013148,0.01759,0.004443
aten::mean,left_only,1,0,3,0,33,0,1627.041,0.0,0.012604,0.0,-0.012604
aten::mm,both,18,43,79,244,4446,68559,293006.702,543073.074,2.26987,4.526209,2.256338
aten::mul,both,1,2,6,72,66,37152,4154.551,50184.377,0.032185,0.418259,0.386074
aten::mul_,both,1,1,3,36,1419,12384,1812.897,14228.954,0.014044,0.11859,0.104546
aten::pow,left_only,1,0,3,0,33,0,3805.331,0.0,0.029479,0.0,-0.029479
aten::repeat,both,1,1,3,36,33,288,49053.294,52094.517,0.380007,0.434179,0.054171
aten::rsqrt,left_only,1,0,3,0,33,0,41.411,0.0,0.000321,0.0,-0.000321
aten::sigmoid,right_only,0,1,0,36,0,12384,0.0,18907.097,0.0,0.15758,0.15758
aten::sub,both,3,3,101,102,608,608,631.435,633.43,0.004892,0.005279,0.000388
aten::zero_,left_only,1,0,16,0,27,0,24.637,0.0,0.000191,0.0,-0.000191
aten::zeros,both,1,1,1,1,1419,12384,1304.42,11309.693,0.010105,0.09426,0.084155
null,both,95,31,1,1,605659,160036,5439295.995,2186716.324,42.137252,18.225051,-23.912201
record_param_comms,both,1,1,64,64,288,288,17726.206,18224.718,0.137322,0.151893,0.014571
symm_mem::multimem_all_reduce_,both,1,1,3,21,2871,23751,1499542.282,1260547.443,11.616686,10.505954,-1.110732
triton_poi_fused___and_____or___add_bitwise_not_ge_lt_mul_sub_0,both,1,1,3,36,33,288,56.959,356.492,0.000441,0.002971,0.00253
triton_poi_fused_clamp_mul_sigmoid_slice_0,left_only,1,0,3,0,1419,0,12968.477,0.0,0.100464,0.0,-0.100464
vllm::dynamic_flashinfer_deepgemm_blockscale_gemm,both,8,24,15,180,7788,71508,441689.693,760778.379,3.421691,6.34066,2.918969
vllm::fused_inv_rope_fp8_quant_kernel,both,1,1,3,36,1419,12384,110894.923,135120.575,0.859083,1.126154,0.267071
vllm::moe_forward_shared,both,1,1,3,36,1419,12384,218157.792,245178.421,1.690029,2.043424,0.353395
vllm::sparse_attn_indexer,both,2,2,3,36,1365,6720,63066.298,103703.668,0.488563,0.864312,0.375748
