kernel_name,presence,left_call_count,right_call_count,left_time_us,right_time_us,left_percent,right_percent,percent_point_delta
_build_c128a_topk_metadata_kernel,both,288,288,795.362,787.947,0.006629,0.002643,-0.003986
_build_prefill_chunk_metadata_kernel,both,33,33,71.779,71.459,0.000598,0.00024,-0.000359
_combine_topk_swa_indices_kernel,both,1419,1419,24199.531,24249.887,0.201689,0.081348,-0.120341
_compressed_slot_mapping_kernel,both,864,864,1615.702,1634.137,0.013466,0.005482,-0.007984
_compute_global_topk_indices_and_lens_kernel,both,6027,6027,14479.61,14722.579,0.120679,0.049388,-0.071291
_compute_prefill_metadata_kernel,both,66,66,67.809,68.517,0.000565,0.00023,-0.000335
_compute_slot_mapping_kernel,both,1440,1440,5026.093,5007.222,0.04189,0.016797,-0.025093
_compute_swa_indices_and_lens_kernel,both,640,640,1961.595,1949.731,0.016349,0.006541,-0.009808
_fused_inv_rope_fp8_quant_per_head,both,12384,12384,135120.575,138179.924,1.126154,0.463535,-0.662619
_fused_kv_compress_norm_rope_insert_indexer_attn,both,6048,6048,46607.093,53175.864,0.388444,0.178382,-0.210061
_fused_q_kv_rmsnorm_kernel,both,12384,12384,45452.066,45555.051,0.378817,0.152818,-0.226
_repeat_flaggems_jit_function,left_only,288,0,52094.517,0.0,0.434179,0.0,-0.434179
_save_partial_states_kernel,both,17856,17856,103661.009,110169.571,0.863956,0.369572,-0.494384
add_func_kernel_rank_1,left_only,12960,0,110642.999,0.0,0.922147,0.0,-0.922147
add_func_tensor_scalar_kernel_rank_1,left_only,12384,0,17310.171,0.0,0.144271,0.0,-0.144271
argmax_kernel_inner,left_only,288,0,9288.378,0.0,0.077413,0.0,-0.077413
clamp_func_kernel_rank_2,left_only,12384,0,19495.88,0.0,0.162487,0.0,-0.162487
clamp_func_max_kernel_rank_2,left_only,12384,0,19338.104,0.0,0.161172,0.0,-0.161172
clamp_func_min_kernel_rank_1,left_only,1440,0,2451.985,0.0,0.020436,0.0,-0.020436
embedding_kernel,left_only,288,0,1157.254,0.0,0.009645,0.0,-0.009645
fill_scalar_kernel,left_only,8447,0,14902.636,0.0,0.124205,0.0,-0.124205
