kernel_name,presence,left_call_count,right_call_count,left_time_us,right_time_us,left_percent,right_percent,percent_point_delta
_build_c128a_topk_metadata_kernel,both,288,288,810.867,805.312,0.006282,0.006216,-6.6e-05
_build_prefill_chunk_metadata_kernel,both,33,33,71.97,71.679,0.000558,0.000553,-4e-06
_combine_topk_swa_indices_kernel,both,1419,1419,24220.164,24167.454,0.187629,0.186533,-0.001096
_compressed_slot_mapping_kernel,both,864,864,1627.01,1639.872,0.012604,0.012657,5.3e-05
_compute_global_topk_indices_and_lens_kernel,both,6027,6027,14418.638,14428.448,0.111699,0.111364,-0.000335
_compute_prefill_metadata_kernel,both,66,66,67.552,68.192,0.000523,0.000526,3e-06
_compute_slot_mapping_kernel,both,1440,1440,5004.148,5016.057,0.038766,0.038716,-5e-05
_compute_swa_indices_and_lens_kernel,both,640,640,1950.06,1972.838,0.015107,0.015227,0.00012
_fused_inv_rope_fp8_quant_per_head,both,12384,12384,142439.782,142727.125,1.103455,1.101621,-0.001835
_fused_kv_compress_norm_rope_insert_indexer_attn,both,6048,6048,72326.015,73176.214,0.560297,0.564801,0.004504
_fused_q_kv_rmsnorm_kernel,both,12384,12384,48807.188,48826.246,0.378101,0.376859,-0.001242
_repeat_flaggems_jit_function,left_only,288,0,52117.166,0.0,0.403742,0.0,-0.403742
_save_partial_states_kernel,both,17856,17856,106454.907,105846.555,0.824687,0.816963,-0.007724
add_func_kernel_rank_1,left_only,12960,0,112516.512,0.0,0.871645,0.0,-0.871645
add_func_tensor_scalar_kernel_rank_1,left_only,288,0,292.074,0.0,0.002263,0.0,-0.002263
argmax_kernel_inner,left_only,288,0,9359.022,0.0,0.072503,0.0,-0.072503
clamp_func_min_kernel_rank_1,left_only,1440,0,2493.256,0.0,0.019315,0.0,-0.019315
embedding_kernel,left_only,288,0,1146.261,0.0,0.00888,0.0,-0.00888
fill_scalar_kernel,left_only,8717,0,20282.374,0.0,0.157124,0.0,-0.157124
floor_div_func_tensor_scalar_kernel_rank_1,left_only,1928,0,2315.11,0.0,0.017935,0.0,-0.017935
