operator_name,presence,left_kernel_type_count,right_kernel_type_count,left_shape_dtype_variant_count,right_shape_dtype_variant_count,left_event_count,right_event_count,left_time_us,right_time_us,left_percent,right_percent,percent_point_delta
_C::cooperative_topk,both,2,2,17,17,357,357,1838.826,1814.597,0.014245,0.014006,-0.000239
_C::fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,both,1,1,3,3,1419,1419,326035.685,326832.7,2.52574,2.522616,-0.003124
_C::per_token_group_fp8_quant,both,1,1,9,9,7788,7788,299354.689,300119.878,2.319047,2.316436,-0.002611
_C::persistent_topk,both,1,1,15,15,315,315,1682.078,1671.88,0.013031,0.012904,-0.000127
_C::silu_and_mul_with_clamp,both,1,1,3,3,1419,1419,43621.75,43742.289,0.33793,0.337619,-0.000311
_C::top_k_per_row_prefill,both,1,1,33,33,693,693,45143.408,45208.384,0.349718,0.348935,-0.000783
_C_cache_ops::cp_gather_indexer_k_quant_cache,both,1,1,32,32,693,693,2468.999,2462.261,0.019127,0.019005,-0.000122
_flashmla_C::sparse_decode_fwd,both,3,3,160,160,2880,2880,47366.633,47191.888,0.366941,0.364244,-0.002696
_flashmla_C::sparse_prefill_fwd,both,1,1,99,99,1419,1419,1277267.339,1270692.204,9.894761,9.807672,-0.087089
_moe_C::moe_align_block_size,both,2,2,3,3,2838,2838,35273.3,35077.979,0.273256,0.270745,-0.002511
_moe_C::moe_wna16_marlin_gemm,both,1,1,6,6,2838,2838,2494194.387,2476774.557,19.322077,19.116662,-0.205416
_moe_C::topk_softplus_sqrt,both,1,2,6,6,1419,1419,24482.215,24090.457,0.189659,0.185939,-0.00372
aten::add,both,2,4,106,106,2028,2028,94756.108,94954.666,0.734059,0.732895,-0.001163
aten::argmax,both,1,1,64,64,288,288,9359.022,11178.302,0.072503,0.086278,0.013776
aten::clamp,both,1,1,38,38,576,576,726.392,755.173,0.005627,0.005829,0.000201
aten::clamp_,both,1,1,76,76,864,864,1766.864,1716.995,0.013688,0.013252,-0.000435
aten::copy_,both,6,6,334,337,3469,3502,21426.178,31691.727,0.165985,0.244608,0.078624
aten::cumsum,both,1,2,3,3,33,66,36.061,90.398,0.000279,0.000698,0.000418
aten::embedding,left_only,1,0,3,0,33,0,711.949,0.0,0.005515,0.0,-0.005515
aten::fill_,both,1,5,184,284,3362,6227,8318.696,17159.623,0.064443,0.132444,0.068001
aten::floor_divide,both,1,3,64,64,1928,1928,2315.11,3070.505,0.017935,0.023699,0.005765
aten::full,left_only,1,0,1,0,1419,0,8100.704,0.0,0.062755,0.0,-0.062755
aten::gather,right_only,0,1,0,3,0,33,0.0,724.302,0.0,0.00559,0.00559
aten::ge,both,1,1,9,9,576,576,627.482,746.913,0.004861,0.005765,0.000904
aten::index,both,3,3,10,10,576,576,1089.422,1082.91,0.00844,0.008358,-8.1e-05
aten::masked_fill_,both,1,1,3,3,33,33,1697.159,3034.43,0.013148,0.023421,0.010273
aten::mean,both,1,1,3,3,33,33,1627.041,1712.549,0.012604,0.013218,0.000614
aten::mm,both,18,18,79,79,4446,4446,293006.702,292095.313,2.26987,2.2545,-0.015371
aten::mul,both,1,2,6,6,66,66,4154.551,6468.362,0.032185,0.049925,0.017741
aten::mul_,left_only,1,0,3,0,1419,0,1812.897,0.0,0.014044,0.0,-0.014044
aten::pow,both,1,1,3,3,33,33,3805.331,2893.503,0.029479,0.022333,-0.007146
aten::repeat,left_only,1,0,3,0,33,0,49053.294,0.0,0.380007,0.0,-0.380007
aten::rsqrt,both,1,1,3,3,33,33,41.411,43.075,0.000321,0.000332,1.2e-05
aten::sub,both,3,3,101,101,608,608,631.435,654.742,0.004892,0.005054,0.000162
aten::sum,right_only,0,1,0,3,0,1419,0.0,321497.03,0.0,2.481433,2.481433
aten::zero_,left_only,1,0,16,0,27,0,24.637,0.0,0.000191,0.0,-0.000191
aten::zeros,left_only,1,0,1,0,1419,0,1304.42,0.0,0.010105,0.0,-0.010105
null,both,95,96,1,1,605659,594694,5439295.995,5460165.762,42.137252,42.143578,0.006326
record_param_comms,both,1,1,64,64,288,288,17726.206,17831.327,0.137322,0.137629,0.000307
symm_mem::multimem_all_reduce_,both,1,1,3,3,2871,2871,1499542.282,1482365.928,11.616686,11.441448,-0.175237
triton_poi_fused___and_____or___add_bitwise_not_ge_lt_mul_sub_0,left_only,1,0,3,0,33,0,56.959,0.0,0.000441,0.0,-0.000441
triton_poi_fused_add_bitwise_and_bitwise_not_bitwise_or_ge_lt_mul_sub_0,right_only,0,1,0,3,0,33,0.0,51.969,0.0,0.000401,0.000401
triton_poi_fused_clamp_mul_sigmoid_slice_0,both,1,1,3,3,1419,1419,12968.477,12939.503,0.100464,0.099872,-0.000593
vllm::dynamic_flashinfer_deepgemm_blockscale_gemm,both,8,8,15,15,7788,7788,441689.693,441381.121,3.421691,3.406743,-0.014948
vllm::fused_inv_rope_fp8_quant_kernel,both,1,1,3,3,1419,1419,110894.923,110903.219,0.859083,0.855992,-0.003091
vllm::moe_forward_shared,left_only,1,0,3,0,1419,0,218157.792,0.0,1.690029,0.0,-1.690029
vllm::sparse_attn_indexer,both,2,2,3,3,1365,1365,63066.298,63215.408,0.488563,0.48792,-0.000643
